map,name_2026,perimeter_km_total,perimeter_km_anchored,anchored_pct,pre_ama_error_m,post_ama_error_m
majority,Calgary-Acadia,46.38744215801192,34.47188386827162,74.31296545916084,161.37608694120792,0.0
majority,Calgary-Beddington,42.62521385477713,39.79001485793382,93.34854012345193,103.35403345902051,0.0
majority,Calgary-Bhullar-McCall,43.31833149087178,30.53987343361774,70.50103820377576,145.2323763992971,0.0
majority,Calgary-Bow,38.23477594735647,38.23477594735653,100.00000000000017,53.6962513133341,0.0
majority,Calgary-Buffalo,28.698429133139783,28.698429133139793,100.00000000000003,30.286014877564508,0.0
majority,Calgary-Confluence,17.393514310352586,17.393514310352597,100.00000000000006,48.836024866659166,0.0
majority,Calgary-Cross,24.2586966147384,20.216966988047584,83.3390487095038,248.21830118306673,0.0
majority,Calgary-Currie,22.84603077746128,22.846030777461245,99.99999999999984,69.2243228762651,0.0
majority,Calgary-East,70.7208103485948,66.4542913865449,93.96709548290028,48.62557194931041,0.0
majority,Calgary-Edgemont,23.88375878131231,20.78637164475643,87.03140839381022,49.46495973391437,0.0
majority,Calgary-Elbow,23.423351065058785,23.073758148224382,98.50750255220356,82.94866149273648,0.0
majority,Calgary-Falconridge-Conrich,116.2045630456075,106.01391054973877,91.23041967648967,14.61788051711693,0.0
majority,Calgary-Fish Creek,31.85694513674409,31.856945136744073,99.99999999999994,61.06379654455353,0.0
majority,Calgary-Glenmore-Tsuut'ina,121.32899188736805,120.38585592178819,99.22266232422388,30.74872449721854,0.0
majority,Calgary-Hays,34.9975906378352,31.309297076969212,89.46129292432306,82.67258174013605,0.0
majority,Calgary-Klein,40.623237807847474,37.12940216848763,91.3994161275719,23.350110717340737,0.0
majority,Calgary-Lougheed,36.07158231443286,10.248599847874171,28.41183887786794,276.11638049595166,0.0
majority,Calgary-McKenzie,31.25626416365216,30.861220999048367,98.73611522306243,42.60946193472368,0.0
majority,Calgary-Mountain View,25.05942075182299,25.059420751823026,100.00000000000013,49.25644725082338,0.0
majority,Calgary-North,18.131803037322697,15.002383386988326,82.74071451199453,145.67821362310545,0.0
majority,Calgary-North East,42.62346336696125,34.79409588530862,81.63132025606015,99.83526776830415,0.0
majority,Calgary-North West,45.318581324433545,41.32022641220337,91.17722842291522,183.3044198489002,0.0
majority,Calgary-Nose Creek,26.777968786320884,26.777968786320898,100.00000000000006,25.75267319293178,0.0
majority,Calgary-Shaw,28.760099995488574,26.76274838514701,93.05512981298787,82.92643939317504,0.0
majority,Calgary-South East,52.503536399498934,26.155734615435037,49.817091207754636,173.3207890922793,0.0
majority,Calgary-Symons Valley,20.299921319054203,19.550125851623573,96.30641195280472,179.74817236653888,0.0
majority,Calgary-Varsity,26.98290748872855,26.982907488728546,99.99999999999999,31.417228603166908,0.0
majority,Calgary-West-Elbow Valley,271.2683160983719,238.5284198881661,87.93080715024122,24.44050539567289,0.0
majority,Edmonton-Beaumont,87.05991304388647,71.79977855755787,82.4716865055493,19.066647026478748,0.0
majority,Edmonton-Beverly-Clareview,33.92435273300421,33.92435273300425,100.0000000000001,22.116418285086823,0.0
majority,Edmonton-Castle Downs,41.929809428988456,35.33847763272369,84.2800816745239,100.30310590647738,0.0
majority,Edmonton-City Centre,31.02774941143511,31.02774941143512,100.00000000000004,53.50827340587092,0.0
majority,Edmonton-Decore,42.79366016913462,42.49366599973176,99.2989752028287,59.91498025878739,0.0
majority,Edmonton-Ellerslie,43.13342991113773,38.6473846677741,89.59960927613301,136.28134291708884,0.0
majority,Edmonton-Enoch,30.914942970300114,30.914942970300093,99.99999999999993,10.159366293565634,0.0
majority,Edmonton-Glenora-Riverview,28.276514724170067,23.14987533549213,81.86962064212315,45.617191485218925,0.0
majority,Edmonton-Gold Bar,82.15823468336646,74.82543142450639,91.07477992057605,78.97783120694399,0.0
majority,Edmonton-Highlands-Norwood,19.652526765028465,19.652526765028476,100.00000000000006,33.7626490905452,0.0
majority,Edmonton-Manning,51.25813825116431,50.65849452273556,98.83014922334772,25.702407943498763,0.0
majority,Edmonton-McClung,8.685065961747648,8.685065961747656,100.00000000000009,37.29180951095485,0.0
majority,Edmonton-Meadows,21.09804894485276,21.098048944852756,100.0,10.269391939710344,0.0
majority,Edmonton-Mill Woods,21.57259285758942,20.923655654248602,96.99184419960665,25.180286165103972,0.0
majority,Edmonton-North West,42.956135524483265,36.902737727364794,85.90795535210964,79.59379350563832,0.0
majority,Edmonton-Rutherford,55.064539562726424,55.06453956272644,100.00000000000003,52.721197432731365,0.0
majority,Edmonton-South,49.52316598044289,39.56763489438616,79.89722407895276,26.30931988936489,0.0
majority,Edmonton-Strathcona,25.944118562780286,25.944118562780222,99.99999999999976,25.400256283417345,0.0
majority,Edmonton-West Henday,47.676101651936435,37.1513669785225,77.92450660028649,189.38671791473143,0.0
majority,Edmonton-Whitemud,31.208777304296348,31.011334582562966,99.3673487435658,33.02723437940513,0.0
majority,Edmonton-Windermere,62.69306268818266,52.72243377766926,84.0961208736851,26.810501476986914,0.0
majority,Airdrie-East,97.4044270850377,96.66151905998366,99.23729542148484,43.78832520602189,0.0
majority,Airdrie-West,150.98766693918418,130.06408314760273,86.14219014324581,16.22794714318043,0.0
majority,Barrhead-Westlock-Athabasca,1043.3564708532435,839.151820060861,80.4281032900111,39.5495365917036,0.0
majority,Camrose,707.805886455536,652.1776450170116,92.140748967617,28.758410909002013,0.0
majority,Canmore-Banff,1215.6556670701143,1011.183107172626,83.18005949906085,55.867125309561125,0.0
majority,Central Peace-Notley,1472.9866230647867,1205.151147956038,81.81684267088089,79.90874240018744,0.0
majority,Chestermere-Strathmore,260.7435937705402,206.9102336369232,79.35390881319545,14.012490779866614,0.0
majority,Cochrane-Springbank,65.23089818596257,65.23089818596252,99.9999999999999,36.24886500961382,0.0
majority,Cold Lake-Bonnyville-St. Paul,517.6747532206734,517.6747532206833,100.00000000000192,7.984133209682007,0.0
majority,Drumheller-Stettler,1076.1918560165532,1068.463838698507,99.28191081591615,40.15926516778046,0.0
majority,Fort McMurray-Lac La Biche,1023.8598918856336,758.5850866469647,74.09071227996688,148.99056405100424,0.0
majority,Fort McMurray-Wood Buffalo,1479.523974060902,1228.0262644750312,83.00144411343496,176.5891241418815,0.0
majority,Fort Saskatchewan-Vegreville,549.9599296967298,545.8669686827614,99.25577104931527,19.54563253659765,0.0
majority,Grande Prairie,57.71924243402744,52.646244959077904,91.21090773021159,47.2134185693735,0.0
majority,Grande Prairie-Wapiti,559.7234748609135,36.98028422308127,6.606884628569591,231.42238231847804,0.0
majority,High River-Vulcan-Siksika,233.94702248301473,228.0373530458344,97.47392833879329,33.50579875184929,0.0
majority,Lacombe-Clearwater,314.76760279689523,259.67001547304164,82.49578837393709,37.279129778928855,0.0
majority,Leduc-Devon,60.2501731998942,59.70103891734656,99.08857642495772,49.21352721841808,0.0
majority,Lesser Slave Lake,1170.4151630721028,906.2614949369027,77.43077187740374,88.35306415453122,0.0
majority,Lethbridge-East,51.97905463665432,51.9790546366542,99.99999999999976,4.578560101338135,0.0
majority,Lethbridge-West,46.51695437454332,46.51695437454328,99.99999999999991,0.25486468409291946,0.0
majority,Livingstone-Macleod,770.556702768647,723.1128302656838,93.84290963500868,39.050155785454,0.0
majority,Lloydminster-Wainwright,520.1803240211857,514.8945937664594,98.98386578449069,18.21220700124547,0.0
majority,Medicine Hat-Brooks,817.8967835403747,746.5350029040172,91.2749649989503,19.642977186760582,0.0
majority,Medicine Hat-Cypress,409.5332400950362,354.49336261109755,86.56033940708546,40.091825651364374,0.0
majority,Mountain View-Kneehill,580.5367114246252,397.2503505103309,68.42811878950543,45.284255488859486,0.0
majority,Okotoks-Diamond Valley,303.2249402363607,258.32862662632317,85.19372661924137,16.966870466064133,0.0
majority,Peace River,1651.6157861879929,1418.0084537066377,85.85583073043084,94.03058957707093,0.0
majority,Red Deer-North,45.55203271353407,44.95222506109203,98.68324723022991,39.83139849694914,0.0
majority,Red Deer-South,27.751897569997187,27.10257825378577,97.66027056501751,33.13124140147902,0.0
majority,Sherwood Park,43.18113656252745,40.385805252536656,93.52649899350594,52.82904306121258,0.0
majority,Spruce Grove,44.337103504408645,42.90161686883775,96.76233555620486,52.16101980725222,0.0
majority,St. Albert,34.301956825308764,34.30195682530879,100.00000000000007,29.881006738056456,0.0
majority,St. Albert-Sturgeon,231.59657238327222,225.09943423133413,97.19463112727512,32.39766977301501,0.0
majority,Stony Plain-Drayton Valley,523.5586273699711,424.69401697802255,81.11680235533848,32.433853100329316,0.0
majority,Strathcona-Sherwood Park,134.73522313975627,121.92097611915314,90.48931176125241,55.35405816251489,0.0
majority,Sylvan Lake-Innisfail,410.49672388619143,361.29451220000396,88.01398188507136,20.2423643550544,0.0
majority,Taber-Cardston,650.8702136846807,533.245041362611,81.92801424170653,29.153582156186886,0.0
majority,West Yellowhead,1624.3981682585245,1201.8654749418822,73.98835448271721,104.34403102750478,0.0
majority,Wetaskiwin-Ponoka-Maskwacis,354.54417647376766,234.7079173964081,66.19990764783408,251.01226226894966,0.0
minority,Calgary-Acadia,25.36544523998925,25.365445239989274,100.00000000000009,112.9250982842932,0.0
minority,Calgary-Airdrie,143.32333564893506,140.52651178939,98.0485914265938,2.133948508664946,0.0
minority,Calgary-Beddington,27.325398276933864,26.92588493832721,98.5379413886022,113.303080123109,0.0
minority,Calgary-Bow-Springbank,63.30284651255539,63.302846512555384,99.99999999999999,21.492497601412925,0.0
minority,Calgary-Buffalo,25.49682795897967,25.097521930332526,98.43389919212866,142.89591861803237,0.0
minority,Calgary-Cross,19.454174713329966,19.454174713329962,99.99999999999999,10.092778848141672,0.0
minority,Calgary-Currie,16.37884313109746,16.37884313109747,100.00000000000006,97.15053424766559,0.0
minority,Calgary-De Winton,107.63857443462138,98.08634827793892,91.12564783874541,39.18575911922195,0.0
minority,Calgary-East,61.83690851254678,49.30976613042325,79.74164187140475,133.53300496994035,0.0
minority,Calgary-Edgemont,29.589515556840794,22.823784629832517,77.13470193855841,192.95952027762382,0.0
minority,Calgary-Elbow,27.8304094259338,25.0921137320739,90.1607782625425,168.86604419398333,0.0
minority,Calgary-Falconridge,50.06180072253128,43.371253696611,86.63542475628714,159.63821074125119,0.0
minority,Calgary-Fish Creek,26.185384597599356,11.240527393252506,42.92672254385381,94.8283705170775,0.0
minority,Calgary-Foothills-Airdrie West,42.910378316212864,42.91037831621286,99.99999999999999,30.988715434196404,0.0
minority,Calgary-Glenmore,30.67618566169201,30.67618566169203,100.00000000000009,19.305572656519328,0.0
minority,Calgary-Hays,25.794338432341075,22.897001804931744,88.76754821602002,32.74379040672965,0.0
minority,Calgary-Klein,87.48571304844589,64.44470101784671,73.66311455009797,178.93342223492607,0.0
minority,Calgary-Lougheed,75.96447175932555,60.26644348228019,79.33503924468712,82.21952776086351,0.0
minority,Calgary-McCall-Bhullar,30.06868259743712,23.533345116638646,78.26530158206697,99.60213990427837,0.0
minority,Calgary-Mountain View,25.05942075182299,25.059420751823026,100.00000000000013,49.25644725082338,0.0
minority,Calgary-Nolan Hill-Cochrane,210.29845254388567,184.43537957505922,87.70172930139404,91.67649268130559,0.0
minority,Calgary-North,34.89228336633621,30.593253431184944,87.67913842147993,72.3197036171727,0.0
minority,Calgary-North East,62.86963010519186,57.96876997110367,92.20472567456147,65.34765349180071,0.0
minority,Calgary-North West-Bearspaw,88.0123254630836,83.71618334496404,95.11870400479128,53.1375367957995,0.0
minority,Calgary-Peigan-Chestermere,192.92468193199846,182.938370200893,94.82372518067676,47.245205661663704,0.0
minority,Calgary-South,22.06730996181112,19.326523653396762,87.57988031546454,127.55462398047081,0.0
minority,Calgary-South East,31.97778600763199,29.68111949598733,92.81793145061222,88.50102109117304,0.0
minority,Calgary-Varsity,26.98290748872855,26.982907488728546,99.99999999999999,31.417228603166908,0.0
minority,Calgary-West-Tsuut'ina,27.12827718754276,27.128277187542707,99.9999999999998,9.140011469886023,0.0
minority,Edmonton-Beaumont,61.565774369903416,34.34472754872938,55.78542282661336,143.02783084853465,0.0
minority,Edmonton-Beverly-Clareview,97.71951535825663,91.52557164339811,93.66150794736296,92.59416667235577,0.0
minority,Edmonton-Castledowns,19.982505390134612,16.042305382272794,80.28175180772327,113.25870684039275,0.0
minority,Edmonton-City Centre,45.33374124026747,39.75360948295972,87.69099658522948,63.28835938422015,0.0
minority,Edmonton-Decore,25.927619379617788,11.466872792563898,44.2264776594886,197.4195238000199,0.0
minority,Edmonton-Ellerslie,34.56673905360765,22.934412165657317,66.34820869301441,191.043170113677,0.0
minority,Edmonton-Enoch-Devon,207.88983271213777,159.8757748169464,76.9040855587797,42.81595954193688,0.0
minority,Edmonton-Glenora-Riverview,44.73400588369069,44.434756510609496,99.33104722644504,46.86573799933118,0.0
minority,Edmonton-Gold Bar,77.90962900751404,61.47775197689694,78.9090549654237,77.0809427626914,0.0
minority,Edmonton-Highlands-Norwood,34.899533981132144,34.35629764684218,98.44342811401532,144.91430551137094,0.0
minority,Edmonton-Manning,22.095945533400904,12.636940625203602,57.191219113484955,138.68678844310142,0.0
minority,Edmonton-McClung,54.833071364232815,54.38699148059316,99.18647656871794,86.68831357542382,0.0
minority,Edmonton-Meadows,31.422937422046658,26.692207275928972,84.94497798669019,161.9653734110954,0.0
minority,Edmonton-Mill Woods,21.057248916297365,14.615969634743724,69.41063238052726,173.22799541282322,0.0
minority,Edmonton-North West,49.16685890027943,26.465215421039694,53.82734633244851,167.30574248289162,0.0
minority,Edmonton-Rutherford,49.420494896429986,10.944535968294797,22.14574336260927,201.4751167197443,0.0
minority,Edmonton-South,52.469397322332945,41.938426483307595,79.92930855612673,110.45527809956153,0.0
minority,Edmonton-Spruce Grove,41.17538769493056,39.73127349555107,96.49277327980742,14.280765920421638,0.0
minority,Edmonton-Strathcona,25.944118562780286,25.944118562780222,99.99999999999976,25.400256283417345,0.0
minority,Edmonton-West Henday,44.078414626384976,41.32991143311715,93.76451440786937,28.669804817792365,0.0
minority,Edmonton-Whitemud,30.372447314181944,30.372447314181958,100.00000000000004,9.500558794864295,0.0
minority,Edmonton-Windermere,51.696258072850334,21.99369799380968,42.54408116505488,85.76344718611301,0.0
minority,Airdrie East,142.72522417254925,65.90914469654594,46.179044439169594,68.94177035180134,0.0
