map,name_2026,perimeter_km_total,da_anchored_km,da_anchored_pct,muni_anchored_km_v0_4,muni_anchored_pct_recomputed,new_total_anchored_pct,pre_da_error_m
majority,Calgary-Acadia,42.59256945884973,21.173308006108126,49.71127188408873,0.0,0.0,49.71127188408873,57.874580174207125
majority,Calgary-Beddington,42.8773227156514,30.11836780970313,70.24311664568809,0.0,0.0,70.24311664568809,38.372665774677465
majority,Calgary-Bhullar-McCall,35.28873080386266,9.313142271167555,26.391264460404308,11.05274336912717,31.32088663250351,57.71215109290782,71.61939938329427
majority,Calgary-Bow,38.78254932595369,30.511800306259815,78.6740449933264,4.001515094275807,10.31782377337931,88.99186876670572,41.33650136910889
majority,Calgary-Buffalo,28.40281971134305,23.88162337126482,84.08187501794892,0.0,0.0,84.08187501794892,27.893948431759135
majority,Calgary-Confluence,17.441724933951438,16.00204536800912,91.7457730161775,0.0,0.0,91.7457730161775,33.10375752710997
majority,Calgary-Cross,17.155222426575385,9.533170810125801,55.57007990381889,6.9319183880314235,40.40704466351363,95.97712456733252,48.42888465494688
majority,Calgary-Currie,22.267056202119424,16.336318347598848,73.36541570341895,5.057374328750428,22.71236162896583,96.07777733238478,64.32355939188335
majority,Calgary-East,45.34968864586492,29.61633518302704,65.30658989590995,0.0,0.0,65.30658989590995,72.9808071331203
majority,Calgary-Edgemont,23.574106132442047,13.279468987317362,56.33074235227317,5.349880040656873,22.69388290101279,79.02462525328596,39.62703164047476
majority,Calgary-Elbow,24.088210666582697,12.366328377712977,51.33767945191813,6.929229181719598,28.766060201110907,80.10373965302904,52.2526778821057
majority,Calgary-Falconridge-Conrich,0.0,0.0,0.0,0.0,,0.0,0.0
majority,Calgary-Fish Creek,32.21584233352207,26.578414640684784,82.50107001867438,1.3201976506202733,4.09797650780823,86.59904652648261,49.340369603254366
majority,Calgary-Glenmore-Tsuut'ina,73.94842730702162,7.5448405733323405,10.202841153074715,8.27070794105574,11.18442709635613,21.387268249430846,68.2249185895578
majority,Calgary-Hays,0.0163035784081558,0.0,0.0,0.0163035784081558,100.0,100.0,0.0
majority,Calgary-Klein,0.01839967581070037,0.01839967581070037,100.0,0.0,0.0,100.0,5.008840595998282
majority,Calgary-Lougheed,36.445195970170694,1.7636578240097782,4.8392052150118205,4.730247754570206,12.979070707815024,17.818275922826846,55.70170464825024
majority,Calgary-McKenzie,23.3947358975859,16.666211491502228,71.23915210866737,0.7955897853558709,3.4007213795389233,74.63987348820629,57.07089039517158
majority,Calgary-Mountain View,25.10829341053864,22.90225310333786,91.21389784988395,0.0,0.0,91.21389784988395,35.51744595287172
majority,Calgary-North,18.069924429399364,4.694752483955158,25.981029983262687,7.663692920408746,42.411316939101795,68.39234692236448,67.31205448934317
majority,Calgary-North East,0.0,0.0,0.0,0.0,,0.0,0.0
majority,Calgary-North West,33.13948321276692,13.676083410194597,41.2682458636709,16.89548505959944,50.982946689677064,92.25119255334796,53.229595333072304
majority,Calgary-Nose Creek,26.953500008613634,25.779117596977628,95.64293167395438,0.0,0.0,95.64293167395438,18.40408476847452
majority,Calgary-Shaw,29.127873946372254,11.348995112257477,38.9626621330217,11.224940931598999,38.53676705778595,77.49942919080766,39.42227500713421
majority,Calgary-South East,40.72111023345651,5.271884258777325,12.946317594371331,16.82212197490235,41.31056810204864,54.25688569641997,64.08727197721069
majority,Calgary-Symons Valley,21.089730779136833,4.622370656408041,21.917637094641126,11.687878890703178,55.419763358314164,77.3374004529553,97.4924900673886
majority,Calgary-Varsity,27.159564339700562,26.460792230020942,97.42716009380833,0.0,0.0,97.42716009380833,27.775986136456527
majority,Calgary-West-Elbow Valley,143.38453216452336,12.768942564854909,8.905383566899303,14.211754920334089,9.911637403138526,18.81702097003783,54.87769461067848
majority,Edmonton-Beaumont,33.586563411905885,1.6994365926149382,5.059870436201031,3.9499442255646566,11.760489387147201,16.820359823348234,77.41782308582381
majority,Edmonton-Beverly-Clareview,32.85495194620742,17.66331917877527,53.76151274759122,14.467147150045507,44.033383989519145,97.79489673711036,9.683623407499713
majority,Edmonton-Castle Downs,28.09704883468757,15.907986414524618,56.61799752750265,3.105375590457912,11.052319440126151,67.6703169676288,57.826518290909064
majority,Edmonton-City Centre,30.726702864902894,26.83692907096936,87.3407380836277,0.0,0.0,87.3407380836277,44.66727933623902
majority,Edmonton-Decore,10.59166909729704,8.672105409071065,81.8766648524184,1.046315933044264,9.878669012717557,91.75533386513595,28.582865419862692
majority,Edmonton-Ellerslie,36.99775813581427,12.98385011495339,35.09361315161652,9.656704427736997,26.100782626580802,61.194395778197325,37.16604149921122
majority,Edmonton-Enoch,40.65046523484577,21.35337633485176,52.529229890701345,0.0,0.0,52.529229890701345,60.31787992663923
majority,Edmonton-Glenora-Riverview,1.7882845837052852,1.7882845837052852,100.0,0.0,0.0,100.0,15.151810829718388
majority,Edmonton-Gold Bar,7.180110189548167,6.923538245038539,96.42662942856907,0.031764002722537384,0.44238879187084235,96.86901822043991,24.279462322233048
majority,Edmonton-Highlands-Norwood,19.91754430485647,17.944550765650895,90.09419279301163,0.0,0.0,90.09419279301163,18.636158359334097
