va_id,parent_ed_2019,majority_ed,minority_ed,is_swing,va_ndp,va_ucp,va_other,eg_contrib_majority,eg_contrib_minority,delta_eg,region
Lethbridge-East|020,Lethbridge-East,Lethbridge-East,Lethbridge-Little Bow,1,135.289711,144.110108,5.250000,0.000085,0.000071,-0.000014,Rest of Alberta
West Yellowhead|018,West Yellowhead,West Yellowhead,West Yellowhead,0,101.126541,223.689174,0.000000,0.000021,0.000022,0.000001,Rest of Alberta
Grande Prairie-Wapiti|040,Grande Prairie-Wapiti,Grande Prairie-Wapiti,Grande Prairie-Wapiti,0,38.347924,99.057387,5.500000,0.000001,0.000001,0.000000,Rest of Alberta
Morinville-St. Albert|056,Morinville-St. Albert,St. Albert-Sturgeon,St Albert-Sturgeon,1,238.436436,207.834607,7.400000,0.000135,0.000138,0.000003,Rest of Alberta
Peace River|026,Peace River,Peace River,Peace River,0,12.537748,34.954667,3.000000,0.000000,0.000000,0.000000,Rest of Alberta
Edmonton-Highlands-Norwood|023,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,0,89.686973,26.662983,3.500000,0.000001,0.000001,0.000000,Edmonton
Calgary-Edgemont|003,Calgary-Edgemont,Calgary-Edgemont,Calgary-Varsity,1,230.415178,224.152596,8.400000,0.000148,-0.000133,-0.000281,Calgary
Calgary-Mountain View|026,Calgary-Mountain View,Calgary-Mountain View,Calgary-Mountainview,1,135.311479,62.867253,1.833333,-0.000021,-0.000021,-0.000001,Calgary
Calgary-West|047,Calgary-West,Calgary-West-Elbow Valley,Calgary-West-Tsuut'ina,1,175.052739,250.978819,2.250000,0.000092,0.000095,0.000004,Calgary
Rimbey-Rocky Mountain House-Sundre|035,Rimbey-Rocky Mountain House-Sundre,Lacombe-Clearwater,Rocky Mountain House-Banff Park,1,40.122973,208.005118,26.800000,-0.000023,-0.000022,0.000001,Mountain-West
Rimbey-Rocky Mountain House-Sundre|063,Rimbey-Rocky Mountain House-Sundre,Mountain View-Kneehill,Rocky Mountain House-Banff Park,1,41.620470,188.772455,30.500000,-0.000019,-0.000017,0.000002,Rest of Alberta
