step,efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share
0,0.0043689390757737003,-0.0123770144560378,-0.032318845033793897,0.45977011494252867,54,87,0.57404276390629949
1,0.015625896500719799,-0.0087808825029293998,-0.0089146623193866997,0.45977011494252867,55,87,0.57404276390629949
2,0.015625896500719799,-0.0087561973164046996,-0.0087241298601596993,0.45977011494252867,55,87,0.57404276390629949
3,0.015625896500719799,-0.0087990404664658999,-0.0088345923193348993,0.45977011494252867,55,87,0.57404276390629949
4,0.015625896500719799,-0.0087601272192306002,-0.0087342631005767994,0.45977011494252867,55,87,0.57404276390629949
5,0.015625896500719799,-0.0087995058355967992,-0.0090382320622799002,0.45977011494252867,55,87,0.57404276390629949
6,0.015625896500719799,-0.0088591796239542997,-0.0091920814741142005,0.45977011494252867,55,87,0.57404276390629949
7,0.015625896500719799,-0.0089048334135773,-0.0093097605131017992,0.45977011494252867,55,87,0.57404276390629949
8,0.015573791713932099,-0.0088672121673446999,-0.0080109750020359999,0.45977011494252867,55,87,0.57404276390629949
9,0.015573791713932099,-0.0088002462984611007,-0.0078384872843430004,0.45977011494252867,55,87,0.57404276390629949
10,0.015227909364489801,-0.0088499329677414994,-0.0084025096447486007,0.45977011494252867,55,87,0.57404276390629938
11,0.015227909364489801,-0.0087656085334884993,-0.0081852155804021994,0.45977011494252867,55,87,0.57404276390629938
12,0.015227909364489801,-0.0087857408887632004,-0.0083404093842947002,0.45977011494252867,55,87,0.57404276390629938
13,0.015227909364489801,-0.0088476725577594003,-0.0085000069808804004,0.45977011494252867,55,87,0.57404276390629938
14,0.0152279093644897,-0.0087806082370021996,-0.0079831679561910007,0.45977011494252867,55,87,0.57404276390629938
15,0.015227909364489801,-0.0088319334989908002,-0.0081154034199006006,0.45977011494252867,55,87,0.57404276390629938
16,0.015227909364489801,-0.0088436704461616004,-0.0081456389791779993,0.45977011494252867,55,87,0.57404276390629938
17,0.0152279093644897,-0.0088928864647936003,-0.0085248894372898995,0.45977011494252867,55,87,0.57404276390629938
18,0.015227909364489801,-0.0088773369621230006,-0.0084050445840346995,0.45977011494252867,55,87,0.57404276390629938
19,0.0152279093644897,-0.0088267020166936001,-0.0082745938709845,0.45977011494252867,55,87,0.57404276390629938
20,0.0152279093644897,-0.0086836868041414005,-0.0079060036240267001,0.45977011494252867,55,87,0.57404276390629949
21,0.0152279093644897,-0.0086123030394571996,-0.0077219500889161002,0.45977011494252867,55,87,0.57404276390629938
22,0.0152279093644897,-0.0086123918841786995,-0.0077226347825507004,0.45977011494252867,55,87,0.57404276390629938
23,0.0152279093644897,-0.0086173107966982,-0.0077353192008099998,0.45977011494252867,55,87,0.57404276390629949
24,0.0152279093644897,-0.0085852173940283993,-0.0076525554022688,0.45977011494252867,55,87,0.57404276390629938
25,0.0152279093644897,-0.0085524487118784995,-0.0075680393933560998,0.45977011494252867,55,87,0.57404276390629938
26,0.015227909364489801,-0.0085575181582687992,-0.0076071089019504002,0.45977011494252867,55,87,0.57404276390629938
27,0.015227909364489801,-0.0047239941201879998,-0.0072101690651005003,0.47126436781609188,55,87,0.57404276390629949
28,0.0152279093644897,-0.0047859977769261,-0.0076882049410544996,0.47126436781609188,55,87,0.57404276390629938
29,0.0152279093644897,-0.0049094643290929999,-0.007611837551424,0.45977011494252867,55,87,0.57404276390629938
30,0.0152279093644897,-0.0048271163185708999,-0.0069770242446284001,0.45977011494252867,55,87,0.57404276390629938
31,0.0152279093644897,-0.0048490076072316996,-0.0070335275012192999,0.45977011494252867,55,87,0.57404276390629938
32,0.015227909364489801,-0.0047477337207802997,-0.0062536324290198998,0.45977011494252867,55,87,0.57404276390629938
33,0.015227909364489801,-0.0045881370656686996,-0.0062367466474043997,0.45977011494252867,55,87,0.57404276390629938
34,0.015227909364489801,-0.0045821192598209,-0.0061904327735579998,0.45977011494252867,55,87,0.57404276390629938
35,0.014622875482592401,-0.0047109247393300998,-0.0080628356201543003,0.45977011494252867,55,87,0.57404276390629938
36,0.014622875482592401,-0.0047296414681805999,-0.0082073857360018994,0.45977011494252867,55,87,0.57404276390629938
37,0.014622875482592401,-0.0047676639822162997,-0.0083055820825840999,0.45977011494252867,55,87,0.57404276390629938
38,0.014622875482592401,-0.0047039219161467,-0.0078134250570477005,0.45977011494252867,55,87,0.57404276390629938
39,0.0146228754825923,-0.0046887086754412999,-0.0077741373379892004,0.45977011494252867,55,87,0.57404276390629938
40,0.014622875482592401,-0.0047374520927422996,-0.0079000074148862006,0.45977011494252867,55,87,0.57404276390629938
41,0.014622875482592401,-0.0047601084684777998,-0.0079585047589761006,0.45977011494252867,55,87,0.57404276390629927
42,0.014622875482592401,-0.0047308405980854996,-0.0077326447404578004,0.45977011494252867,55,87,0.57404276390629938
43,0.014622875482592401,-0.0047608193585393001,-0.0078100400321548004,0.45977011494252867,55,87,0.57404276390629938
44,0.014622875482592401,-0.0048122188791647003,-0.0082067397469790995,0.45977011494252867,55,87,0.57404276390629938
45,0.014622875482592401,-0.0049570498293414998,-0.0085805173450046995,0.45977011494252867,55,87,0.57404276390629938
46,0.014622875482592401,-0.0052101889152408997,-0.0105376118681445,0.45977011494252867,55,87,0.57404276390629927
47,0.028730667055018699,-0.0052829992289317,0.013926867444604101,0.45977011494252867,56,87,0.57404276390629927
48,0.028730667055018699,-0.0052842677253333997,0.013916647559746099,0.45977011494252867,56,87,0.57404276390629927
49,0.028730667055018699,-0.0052555873382017998,0.013988966450058199,0.45977011494252867,56,87,0.57404276390629938
50,0.016171363909596601,-0.0052429102817502004,-0.010509672353761001,0.45977011494252867,55,87,0.57404276390629927
51,0.0182329401873613,-0.0052108663964846001,-0.010336592723124,0.45977011494252867,55,87,0.57404276390629938
52,0.0182329401873613,-0.0052228325920888998,-0.0103674605537691,0.45977011494252867,55,87,0.57404276390629938
53,0.0182329401873613,-0.0052139040868128001,-0.010344428843997701,0.45977011494252867,55,87,0.57404276390629938
54,0.0182329401873613,-0.0053426168591788996,-0.010676374394728599,0.45977011494252867,55,87,0.57404276390629927
55,0.0182329401873613,-0.0053432077465293999,-0.0106778978844435,0.45977011494252867,55,87,0.57404276390629938
56,0.0182329401873613,-0.0053565585107002,-0.010781226446203201,0.45977011494252867,55,87,0.57404276390629938
57,0.0182329401873613,-0.0053328243721441002,-0.010720029737418899,0.45977011494252867,55,87,0.57404276390629938
58,0.0182329401873613,-0.0053328243721441002,-0.010720029737418899,0.45977011494252867,55,87,0.57404276390629938
