efficiency_gap,mean_median,declination,seats_at_50_50
0.03576808002220972,-0.017312614004617144,-0.050936496585489426,0.4367816091954023
0.02334852549709272,-0.017171504583562647,-0.021893385902353343,0.4367816091954023
0.030373491135677708,-0.01778877172149662,-0.03875200595260516,0.45977011494252873
-0.003606351483881511,-0.023742464780617922,0.04191408821448276,0.4482758620689655
0.025688159625374414,-0.023281262024006488,-0.028772027395115776,0.4482758620689655
0.019397789955558662,-0.024988951842338403,-0.011529606136052487,0.4482758620689655
0.02480692583110598,-0.03385720609014253,-0.012071905466037506,0.45977011494252873
0.009386322583812312,-0.017994433073357685,0.0065072470202556364,0.4482758620689655
-0.002039310551328701,-0.019277113698239257,0.03233128729827018,0.4482758620689655
0.010134785395981538,-0.012914920859328993,0.008814491371909304,0.41379310344827586
0.02774455742208257,-0.016794999146639955,-0.04031596941935203,0.4367816091954023
0.016588196530988614,-0.021911916617390004,-0.012948495383859697,0.42528735632183906
0.005694186411561337,-0.014201038269760491,0.014291980613297358,0.4367816091954023
0.01792304037740896,-0.016216923167810537,-0.008205945919432765,0.4367816091954023
-0.005005886532557214,-0.01648227706398875,0.037388657758966805,0.4482758620689655
0.013208859870243776,-0.006206814110923609,-0.014500161285663858,0.47126436781609193
0.0032975887904933073,-0.015273485668821585,0.012799011896260305,0.47126436781609193
0.0047610020451248295,-0.015776865397412854,0.01696150483924001,0.4367816091954023
0.008622541508363392,-0.01074083650108526,0.014099706982059493,0.45977011494252873
0.010028865460368743,-0.023467166980932652,0.014037968134981338,0.45977011494252873
0.037344246050655595,-0.01725394267738689,-0.06317946304722717,0.42528735632183906
0.020714002117100637,-0.008452064509649304,-0.01336315739138657,0.45977011494252873
0.020985366739311295,-0.013885134396807164,-0.017343321986560793,0.45977011494252873
0.009691161957501693,-0.016237267046653514,0.011475199147147019,0.4482758620689655
0.02219844838704707,-0.022244869764592834,-0.0165217820188396,0.4367816091954023
0.028248006517141086,-0.024423812010701096,-0.03943016816114291,0.4367816091954023
0.03164348155877674,-0.01886332054263329,-0.04212474404650342,0.4367816091954023
0.048041964133913526,-0.028577235093051767,-0.0692339761730981,0.4482758620689655
0.03534432592843719,-0.011516752162193944,-0.03949315353135584,0.4482758620689655
