"seats_at_50_50","weight","polsby_popper"
0.448275862068966,8.54286444598955e-05,0.237388443341491
0.436781609195402,0.00103144808362648,0.252188274613461
0.459770114942529,2.85660221554346e-05,0.241163317438841
0.459770114942529,3.2745288158395e-05,0.241857872932376
0.448275862068966,9.53039191033559e-05,0.234490194012653
0.448275862068966,0.00045227892774798,0.239722892028385
0.436781609195402,0.000121412098821753,0.231142168084081
0.459770114942529,4.41761664579285e-05,0.246079571875984
0.459770114942529,8.39056965658859e-05,0.236235833390918
0.448275862068966,3.87506579638772e-05,0.243347176416157
0.471264367816092,4.63686053141211e-05,0.245627188186765
0.471264367816092,0.000127271498635434,0.243006561708662
0.459770114942529,5.42820496897914e-05,0.24696811290318
0.448275862068966,0.000205477484485068,0.232110362575705
0.448275862068966,0.000320519811905706,0.237985295633504
0.459770114942529,0.000240715490878869,0.245406546506176
0.459770114942529,5.33727350365976e-05,0.246757258198143
0.448275862068966,0.000214052330421764,0.247344654853929
0.448275862068966,0.000165534512195496,0.244455825844346
0.448275862068966,0.000203387428791932,0.247489578570201
0.471264367816092,3.86654018157152e-05,0.24230467963115
0.448275862068966,0.000524845799661791,0.245583057261492
0.448275862068966,2.65271745926297e-05,0.239933878859883
0.459770114942529,5.50824475383915e-05,0.24399253422096
0.448275862068966,4.50831416181144e-05,0.245697072319207
0.459770114942529,7.34634156580337e-05,0.247984198454546
0.459770114942529,6.61241127973159e-05,0.246655613176332
0.436781609195402,2.91200304559196e-05,0.237370257034134
0.448275862068966,0.00112610501223231,0.247685963230607
0.471264367816092,7.41322314668874e-05,0.241712356999546
0.459770114942529,0.000495969331411804,0.24792644583156
0.459770114942529,0.000135577978411042,0.24850329611529
0.448275862068966,0.000155434045227305,0.244650430400854
0.425287356321839,9.36974649656996e-05,0.236257661656097
0.436781609195402,3.0814766543946e-05,0.235148680047975
0.448275862068966,0.000146740813754368,0.247232661297905
0.448275862068966,0.00017881022137911,0.246125497923447
0.448275862068966,9.58457890953213e-05,0.24379478440063
0.448275862068966,9.66889490570896e-05,0.231611239613691
0.459770114942529,9.14035371870099e-05,0.245134727625144
0.448275862068966,0.00154175087455728,0.250159581609321
0.436781609195402,0.000208770111611664,0.248448161892105
0.471264367816092,7.71708034110162e-05,0.238363818077195
