efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step
0.00436893907577371,-0.012640851037962864,0.033014005647083115,0.45977011494252873,54,87,0.5740427639062995,0
0.00492655274672999,-0.012568341672682282,0.03193632556694795,0.47126436781609193,54,87,0.5740427639062995,1
0.00492655274672999,-0.012626009146392558,0.03208809467060069,0.47126436781609193,54,87,0.5740427639062995,2
0.00492655274672999,-0.016195667113116707,0.03200654776824926,0.47126436781609193,54,87,0.5740427639062995,3
0.005378460081190503,-0.015369134916937366,0.029318777417028763,0.47126436781609193,54,87,0.5740427639062995,4
0.002946725747385756,-0.015621218735858755,0.03199376980470685,0.47126436781609193,54,87,0.5740427639062995,5
0.0028002536432582383,-0.01562813627911175,0.031354709304619796,0.47126436781609193,54,87,0.5740427639062995,6
0.0028002536432583033,-0.015623921070115787,0.03134363269527463,0.47126436781609193,54,87,0.5740427639062995,7
0.014057211068204303,-0.009162453735137022,0.007814869433140696,0.47126436781609193,55,87,0.5740427639062996,8
0.014057211068204333,-0.009176603635451475,0.007851241076420351,0.47126436781609193,55,87,0.5740427639062994,9
0.01188336429438252,-0.00935524595573356,0.008840547181558887,0.47126436781609193,55,87,0.5740427639062994,10
0.01188336429438252,-0.009298148347534618,0.008401436917793466,0.47126436781609193,55,87,0.5740427639062994,11
0.01188336429438252,-0.009311552264002043,0.008504494259026019,0.47126436781609193,55,87,0.5740427639062995,12
0.012449711590256814,-0.009256229110131686,0.008635703260067136,0.45977011494252873,55,87,0.5740427639062995,13
0.01208475812674915,-0.004631822803619956,0.008293738624247206,0.45977011494252873,55,87,0.5740427639062995,14
0.01208475812674915,-0.004611228086006225,0.008135462423935704,0.45977011494252873,55,87,0.5740427639062995,15
0.01208475812674915,-0.009585039446243337,0.008926615192167333,0.45977011494252873,55,87,0.5740427639062996,16
0.01208475812674915,-0.009494686019872689,0.00823266455906932,0.45977011494252873,55,87,0.5740427639062996,17
0.01208475812674915,-0.009485094124529359,0.008208048577389092,0.45977011494252873,55,87,0.5740427639062995,18
0.01208475812674915,-0.009474222657634868,0.008124599755731031,0.45977011494252873,55,87,0.5740427639062995,19
0.01208475812674915,-0.009432569830142623,0.008017693949929142,0.45977011494252873,55,87,0.5740427639062996,20
-0.0015941192575119078,-0.009136179188299676,0.030951570679945,0.45977011494252873,54,87,0.5740427639062996,21
-0.0015941192575118755,-0.009187311830456846,0.031085827939385205,0.45977011494252873,54,87,0.5740427639062995,22
-0.0015941192575118755,-0.009146025510798905,0.030781767030146116,0.45977011494252873,54,87,0.5740427639062995,23
-0.0015941192575118104,-0.009107751374198059,0.030681274627185718,0.45977011494252873,54,87,0.5740427639062995,24
-0.001594119257511843,-0.009279281721278676,0.031131518031634903,0.45977011494252873,54,87,0.5740427639062995,25
-0.001594119257511843,-0.009264820852371125,0.03109357276644877,0.45977011494252873,54,87,0.5740427639062995,26
-0.0015941192575117781,-0.009157231964253443,0.030811187590233078,0.45977011494252873,54,87,0.5740427639062996,27
-0.0015941192575117781,-0.009155396765502255,0.03080636969546145,0.45977011494252873,54,87,0.5740427639062996,28
-0.0015941192575117781,-0.009179601569268336,0.030869910891662248,0.45977011494252873,54,87,0.5740427639062996,29
-0.0015941192575117456,-0.009195127299824302,0.030910664836803985,0.45977011494252873,54,87,0.5740427639062996,30
-0.0021254245098378875,-0.009288036555654133,0.03134153007486338,0.45977011494252873,54,87,0.5740427639062995,31
-0.0021254245098378875,-0.009286078220290928,0.03132710487188685,0.45977011494252873,54,87,0.5740427639062995,32
-0.00310259605172075,-0.009396763767124616,0.03271054155628585,0.45977011494252873,54,87,0.5740427639062995,33
-0.003102596051720685,-0.009285113546932955,0.032417327390376144,0.45977011494252873,54,87,0.5740427639062995,34
-0.0030379104016745127,-0.00973731295560476,0.03266998874168056,0.45977011494252873,54,87,0.5740427639062995,35
-0.0030379104016745127,-0.0097675618360068,0.03289349530143195,0.45977011494252873,54,87,0.5740427639062995,36
-0.003037910401674545,-0.00956390663289819,0.03235817338434108,0.45977011494252873,54,87,0.5740427639062995,37
-0.0030379104016745127,-0.00956390663289819,0.03235817338434108,0.45977011494252873,54,87,0.5740427639062995,38
-0.0030379104016745127,-0.009543056954995244,0.03230334278280471,0.45977011494252873,54,87,0.5740427639062995,39
-0.0030379104016746102,-0.009583972884393499,0.032605778317225435,0.45977011494252873,54,87,0.5740427639062995,40
-0.00029862182486294894,-0.009418990703596641,0.031577877642439876,0.45977011494252873,54,87,0.5740427639062995,41
-0.00029862182486294894,-0.009440557040815256,0.03163460236603323,0.45977011494252873,54,87,0.5740427639062994,42
-0.00029862182486294894,-0.00914783921808604,0.030864246380361438,0.45977011494252873,54,87,0.5740427639062995,43
-0.00029862182486298147,-0.009144265385514383,0.03085483517119319,0.45977011494252873,54,87,0.5740427639062995,44
-0.00010735304929538815,-0.009088926298201683,0.030465064057379,0.45977011494252873,54,87,0.5740427639062994,45
-0.00010735304929542061,-0.009082025316103692,0.030446890548740366,0.45977011494252873,54,87,0.5740427639062995,46
-0.00010735304929542061,-0.009079118194550206,0.030425437043507454,0.45977011494252873,54,87,0.5740427639062995,47
-0.00010735304929542061,-0.009079118194550206,0.030425437043507454,0.45977011494252873,54,87,0.5740427639062995,48
-0.0001328555527044309,-0.009105258469129573,0.02993517005686274,0.45977011494252873,54,87,0.5740427639062995,49
-0.0001328555527044309,-0.009205628763217288,0.030199281225135998,0.45977011494252873,54,87,0.5740427639062995,50
-0.00013285555270446336,-0.009179728287543099,0.03000840690670412,0.45977011494252873,54,87,0.5740427639062995,51
9.540300550443223e-05,-0.009143403915792048,0.029854506288800892,0.45977011494252873,54,87,0.5740427639062994,52
9.540300550443223e-05,-0.009147001934266874,0.029881015535722616,0.45977011494252873,54,87,0.5740427639062994,53
