burst,best_so_far,burst_best
0,0.47126436781609193,0.47126436781609193
1,0.47126436781609193,0.47126436781609193
2,0.47126436781609193,0.47126436781609193
3,0.47126436781609193,0.47126436781609193
4,0.47126436781609193,0.47126436781609193
5,0.47126436781609193,0.47126436781609193
6,0.47126436781609193,0.47126436781609193
7,0.47126436781609193,0.47126436781609193
8,0.47126436781609193,0.47126436781609193
9,0.4827586206896552,0.4827586206896552
10,0.4827586206896552,0.4827586206896552
11,0.4827586206896552,0.4827586206896552
12,0.4942528735632184,0.4942528735632184
13,0.4942528735632184,0.4942528735632184
14,0.4942528735632184,0.4942528735632184
15,0.4942528735632184,0.4942528735632184
16,0.4942528735632184,0.4942528735632184
17,0.4942528735632184,0.4942528735632184
18,0.4942528735632184,0.4942528735632184
19,0.4942528735632184,0.4942528735632184
20,0.4942528735632184,0.4942528735632184
21,0.4942528735632184,0.4942528735632184
22,0.4942528735632184,0.4942528735632184
23,0.4942528735632184,0.4942528735632184
24,0.4942528735632184,0.4942528735632184
25,0.4942528735632184,0.4942528735632184
26,0.4942528735632184,0.4942528735632184
27,0.4942528735632184,0.4942528735632184
28,0.4942528735632184,0.4942528735632184
29,0.4942528735632184,0.4942528735632184
30,0.4942528735632184,0.4942528735632184
31,0.4942528735632184,0.4942528735632184
32,0.4942528735632184,0.4942528735632184
33,0.4942528735632184,0.4942528735632184
34,0.4942528735632184,0.4942528735632184
35,0.4942528735632184,0.4942528735632184
36,0.4942528735632184,0.4942528735632184
37,0.4942528735632184,0.4942528735632184
38,0.4942528735632184,0.4942528735632184
39,0.4942528735632184,0.4942528735632184
40,0.4942528735632184,0.4942528735632184
41,0.4942528735632184,0.4942528735632184
42,0.4942528735632184,0.4942528735632184
43,0.4942528735632184,0.4942528735632184
44,0.4942528735632184,0.4942528735632184
45,0.4942528735632184,0.4942528735632184
46,0.4942528735632184,0.4942528735632184
47,0.4942528735632184,0.4942528735632184
48,0.4942528735632184,0.4942528735632184
49,0.4942528735632184,0.4942528735632184
50,0.4942528735632184,0.4942528735632184
51,0.4942528735632184,0.4942528735632184
52,0.4942528735632184,0.4942528735632184
53,0.4942528735632184,0.4942528735632184
54,0.4942528735632184,0.4942528735632184
55,0.4942528735632184,0.4942528735632184
56,0.4942528735632184,0.4942528735632184
57,0.4942528735632184,0.4942528735632184
58,0.4942528735632184,0.4942528735632184
59,0.4942528735632184,0.4942528735632184
60,0.4942528735632184,0.4942528735632184
61,0.4942528735632184,0.4942528735632184
62,0.4942528735632184,0.4942528735632184
63,0.4942528735632184,0.4942528735632184
64,0.4942528735632184,0.4942528735632184
65,0.5057471264367817,0.5057471264367817
66,0.5057471264367817,0.5057471264367817
67,0.5057471264367817,0.5057471264367817
68,0.5057471264367817,0.5057471264367817
69,0.5057471264367817,0.5057471264367817
70,0.5057471264367817,0.5057471264367817
71,0.5057471264367817,0.5057471264367817
72,0.5057471264367817,0.5057471264367817
73,0.5057471264367817,0.5057471264367817
74,0.5057471264367817,0.5057471264367817
75,0.5057471264367817,0.5057471264367817
76,0.5057471264367817,0.5057471264367817
77,0.5057471264367817,0.5057471264367817
78,0.5057471264367817,0.5057471264367817
79,0.5057471264367817,0.5057471264367817
80,0.5057471264367817,0.5057471264367817
81,0.5057471264367817,0.5057471264367817
82,0.5057471264367817,0.5057471264367817
83,0.5057471264367817,0.5057471264367817
84,0.5057471264367817,0.5057471264367817
85,0.5057471264367817,0.5057471264367817
86,0.5057471264367817,0.5057471264367817
87,0.5057471264367817,0.5057471264367817
88,0.5057471264367817,0.5057471264367817
89,0.5057471264367817,0.5057471264367817
90,0.5057471264367817,0.5057471264367817
91,0.5057471264367817,0.5057471264367817
92,0.5057471264367817,0.5057471264367817
93,0.5057471264367817,0.5057471264367817
94,0.5057471264367817,0.5057471264367817
95,0.5057471264367817,0.5057471264367817
96,0.5057471264367817,0.5057471264367817
97,0.5057471264367817,0.5057471264367817
98,0.5057471264367817,0.5057471264367817
99,0.5057471264367817,0.5057471264367817
100,0.5057471264367817,0.5057471264367817
101,0.5057471264367817,0.5057471264367817
102,0.5057471264367817,0.5057471264367817
103,0.5057471264367817,0.5057471264367817
104,0.5057471264367817,0.5057471264367817
105,0.5057471264367817,0.5057471264367817
106,0.5057471264367817,0.5057471264367817
107,0.5057471264367817,0.5057471264367817
108,0.5057471264367817,0.5057471264367817
109,0.5057471264367817,0.5057471264367817
110,0.5057471264367817,0.5057471264367817
111,0.5172413793103449,0.5172413793103449
112,0.5172413793103449,0.5172413793103449
113,0.5172413793103449,0.5172413793103449
114,0.5172413793103449,0.5172413793103449
115,0.5172413793103449,0.5172413793103449
116,0.5172413793103449,0.5172413793103449
117,0.5172413793103449,0.5172413793103449
118,0.5172413793103449,0.5172413793103449
119,0.5172413793103449,0.5172413793103449
120,0.5172413793103449,0.5172413793103449
121,0.5172413793103449,0.5172413793103449
122,0.5172413793103449,0.5172413793103449
123,0.5172413793103449,0.5172413793103449
124,0.5172413793103449,0.5172413793103449
125,0.5172413793103449,0.5172413793103449
126,0.5172413793103449,0.5172413793103449
127,0.5172413793103449,0.5172413793103449
128,0.5172413793103449,0.5172413793103449
129,0.5172413793103449,0.5172413793103449
130,0.5172413793103449,0.5172413793103449
131,0.5172413793103449,0.5172413793103449
132,0.5172413793103449,0.5172413793103449
133,0.5172413793103449,0.5172413793103449
134,0.5172413793103449,0.5172413793103449
135,0.5172413793103449,0.5172413793103449
136,0.5172413793103449,0.5172413793103449
137,0.5172413793103449,0.5172413793103449
138,0.5172413793103449,0.5172413793103449
139,0.5172413793103449,0.5172413793103449
140,0.5172413793103449,0.5172413793103449
141,0.5172413793103449,0.5172413793103449
142,0.5172413793103449,0.5172413793103449
143,0.5172413793103449,0.5172413793103449
144,0.5172413793103449,0.5172413793103449
145,0.5172413793103449,0.5172413793103449
146,0.5172413793103449,0.5172413793103449
147,0.5172413793103449,0.5172413793103449
148,0.5172413793103449,0.5172413793103449
149,0.5172413793103449,0.5172413793103449
150,0.5172413793103449,0.5172413793103449
151,0.5172413793103449,0.5172413793103449
152,0.5172413793103449,0.5172413793103449
153,0.5172413793103449,0.5172413793103449
154,0.5172413793103449,0.5172413793103449
155,0.5172413793103449,0.5172413793103449
156,0.5172413793103449,0.5172413793103449
157,0.5172413793103449,0.5172413793103449
158,0.5172413793103449,0.5172413793103449
159,0.5172413793103449,0.5172413793103449
160,0.5172413793103449,0.5172413793103449
161,0.5172413793103449,0.5172413793103449
162,0.5172413793103449,0.5172413793103449
163,0.5172413793103449,0.5172413793103449
164,0.5172413793103449,0.5172413793103449
165,0.5172413793103449,0.5172413793103449
166,0.5172413793103449,0.5172413793103449
167,0.5172413793103449,0.5172413793103449
168,0.5172413793103449,0.5172413793103449
169,0.5172413793103449,0.5172413793103449
170,0.5172413793103449,0.5172413793103449
171,0.5172413793103449,0.5172413793103449
172,0.5172413793103449,0.5172413793103449
173,0.5172413793103449,0.5172413793103449
174,0.5172413793103449,0.5172413793103449
175,0.5172413793103449,0.5172413793103449
176,0.5172413793103449,0.5172413793103449
177,0.5172413793103449,0.5172413793103449
178,0.5172413793103449,0.5172413793103449
179,0.5172413793103449,0.5172413793103449
180,0.5172413793103449,0.5172413793103449
181,0.5172413793103449,0.5172413793103449
182,0.5172413793103449,0.5172413793103449
183,0.5172413793103449,0.5172413793103449
184,0.5172413793103449,0.5172413793103449
185,0.5172413793103449,0.5172413793103449
186,0.5172413793103449,0.5172413793103449
187,0.5172413793103449,0.5172413793103449
188,0.5172413793103449,0.5172413793103449
189,0.5172413793103449,0.5172413793103449
190,0.5172413793103449,0.5172413793103449
191,0.5172413793103449,0.5172413793103449
192,0.5172413793103449,0.5172413793103449
193,0.5172413793103449,0.5172413793103449
194,0.5172413793103449,0.5172413793103449
195,0.5172413793103449,0.5172413793103449
196,0.5172413793103449,0.5172413793103449
197,0.5172413793103449,0.5172413793103449
198,0.5172413793103449,0.5172413793103449
199,0.5172413793103449,0.5172413793103449
200,0.5172413793103449,0.5172413793103449
201,0.5172413793103449,0.5172413793103449
202,0.5172413793103449,0.5172413793103449
203,0.5172413793103449,0.5172413793103449
204,0.5172413793103449,0.5172413793103449
205,0.5172413793103449,0.5172413793103449
206,0.5172413793103449,0.5172413793103449
207,0.5172413793103449,0.5172413793103449
208,0.5172413793103449,0.5172413793103449
209,0.5172413793103449,0.5172413793103449
210,0.5172413793103449,0.5172413793103449
211,0.5172413793103449,0.5172413793103449
212,0.5172413793103449,0.5172413793103449
213,0.5172413793103449,0.5172413793103449
214,0.5172413793103449,0.5172413793103449
215,0.5172413793103449,0.5172413793103449
216,0.5172413793103449,0.5172413793103449
217,0.5172413793103449,0.5172413793103449
218,0.5172413793103449,0.5172413793103449
219,0.5172413793103449,0.5172413793103449
220,0.5172413793103449,0.5172413793103449
221,0.5172413793103449,0.5172413793103449
222,0.5172413793103449,0.5172413793103449
223,0.5172413793103449,0.5172413793103449
224,0.5172413793103449,0.5172413793103449
225,0.5172413793103449,0.5172413793103449
226,0.5172413793103449,0.5172413793103449
227,0.5172413793103449,0.5172413793103449
228,0.5172413793103449,0.5172413793103449
229,0.5172413793103449,0.5172413793103449
230,0.5172413793103449,0.5172413793103449
231,0.5172413793103449,0.5172413793103449
232,0.5172413793103449,0.5172413793103449
233,0.5287356321839081,0.5287356321839081
234,0.5287356321839081,0.5287356321839081
235,0.5287356321839081,0.5287356321839081
236,0.5287356321839081,0.5287356321839081
237,0.5287356321839081,0.5287356321839081
238,0.5287356321839081,0.5287356321839081
239,0.5287356321839081,0.5287356321839081
240,0.5287356321839081,0.5287356321839081
241,0.5287356321839081,0.5287356321839081
242,0.5287356321839081,0.5287356321839081
243,0.5287356321839081,0.5287356321839081
244,0.5287356321839081,0.5287356321839081
245,0.5287356321839081,0.5287356321839081
246,0.5287356321839081,0.5287356321839081
247,0.5287356321839081,0.5287356321839081
248,0.5287356321839081,0.5287356321839081
249,0.5287356321839081,0.5287356321839081
250,0.5287356321839081,0.5287356321839081
251,0.5287356321839081,0.5287356321839081
252,0.5287356321839081,0.5287356321839081
253,0.5287356321839081,0.5287356321839081
254,0.5287356321839081,0.5287356321839081
255,0.5287356321839081,0.5287356321839081
256,0.5287356321839081,0.5287356321839081
257,0.5287356321839081,0.5287356321839081
258,0.5287356321839081,0.5287356321839081
259,0.5287356321839081,0.5287356321839081
260,0.5287356321839081,0.5287356321839081
261,0.5287356321839081,0.5287356321839081
262,0.5287356321839081,0.5287356321839081
263,0.5287356321839081,0.5287356321839081
264,0.5287356321839081,0.5287356321839081
265,0.5287356321839081,0.5287356321839081
266,0.5287356321839081,0.5287356321839081
267,0.5287356321839081,0.5287356321839081
268,0.5287356321839081,0.5287356321839081
269,0.5287356321839081,0.5287356321839081
270,0.5287356321839081,0.5287356321839081
271,0.5287356321839081,0.5287356321839081
272,0.5287356321839081,0.5287356321839081
273,0.5287356321839081,0.5287356321839081
274,0.5287356321839081,0.5287356321839081
275,0.5287356321839081,0.5287356321839081
276,0.5287356321839081,0.5287356321839081
277,0.5287356321839081,0.5287356321839081
278,0.5287356321839081,0.5287356321839081
279,0.5287356321839081,0.5287356321839081
280,0.5287356321839081,0.5287356321839081
281,0.5287356321839081,0.5287356321839081
282,0.5287356321839081,0.5287356321839081
283,0.5287356321839081,0.5287356321839081
284,0.5287356321839081,0.5287356321839081
285,0.5287356321839081,0.5287356321839081
286,0.5287356321839081,0.5287356321839081
287,0.5287356321839081,0.5287356321839081
288,0.5287356321839081,0.5287356321839081
289,0.5287356321839081,0.5287356321839081
290,0.5287356321839081,0.5287356321839081
291,0.5287356321839081,0.5287356321839081
292,0.5287356321839081,0.5287356321839081
293,0.5287356321839081,0.5287356321839081
294,0.5287356321839081,0.5287356321839081
295,0.5287356321839081,0.5287356321839081
296,0.5287356321839081,0.5287356321839081
297,0.5287356321839081,0.5287356321839081
298,0.5287356321839081,0.5287356321839081
299,0.5287356321839081,0.5287356321839081
300,0.5287356321839081,0.5287356321839081
301,0.5287356321839081,0.5287356321839081
302,0.5287356321839081,0.5287356321839081
303,0.5287356321839081,0.5287356321839081
304,0.5287356321839081,0.5287356321839081
305,0.5287356321839081,0.5287356321839081
