step,s50_uniform,s50_regional,applied_s
0,0.45977011494252873,0.42528735632183906,-0.0763422753661871
1,0.45977011494252873,0.42528735632183906,-0.0763422753661871
2,0.45977011494252873,0.42528735632183906,-0.0763422753661871
3,0.45977011494252873,0.42528735632183906,-0.0763422753661871
4,0.45977011494252873,0.42528735632183906,-0.0763422753661871
5,0.45977011494252873,0.42528735632183906,-0.0763422753661871
6,0.45977011494252873,0.4367816091954023,-0.0763422753661871
7,0.45977011494252873,0.4367816091954023,-0.0763422753661871
8,0.45977011494252873,0.4367816091954023,-0.0763422753661871
9,0.45977011494252873,0.4367816091954023,-0.0763422753661871
10,0.45977011494252873,0.4367816091954023,-0.0763422753661871
11,0.45977011494252873,0.4367816091954023,-0.0763422753661871
12,0.45977011494252873,0.4367816091954023,-0.0763422753661871
13,0.45977011494252873,0.42528735632183906,-0.0763422753661871
14,0.45977011494252873,0.42528735632183906,-0.0763422753661871
15,0.45977011494252873,0.42528735632183906,-0.0763422753661871
16,0.45977011494252873,0.42528735632183906,-0.0763422753661871
17,0.45977011494252873,0.42528735632183906,-0.0763422753661871
18,0.45977011494252873,0.42528735632183906,-0.0763422753661871
19,0.45977011494252873,0.42528735632183906,-0.0763422753661871
20,0.45977011494252873,0.42528735632183906,-0.0763422753661871
21,0.45977011494252873,0.4367816091954023,-0.0763422753661871
22,0.45977011494252873,0.4367816091954023,-0.0763422753661871
23,0.45977011494252873,0.4367816091954023,-0.0763422753661871
24,0.45977011494252873,0.4367816091954023,-0.0763422753661871
25,0.45977011494252873,0.4367816091954023,-0.0763422753661871
26,0.45977011494252873,0.4367816091954023,-0.0763422753661871
27,0.47126436781609193,0.4482758620689655,-0.0763422753661871
28,0.47126436781609193,0.4482758620689655,-0.0763422753661871
29,0.45977011494252873,0.4367816091954023,-0.0763422753661871
30,0.45977011494252873,0.4367816091954023,-0.0763422753661871
31,0.45977011494252873,0.4367816091954023,-0.0763422753661871
32,0.45977011494252873,0.4367816091954023,-0.0763422753661871
33,0.45977011494252873,0.4367816091954023,-0.0763422753661871
34,0.45977011494252873,0.4367816091954023,-0.0763422753661871
35,0.45977011494252873,0.4367816091954023,-0.0763422753661871
36,0.45977011494252873,0.4367816091954023,-0.0763422753661871
37,0.45977011494252873,0.4367816091954023,-0.0763422753661871
38,0.45977011494252873,0.4367816091954023,-0.0763422753661871
39,0.45977011494252873,0.4367816091954023,-0.0763422753661871
40,0.45977011494252873,0.4367816091954023,-0.0763422753661871
41,0.45977011494252873,0.4367816091954023,-0.0763422753661871
42,0.45977011494252873,0.4367816091954023,-0.0763422753661871
43,0.45977011494252873,0.4367816091954023,-0.0763422753661871
44,0.45977011494252873,0.4367816091954023,-0.0763422753661871
45,0.45977011494252873,0.4367816091954023,-0.0763422753661871
46,0.45977011494252873,0.4367816091954023,-0.0763422753661871
47,0.45977011494252873,0.4367816091954023,-0.0763422753661871
48,0.45977011494252873,0.4367816091954023,-0.0763422753661871
49,0.45977011494252873,0.4367816091954023,-0.0763422753661871
50,0.45977011494252873,0.4367816091954023,-0.0763422753661871
51,0.45977011494252873,0.4367816091954023,-0.0763422753661871
52,0.45977011494252873,0.4367816091954023,-0.0763422753661871
53,0.45977011494252873,0.4367816091954023,-0.0763422753661871
54,0.45977011494252873,0.4367816091954023,-0.0763422753661871
55,0.45977011494252873,0.4367816091954023,-0.0763422753661871
56,0.45977011494252873,0.4367816091954023,-0.0763422753661871
57,0.45977011494252873,0.4367816091954023,-0.0763422753661871
58,0.45977011494252873,0.4367816091954023,-0.0763422753661871
59,0.45977011494252873,0.4367816091954023,-0.0763422753661871
60,0.45977011494252873,0.4367816091954023,-0.0763422753661871
61,0.45977011494252873,0.4367816091954023,-0.0763422753661871
62,0.45977011494252873,0.4367816091954023,-0.0763422753661871
63,0.45977011494252873,0.4367816091954023,-0.0763422753661871
64,0.45977011494252873,0.4367816091954023,-0.0763422753661871
65,0.45977011494252873,0.4367816091954023,-0.0763422753661871
66,0.45977011494252873,0.4367816091954023,-0.0763422753661871
67,0.45977011494252873,0.4367816091954023,-0.0763422753661871
68,0.45977011494252873,0.4367816091954023,-0.0763422753661871
69,0.45977011494252873,0.4367816091954023,-0.0763422753661871
70,0.45977011494252873,0.4367816091954023,-0.0763422753661871
71,0.45977011494252873,0.4367816091954023,-0.0763422753661871
72,0.45977011494252873,0.4367816091954023,-0.0763422753661871
73,0.45977011494252873,0.4367816091954023,-0.0763422753661871
74,0.45977011494252873,0.4367816091954023,-0.0763422753661871
75,0.45977011494252873,0.4367816091954023,-0.0763422753661871
76,0.45977011494252873,0.4367816091954023,-0.0763422753661871
77,0.45977011494252873,0.4367816091954023,-0.0763422753661871
78,0.45977011494252873,0.4367816091954023,-0.0763422753661871
79,0.45977011494252873,0.4367816091954023,-0.0763422753661871
80,0.45977011494252873,0.4367816091954023,-0.0763422753661871
81,0.45977011494252873,0.4367816091954023,-0.0763422753661871
82,0.45977011494252873,0.4367816091954023,-0.0763422753661871
83,0.45977011494252873,0.4367816091954023,-0.0763422753661871
84,0.45977011494252873,0.4367816091954023,-0.0763422753661871
85,0.45977011494252873,0.4367816091954023,-0.0763422753661871
86,0.45977011494252873,0.4367816091954023,-0.0763422753661871
87,0.45977011494252873,0.4367816091954023,-0.0763422753661871
88,0.45977011494252873,0.4367816091954023,-0.0763422753661871
89,0.45977011494252873,0.4367816091954023,-0.0763422753661871
90,0.45977011494252873,0.4367816091954023,-0.0763422753661871
91,0.45977011494252873,0.4367816091954023,-0.0763422753661871
92,0.45977011494252873,0.4367816091954023,-0.0763422753661871
93,0.45977011494252873,0.4367816091954023,-0.0763422753661871
94,0.45977011494252873,0.4367816091954023,-0.0763422753661871
95,0.45977011494252873,0.4367816091954023,-0.0763422753661871
96,0.45977011494252873,0.4367816091954023,-0.0763422753661871
97,0.45977011494252873,0.4367816091954023,-0.0763422753661871
98,0.45977011494252873,0.4367816091954023,-0.0763422753661871
99,0.45977011494252873,0.4367816091954023,-0.0763422753661871
100,0.45977011494252873,0.4367816091954023,-0.0763422753661871
101,0.45977011494252873,0.4367816091954023,-0.0763422753661871
102,0.45977011494252873,0.4367816091954023,-0.0763422753661871
103,0.47126436781609193,0.4482758620689655,-0.0763422753661871
104,0.47126436781609193,0.4482758620689655,-0.0763422753661871
105,0.47126436781609193,0.4482758620689655,-0.0763422753661871
106,0.47126436781609193,0.4482758620689655,-0.0763422753661871
107,0.47126436781609193,0.4482758620689655,-0.0763422753661871
108,0.47126436781609193,0.4482758620689655,-0.0763422753661871
109,0.47126436781609193,0.4482758620689655,-0.0763422753661871
110,0.45977011494252873,0.4367816091954023,-0.0763422753661871
111,0.45977011494252873,0.4367816091954023,-0.0763422753661871
112,0.45977011494252873,0.4367816091954023,-0.0763422753661871
113,0.45977011494252873,0.4367816091954023,-0.0763422753661871
114,0.45977011494252873,0.4367816091954023,-0.0763422753661871
115,0.45977011494252873,0.4367816091954023,-0.0763422753661871
116,0.45977011494252873,0.4367816091954023,-0.0763422753661871
117,0.45977011494252873,0.4367816091954023,-0.0763422753661871
118,0.45977011494252873,0.4367816091954023,-0.0763422753661871
119,0.45977011494252873,0.4367816091954023,-0.0763422753661871
120,0.45977011494252873,0.4367816091954023,-0.0763422753661871
121,0.45977011494252873,0.4367816091954023,-0.0763422753661871
122,0.45977011494252873,0.4367816091954023,-0.0763422753661871
123,0.45977011494252873,0.4367816091954023,-0.0763422753661871
124,0.45977011494252873,0.4367816091954023,-0.0763422753661871
125,0.45977011494252873,0.4367816091954023,-0.0763422753661871
126,0.45977011494252873,0.4367816091954023,-0.0763422753661871
127,0.45977011494252873,0.4367816091954023,-0.0763422753661871
128,0.45977011494252873,0.4367816091954023,-0.0763422753661871
129,0.45977011494252873,0.4367816091954023,-0.0763422753661871
130,0.45977011494252873,0.4367816091954023,-0.0763422753661871
131,0.45977011494252873,0.4367816091954023,-0.0763422753661871
132,0.45977011494252873,0.4367816091954023,-0.0763422753661871
133,0.45977011494252873,0.4367816091954023,-0.0763422753661871
134,0.45977011494252873,0.4367816091954023,-0.0763422753661871
135,0.45977011494252873,0.4367816091954023,-0.0763422753661871
136,0.4482758620689655,0.42528735632183906,-0.0763422753661871
137,0.4482758620689655,0.42528735632183906,-0.0763422753661871
138,0.4482758620689655,0.42528735632183906,-0.0763422753661871
139,0.4482758620689655,0.42528735632183906,-0.0763422753661871
140,0.4482758620689655,0.42528735632183906,-0.0763422753661871
141,0.4482758620689655,0.42528735632183906,-0.0763422753661871
142,0.4367816091954023,0.41379310344827586,-0.0763422753661871
143,0.4367816091954023,0.41379310344827586,-0.0763422753661871
144,0.4367816091954023,0.41379310344827586,-0.0763422753661871
145,0.4367816091954023,0.41379310344827586,-0.0763422753661871
146,0.4367816091954023,0.41379310344827586,-0.0763422753661871
147,0.4367816091954023,0.41379310344827586,-0.0763422753661871
148,0.4367816091954023,0.41379310344827586,-0.0763422753661871
149,0.4367816091954023,0.41379310344827586,-0.0763422753661871
150,0.4367816091954023,0.41379310344827586,-0.0763422753661871
151,0.4367816091954023,0.41379310344827586,-0.0763422753661871
152,0.4367816091954023,0.41379310344827586,-0.0763422753661871
153,0.4367816091954023,0.41379310344827586,-0.0763422753661871
154,0.4367816091954023,0.41379310344827586,-0.0763422753661871
155,0.4367816091954023,0.41379310344827586,-0.0763422753661871
156,0.42528735632183906,0.40229885057471265,-0.0763422753661871
157,0.42528735632183906,0.40229885057471265,-0.0763422753661871
158,0.42528735632183906,0.40229885057471265,-0.0763422753661871
159,0.42528735632183906,0.40229885057471265,-0.0763422753661871
160,0.42528735632183906,0.40229885057471265,-0.0763422753661871
161,0.4367816091954023,0.41379310344827586,-0.0763422753661871
162,0.4367816091954023,0.41379310344827586,-0.0763422753661871
163,0.4367816091954023,0.41379310344827586,-0.0763422753661871
164,0.4367816091954023,0.41379310344827586,-0.0763422753661871
165,0.4367816091954023,0.41379310344827586,-0.0763422753661871
166,0.4367816091954023,0.41379310344827586,-0.0763422753661871
