name_2026,v4_area_km2,v5_area_km2,sym_diff_km2,vas_flipped_total,votes_flipped_total,vas_in_v4_only,votes_in_v4_only,vas_in_v5_only,votes_in_v5_only
Edmonton-Windermere,36.76,70.01,33.35,28,3417.8,0,0.0,28,3417.8
Calgary-De Winton,835.22,1519.51,685.24,58,10184.0,0,0.0,58,10184.0
Calgary-South,8.83,17.55,8.72,18,4088.4,0,0.0,18,4088.4
