metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,67.4349,-0.0082987577558164,0.017274519622385652,0.042398310228129
efficiency_gap,majority 2026 v8 refined (89 EDs),0.06431336476984474,99.9326,-0.0082987577558164,0.017274519622385652,0.042398310228129
efficiency_gap,minority 2026 v8 refined (89 EDs),0.09207674180701376,100.0,-0.0082987577558164,0.017274519622385652,0.042398310228129
mean_median,2019 enacted,-0.007671760176883757,91.7448,-0.0310892887603344,-0.01882950738869905,-0.005335581745468883
mean_median,majority 2026 v8 refined (89 EDs),-0.018158061174911366,53.4512,-0.0310892887603344,-0.01882950738869905,-0.005335581745468883
mean_median,minority 2026 v8 refined (89 EDs),-0.009697961790394616,87.3697,-0.0310892887603344,-0.01882950738869905,-0.005335581745468883
declination,2019 enacted,-0.04509237880431511,9.1187,-0.05987618249171612,-0.0030576436786636,0.053171364362142606
declination,majority 2026 v8 refined (89 EDs),-0.01175738654996796,41.5118,-0.05987618249171612,-0.0030576436786636,0.053171364362142606
declination,minority 2026 v8 refined (89 EDs),-0.06662214758176674,2.9999,-0.05987618249171612,-0.0030576436786636,0.053171364362142606
seats_at_50_50,2019 enacted,0.45977011494252873,82.2701,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 v8 refined (89 EDs),0.4367816091954023,21.6004,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 v8 refined (89 EDs),0.5421686746987951,100.0,0.425287356321839,0.4482758620689655,0.4827586206896552
