"seats_at_50_50","weight","polsby_popper"
0.448275862068966,4.54485168746562e-05,0.233726709888229
0.448275862068966,0.000184208956860363,0.231232024124258
0.448275862068966,9.91894383094263e-05,0.230481277571068
0.448275862068966,0.000131025944868823,0.235530484392358
0.448275862068966,4.62342569770259e-05,0.23472858859358
0.448275862068966,4.11754193637654e-05,0.228361511539994
0.448275862068966,0.000130210691437877,0.22848112098406
0.448275862068966,9.21454677286026e-05,0.226691621030648
0.459770114942529,7.07080680394833e-05,0.229548751491122
0.436781609195402,7.47834325893224e-05,0.233687536636389
0.459770114942529,0.00138536847518897,0.236023568076593
0.459770114942529,0.000299773748899844,0.223992678262989
0.459770114942529,0.000242629066474023,0.234666926302285
0.448275862068966,0.000145000984818747,0.229048922399893
0.459770114942529,0.0001952278711209,0.232236190147452
0.436781609195402,0.000164756713994206,0.234418218267262
0.448275862068966,0.000232751979284248,0.232165317655577
0.459770114942529,9.10015451683315e-05,0.226293478999501
0.471264367816092,4.38861334009498e-05,0.237859071348753
0.471264367816092,0.00016551686777736,0.225504885425632
0.448275862068966,0.000353752003034639,0.236847318019385
0.448275862068966,5.85173625163455e-05,0.227672293617975
0.436781609195402,0.000104126854503621,0.234024692232149
0.459770114942529,6.89927304894798e-05,0.231519500112861
0.448275862068966,8.81783472369021e-05,0.234154262396852
0.448275862068966,6.65051752634262e-05,0.229125372604698
0.459770114942529,0.000113041120736611,0.231671112598403
0.459770114942529,0.000162198188390064,0.23245656684103
0.459770114942529,1.86444406232023e-05,0.226023340731385
0.448275862068966,0.000211194885239435,0.229746431738646
0.471264367816092,0.000248301159636673,0.226530348089765
0.459770114942529,0.00145463949608913,0.235063104567134
0.436781609195402,7.91131462770587e-05,0.232987284260932
0.459770114942529,8.26292484895798e-05,0.239614072054472
0.448275862068966,6.30502244655783e-05,0.235497429695008
0.459770114942529,0.000291380326185306,0.230139326149334
0.448275862068966,0.000656714171925519,0.225697692425337
0.471264367816092,0.000519507522748479,0.221718899285243
0.436781609195402,0.000118764476486358,0.22703105976213
0.459770114942529,0.000376810098645959,0.239188993009014
0.459770114942529,4.39052567482026e-05,0.231935130566524
0.459770114942529,4.14368754311707e-05,0.226826136245504
0.459770114942529,3.23045934750393e-05,0.227229961914264
0.459770114942529,0.000103234992486557,0.234398149530854
0.482758620689655,4.07208217967658e-05,0.227166157595671
0.459770114942529,0.00042845473094737,0.236781707909933
0.436781609195402,0.000234457404732728,0.234110505668026
0.459770114942529,0.000105053524917982,0.232677341983523
0.459770114942529,8.23941465208555e-05,0.229373900862164
0.459770114942529,0.00024864243114215,0.232199618213496
0.448275862068966,0.000122743847633944,0.231471263740814
0.459770114942529,0.000116181124349892,0.229942399870647
0.459770114942529,2.75001244449635e-05,0.232178847934267
0.448275862068966,0.000163035379333033,0.227530040621291
0.459770114942529,0.000170321605014322,0.235477520655251
0.448275862068966,0.00035291518791514,0.226292079199129
0.459770114942529,0.000484022539884108,0.231419195836891
0.425287356321839,0.000205065652833036,0.238496947332191
0.436781609195402,0.000131886322222631,0.236875100172448
0.448275862068966,0.00105085076665589,0.232875949059792
0.459770114942529,6.04904937148737e-05,0.228619474736762
0.436781609195402,5.11787092145707e-05,0.237779732056206
0.448275862068966,8.51240869258777e-05,0.231556828726175
0.459770114942529,0.000873274907135093,0.234165801968246
0.459770114942529,7.26857878936794e-05,0.234200155307202
0.448275862068966,7.46814233580002e-05,0.229509549659633
0.482758620689655,2.54930014439888e-05,0.225625018556318
0.448275862068966,3.34974121904433e-05,0.228887993860092
0.459770114942529,0.000146310231712737,0.230663625648372
0.448275862068966,8.41996439820591e-05,0.228903236000857
0.448275862068966,0.00262585458912575,0.233310449779514
0.459770114942529,0.000179375585181433,0.23402171220397
0.448275862068966,0.00192839729634182,0.232529164970072
0.436781609195402,0.00013911780729088,0.232865998459872
0.448275862068966,0.00115036385422646,0.230848018045974
0.459770114942529,7.30152955671434e-05,0.232239267831458
0.471264367816092,0.000421772223420714,0.226397622762546
0.448275862068966,0.000102812317882657,0.238127459191
0.448275862068966,9.88262938356222e-05,0.232937164133708
0.459770114942529,2.9890979978674e-05,0.226595482269046
0.459770114942529,6.28072456687456e-05,0.229872493192506
0.436781609195402,0.000173124382406428,0.232728082011942
0.448275862068966,0.000132520008451502,0.223756993245303
0.459770114942529,1.64057096820932e-05,0.232237152384238
0.448275862068966,3.07930984973563e-05,0.235611895330016
0.459770114942529,6.83322913118426e-05,0.231781368588045
0.448275862068966,0.000306929720600608,0.234811138739831
0.436781609195402,0.000251440443705953,0.231841534983
0.459770114942529,0.000111965477747812,0.231796732126882
0.448275862068966,3.19079547192172e-05,0.23404578258718
0.448275862068966,0.000131549063007793,0.232890883117945
0.459770114942529,9.83099334360155e-05,0.231294429100587
0.459770114942529,0.00111444423385094,0.233011764015131
0.448275862068966,0.000122630131298615,0.230840095884927
0.448275862068966,0.000235295417355982,0.231022817965824
0.459770114942529,0.000235264519918411,0.236169950936808
0.436781609195402,0.00061871104659394,0.235933149193852
0.459770114942529,7.52301853172911e-05,0.22632032342686
0.459770114942529,9.68505484101759e-05,0.235573630879619
0.448275862068966,5.43272015627553e-05,0.235751059937597
0.459770114942529,0.000124363277714368,0.229765589628157
0.448275862068966,9.10090821322505e-05,0.237482511084063
0.459770114942529,0.000151321362698137,0.239766820559235
0.448275862068966,4.61925049037921e-05,0.231632388148659
0.459770114942529,1.5277782125669e-05,0.221342408414699
0.448275862068966,0.000103767254223494,0.234836544904548
0.459770114942529,0.000121663605404978,0.235021403534207
0.448275862068966,0.000238565657949167,0.229922326525681
0.459770114942529,0.00018632774498484,0.230720030845309
0.459770114942529,0.00102740553911707,0.232535920875185
0.482758620689655,4.41309087148353e-05,0.22795490822036
0.448275862068966,0.000232303967900425,0.230699690569006
0.459770114942529,0.000149031404387532,0.234214188050672
0.459770114942529,0.000177115492246229,0.231480000682187
0.448275862068966,0.000409700195991018,0.225534117899439
0.459770114942529,9.17799501083328e-05,0.227954761460391
0.459770114942529,0.000131814025523129,0.234786817397059
0.459770114942529,9.69388178134974e-05,0.231645942565599
0.459770114942529,0.0010285854518664,0.234321119893056
0.448275862068966,0.000178924243461876,0.229972368119267
0.436781609195402,4.11622437863392e-05,0.233722767049083
0.459770114942529,0.000448610781383353,0.228820027366009
0.471264367816092,0.000145462106369574,0.221983506092993
0.436781609195402,0.000317291891748765,0.238328170072494
0.459770114942529,1.61910332385814e-05,0.229505869783575
0.436781609195402,0.00013672415260632,0.227989524815926
0.459770114942529,0.000101895843659052,0.22758814281396
0.459770114942529,0.000463338992893459,0.230776868311085
0.459770114942529,0.000244308332283515,0.227132376454249
0.459770114942529,0.000104578210805264,0.227972605082009
0.471264367816092,5.84147758101829e-05,0.222619344811313
0.471264367816092,2.98260130772123e-05,0.230598204644351
0.448275862068966,9.85308490049648e-05,0.229338573399486
0.459770114942529,8.07825116855421e-05,0.239508895163159
0.448275862068966,0.000192568594565258,0.23504215515878
