map,ed_name,v5_area_km2,v6_area_km2,delta_km2,delta_pct
minority,Calgary-De Winton,1519.51,413.82,-1105.69,-72.8
minority,Calgary-South,17.55,18.24,0.69,3.9
minority,Edmonton-Windermere,70.01,79.69,9.68,13.8
majority,Calgary-East,,77.48,,
majority,Calgary-Falconridge-Conrich,,62.99,,
majority,Calgary-Glenmore-Tsuut'ina,,112.28,,
majority,Calgary-West-Elbow Valley,,544.4,,
majority,Edmonton-Beaumont,,29.89,,
majority,Edmonton-Enoch,,58.04,,
