ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Chestermere-Strathmore,56679,69901,23.327863935496392,3.185044437985128,9.32307158097693,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Cochrane-Springbank,56487,66523,17.76691982225999,2.8355053047595393,4.039980698149214,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Cold Lake-Bonnyville-St. Paul,55809,58799,5.3575588166783135,1.6011952405566792,-8.040124091359747,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Drumheller-Stettler,50626,59621,17.767550270611938,-7.834540840215334,-6.754540697137015,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Beaumont,55802,65717,17.768180351958712,1.588451626324496,2.7794208249819143,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Beverly-Clareview,57481,67694,17.767610166837738,4.645098525729514,5.871389645393516,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Castle Downs,59612,70204,17.768234583640876,8.524618801269773,9.796954510964138,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-City Centre,57312,67495,17.767657733109996,4.337431267838241,5.560159602266602,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Decore,57959,68257,17.767732362532136,5.51530532615572,6.751904792531469,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Ellerslie,59760,70378,17.767737617135207,8.794055216464498,10.069085302441943,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Enoch,56894,67003,17.768130207051712,3.5764554465450322,4.7906863298121225,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Glenora-Riverview,56622,66682,17.766945710148,3.0812750078087814,4.288651938637552,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Gold Bar,54981,64750,17.767956203051963,0.09380772852132774,1.267061771194348,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Highlands-Norwood,51806,61011,17.768212176195807,-5.686331583933069,-4.580622305446512,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Manning,56901,67011,17.767701797859438,3.589199060777215,4.803198090339837,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-McClung,61859,72850,17.767826831988877,12.61531896980049,13.93521930550592,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Meadows,56880,66986,17.767229254571028,3.550968218080666,4.764098838690727,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Mill Woods,59673,70275,17.766829219244883,8.635670296721653,9.90799638564761,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-North West,61226,72104,17.766961748276877,11.462932139947378,12.768497636296484,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Rutherford,58082,68402,17.76798319617093,5.7392288333783625,6.978680452096306,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
