efficiency_gap,mean_median,declination,seats_at_50_50
0.011861205950889216,-0.021087042095484287,0.011124940272166811,0.47126436781609193
0.016110658831376207,-0.009522914256862247,0.01289983769037964,0.47126436781609193
-0.000489545277164524,-0.02166780004382618,0.035852461285874215,0.45977011494252873
0.011818185744961551,-0.019536555302408942,0.013628443331129425,0.45977011494252873
-0.0017282099755745654,-0.03248747637603988,0.041236581964868485,0.45977011494252873
0.02450821842980267,-0.03494899754649494,-0.009713667103469615,0.45977011494252873
0.02432340184424617,-0.021615584340896277,-0.013408225273112495,0.47126436781609193
0.02352657518698888,-0.02647911809805692,-0.009036900991822503,0.45977011494252873
0.017125409655666914,-0.021554407600810954,0.01180011254920075,0.45977011494252873
0.010333788157428178,-0.012988743031917549,0.01489150282614314,0.4827586206896552
0.02022014844637304,-0.013139222765959246,-0.011204087041045578,0.47126436781609193
0.03447991987412313,-0.020951875208237714,-0.03863202324502481,0.4827586206896552
0.020767324607951408,-0.021195126970894873,-0.014091060635727662,0.4827586206896552
0.01088723638408913,-0.02273224283165487,0.009531900461304947,0.47126436781609193
0.004124483114277312,-0.017975317011576064,0.017548908302445,0.4827586206896552
0.006628668948859571,-0.013197291810215006,0.015097124244146925,0.47126436781609193
0.008046446866842675,-0.01186077089209614,0.01648171489132279,0.47126436781609193
0.021829356556321827,-0.004802606140980159,-0.0083883275272537,0.4827586206896552
0.0419642831795816,-0.02232258802538245,-0.058164888985815046,0.4827586206896552
0.026796638297356516,-0.02323494096136436,-0.03469855583303983,0.45977011494252873
0.009738643966944287,-0.004276658690684609,-0.009928111739211822,0.4482758620689655
0.02245667105101294,-0.012943608618277813,-0.012322244842130386,0.4482758620689655
0.018464897039866576,-0.010818225734111064,-0.011383681859557255,0.45977011494252873
0.030178271520766315,-0.01806128226294379,-0.038002844903286224,0.4482758620689655
0.02367474522103332,-0.02824213100224926,-0.017594528939642515,0.47126436781609193
0.004963796925155027,-0.03220244916646986,0.030014310902993016,0.47126436781609193
0.0009451840984757384,-0.015641223045379182,0.029488602810568622,0.45977011494252873
-0.008680324877360701,-0.028023296779646545,0.05333256283130817,0.45977011494252873
0.0027688758565505285,-0.020390824664636598,0.032787886522069286,0.4482758620689655
0.051526731250735446,-0.03037006325885694,-0.07382520407840916,0.4482758620689655
0.024783940248689906,-0.0089825052990542,-0.027865597980084082,0.45977011494252873
-0.013210959409952596,-0.013440655918416144,0.049897701374561135,0.45977011494252873
-0.00630257656362774,-0.01753392809219001,0.026296091424676527,0.45977011494252873
-0.005037926520783674,-0.012424092090809302,0.024956032962912107,0.45977011494252873
-0.003321447920475017,-0.015064176910070781,0.02436586596366864,0.45977011494252873
-0.0011605595198972709,-0.0151815454636397,0.028383452126571465,0.4482758620689655
0.015513546704632565,-0.011148963162461722,-0.0025624806563879143,0.4482758620689655
0.025855629701526186,-0.018465277572863315,-0.028889865263767908,0.4482758620689655
0.016692222720730204,-0.007382814763012724,-9.741243886044893e-05,0.45977011494252873
0.004095400924633042,-0.009650522518934168,0.024810948384334796,0.47126436781609193
0.016576069580940957,0.00751033837817483,4.794469688518697e-05,0.4942528735632184
0.024563977294380836,0.005961472630032438,-0.018726929014201112,0.4942528735632184
0.006631219142873674,0.006387788759421031,0.024793353618033677,0.4942528735632184
0.025789010031976055,-0.022564913300987532,-0.0187236748508918,0.47126436781609193
-0.0002454939027313977,-0.021263333330368672,0.029570227472807097,0.45977011494252873
0.0225038777433039,-0.023546686214138468,-0.023177404103627883,0.4482758620689655
0.026078573789789176,-0.023087911702897257,-0.02631773980975937,0.45977011494252873
0.02403845462760139,-0.025059901618842084,-0.022084978253226993,0.47126436781609193
0.02688297510866434,-0.006670443906690471,-0.01968825858616786,0.4827586206896552
0.02522270876311046,-0.021548687274319023,-0.020690425251046935,0.45977011494252873
0.016166428317571934,-0.020298685943046735,0.006490865647008954,0.47126436781609193
0.016338930022872563,-0.019870624003789694,0.004434244297278092,0.47126436781609193
0.028197641462772264,-0.01301018317796332,-0.01698423171714451,0.4827586206896552
0.03572937637722545,-0.017024395468091758,-0.044231245897364574,0.47126436781609193
0.04314152515662815,-0.021376347909557003,-0.0653986769715956,0.45977011494252873
0.03222677101839285,0.0009248056459855158,-0.04426933154238364,0.45977011494252873
0.025849438183709023,-0.021239095202428393,-0.019301826508812507,0.47126436781609193
0.028491045941115328,-0.012022745621679598,-0.023127413474479767,0.45977011494252873
0.02196090255211259,-0.0025790297281202967,-0.021077223889022337,0.4482758620689655
0.03187039406837895,0.0011535735620047394,-0.04920219901032462,0.45977011494252873
-0.0034033023287676975,-0.00274125640610412,0.029654906934053045,0.47126436781609193
0.0027644836970499107,0.00460141153472271,0.032953682851993515,0.4827586206896552
0.0026251277547220254,0.005160116426878858,0.03305350722855847,0.4942528735632184
0.018443175631089635,-0.006178756297862686,0.011299662978690258,0.45977011494252873
0.03918145478249038,-0.0012601207488032173,-0.03637614172141404,0.47126436781609193
0.0263476704552817,0.0076473368868555935,-0.014094626556272003,0.5057471264367817
0.03979904430130486,0.008090747013452582,-0.04740819287956085,0.5057471264367817
0.021991799147364724,-0.012193373308768574,-0.016449843442604927,0.4827586206896552
0.020508914134477828,-0.00048146328080544976,-0.017218058992265486,0.4942528735632184
0.02259128448139912,-0.008167068285111379,-0.009062335923085295,0.4827586206896552
0.01852395427875211,-0.008560718118022281,-0.010909010359315035,0.4942528735632184
0.032987805037804775,0.0002299384330227694,-0.04420814445935075,0.4942528735632184
0.023926192741491714,0.0014348006626095922,-0.017286534783989387,0.4942528735632184
0.008215724790558177,-0.01267451932368413,0.007791460600920147,0.4827586206896552
0.014450210590624202,0.007772153009482197,0.002133349099924883,0.4942528735632184
0.020543945355241625,-0.016523640475477164,-0.019288971806650474,0.47126436781609193
0.03404291245605629,0.0007184536832426369,-0.04575477304967439,0.4827586206896552
0.023074011967653053,0.0006755900391851588,-0.019086173678121873,0.4827586206896552
-0.000895684504759044,-0.007804005591812602,0.025569449339108218,0.4942528735632184
0.008352058560864902,-0.01530485636337997,0.005298117984870043,0.45977011494252873
0.0350699570380681,-0.025995107036236753,-0.03741676193802687,0.45977011494252873
0.03230184094902981,-0.018382312228262476,-0.036731078749376846,0.45977011494252873
0.032844353335428955,-0.021043698769205088,-0.037962425009713696,0.47126436781609193
0.00813065758439839,-0.019113864987821083,0.010711345981427707,0.4942528735632184
0.025241928780986553,-0.01588022341181805,-0.014630017976281386,0.47126436781609193
0.029900789007859377,-0.0167966851009812,-0.03498792586318312,0.47126436781609193
-0.006464774213735923,-0.01721652273755503,0.0400216164509645,0.4827586206896552
-0.0044745889245769305,-0.011679223871113198,0.04110171290848588,0.45977011494252873
0.017601859524629244,-0.010711898228801364,-0.010122361430422295,0.47126436781609193
0.01647490253748696,-0.022680239483689135,-0.00956830990156604,0.45977011494252873
0.007866017009277828,-0.026095861055298264,0.013093919891377452,0.4482758620689655
0.005010393276778735,-0.018158129237155207,0.010508547965918207,0.4482758620689655
0.002222529388132388,-0.019676905464385608,0.029471822545471586,0.4367816091954023
0.018624387183369274,-0.019592912352577985,-0.009822250103942953,0.4367816091954023
0.01907692529706388,-0.0224798551635087,-0.008380312007552692,0.4482758620689655
0.012242982084942825,-0.02563670357069181,0.012503949401387836,0.4367816091954023
0.013793523260212472,-0.012533279208924775,0.011573177355216646,0.47126436781609193
0.023446491531065733,-0.014719195415962116,-0.012360129129248868,0.4482758620689655
0.021332496565532086,-0.016097175437223,-0.010748845369198626,0.4367816091954023
-0.001317059436697846,-0.011132465177258966,0.03251431607287876,0.4482758620689655
0.0022288139658020838,-0.012182873602898492,0.0297430221388884,0.4367816091954023
-0.0001942230336108546,-0.01279316132324182,0.032124440731500045,0.4367816091954023
