map,name,perimeter_km_total,perimeter_km_anchored,anchored_pct
minority_2026,Airdrie East,145.93749525697723,91.17619235757849,62.476193795863686
minority_2026,Barrhead-Westlock-Athabasca,762.999067500393,240.0533880236153,31.46181931912933
minority_2026,Calgary-Acadia,55.94158804004621,54.29525325264307,97.05704674271207
minority_2026,Calgary-Airdrie,180.90861192902418,85.15605890859622,47.0713129687853
minority_2026,Calgary-Beddington,27.11075665719852,27.11075665719852,100.0
minority_2026,Calgary-Bow-Springbank,64.3799590412851,45.45284040576903,70.60091538210108
minority_2026,Calgary-Buffalo,28.161024725466586,25.682197883932485,91.19766817543238
minority_2026,Calgary-Cross,19.551974592101494,17.65396259481098,90.29247921559156
minority_2026,Calgary-Currie,29.76207181249458,28.926504167969078,97.192508472563
minority_2026,Calgary-De Winton,77.3032260376156,50.52002749163037,65.3530649122553
minority_2026,Calgary-East,31.743620454222285,25.61848811940435,80.70436753220689
minority_2026,Calgary-Edgemont,48.2887013286663,44.92931581906524,93.04312309677547
minority_2026,Calgary-Elbow,45.11505230399655,41.728426021219406,92.49335618640714
minority_2026,Calgary-Falconridge,29.53368688884783,26.01602271390806,88.08931581018398
minority_2026,Calgary-Fish Creek,1.4477758549193593,1.4477758549193593,100.0
minority_2026,Calgary-Foothills-Airdrie West,44.117719454046,35.222965407589186,79.83859057873157
minority_2026,Calgary-Glenmore,30.881542091472994,28.996502351518064,93.89590152469935
minority_2026,Calgary-Hays,27.952525585477854,22.45925756279225,80.34786514768628
minority_2026,Calgary-Klein,93.15255756414062,71.60793931600234,76.87168359998745
minority_2026,Calgary-Lougheed,109.15576325710192,87.59496547970548,80.24767805744453
minority_2026,Calgary-McCall-Bhullar,11.224976383213054,6.283541616760581,55.978216810839925
minority_2026,Calgary-Mountain View,25.23571429782871,22.73714514955314,90.0990749903578
minority_2026,Calgary-Nolan Hill-Cochrane,115.52266667518681,21.556961903582177,18.660374214000385
minority_2026,Calgary-North,21.945260726144113,16.75645379007017,76.35568334855853
minority_2026,Calgary-North East,46.459775585075285,36.79165789924954,79.19034785667039
minority_2026,Calgary-North West-Bearspaw,18.59930808980105,11.871112255541835,63.825558446721864
minority_2026,Calgary-Peigan-Chestermere,2.1527157107659383,2.1527157107659383,100.0
minority_2026,Calgary-South,21.496382604326545,19.992062688108497,93.00198575775593
minority_2026,Calgary-South East,31.926303220778255,27.328247189389206,85.59790652994693
minority_2026,Calgary-Varsity,27.195335162906957,24.934405948613296,91.68633443658582
minority_2026,Calgary-West-Tsuut'ina,19.738779895599006,19.738779895599006,100.0
minority_2026,Camrose,803.7218487536505,446.7010603677564,55.579061470142406
minority_2026,Canmore-Kananaskis,1211.382207379066,193.8881348781816,16.00552936118122
minority_2026,Central Peace-Notley,1502.8770668918119,502.0346841818983,33.404906844455724
minority_2026,Chestermere-Strathmore,190.15944537792433,123.98631469439324,65.2012391222439
minority_2026,Cold Lake-Bonnyville-St. Paul,687.0156197851256,87.45804170535185,12.73013876055768
minority_2026,Drumheller-Stettler,1364.6648904530641,683.462353308664,50.0827974757786
minority_2026,Edmonton-Beaumont,69.54642507320087,40.0619760054761,57.604651803897895
minority_2026,Edmonton-Beverly-Clareview,76.37194190079094,73.3826651664218,96.08589665265775
minority_2026,Edmonton-Castledowns,53.20908440920084,48.2818721850364,90.73990413691006
minority_2026,Edmonton-City Centre,24.085713871433533,24.085713871433533,100.0
minority_2026,Edmonton-Decore,17.536964964629423,17.536964964629423,100.0
minority_2026,Edmonton-Ellerslie,44.77487908377376,24.11173670048703,53.85103699637913
