metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,72.2776,-0.0097672625471284,0.0150600499899664,0.04033930410014431
efficiency_gap,majority 2026 v0_9 topological,0.01436228021483706,48.0332,-0.0097672625471284,0.0150600499899664,0.04033930410014431
efficiency_gap,minority 2026 v0_9 topological,0.017455936485701956,56.1264,-0.0097672625471284,0.0150600499899664,0.04033930410014431
mean_median,2019 enacted,-0.007671760176883757,91.2848,-0.03033981418978386,-0.0185583883022611,-0.005022557729439402
mean_median,majority 2026 v0_9 topological,-0.007854675550633905,90.9516,-0.03033981418978386,-0.0185583883022611,-0.005022557729439402
mean_median,minority 2026 v0_9 topological,-0.017938114847363518,53.2152,-0.03033981418978386,-0.0185583883022611,-0.005022557729439402
declination,2019 enacted,-0.04509237880431511,8.1804,-0.05606641528567556,0.0032157682734495503,0.05481581442182597
declination,majority 2026 v0_9 topological,-0.028228298763724593,19.7008,-0.05606641528567556,0.0032157682734495503,0.05481581442182597
declination,minority 2026 v0_9 topological,0.010510016514877743,62.1544,-0.05606641528567556,0.0032157682734495503,0.05481581442182597
seats_at_50_50,2019 enacted,0.45977011494252873,78.6084,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 v0_9 topological,0.4606741573033708,78.6084,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 v0_9 topological,0.48314606741573035,98.5208,0.425287356321839,0.4482758620689655,0.4827586206896552
