metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.024119940578423545,68.745,-0.006104509001395728,0.0170246818804665,0.041740016044146185
efficiency_gap,majority 2026 canonical,0.0009823668405000681,13.754,-0.006104509001395728,0.0170246818804665,0.041740016044146185
efficiency_gap,minority 2026 canonical,0.04019385991913548,93.934,-0.006104509001395728,0.0170246818804665,0.041740016044146185
mean_median,2019 enacted,-0.007671760176883757,94.352,-0.03130174158440253,-0.02015151722660545,-0.007203385727917595
mean_median,majority 2026 canonical,-0.036190901059016234,0.674,-0.03130174158440253,-0.02015151722660545,-0.007203385727917595
mean_median,minority 2026 canonical,0.010401768621624785,100.0,-0.03130174158440253,-0.02015151722660545,-0.007203385727917595
declination,2019 enacted,-0.04509237880431511,9.24,-0.0596650631671869,-0.004307361583373651,0.04624071513122312
declination,majority 2026 canonical,0.026675251362353544,82.22,-0.0596650631671869,-0.004307361583373651,0.04624071513122312
declination,minority 2026 canonical,-0.07700256493469557,1.889,-0.0596650631671869,-0.004307361583373651,0.04624071513122312
seats_at_50_50,2019 enacted,0.45977011494252873,82.344,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,majority 2026 canonical,0.4606741573033708,82.344,0.425287356321839,0.4482758620689655,0.4827586206896552
seats_at_50_50,minority 2026 canonical,0.5168539325842697,100.0,0.425287356321839,0.4482758620689655,0.4827586206896552
population_mad,2019 enacted,,,2593.5705715231793,3145.082085055881,3676.177144083209
population_mad,majority 2026 canonical,2826.8945263667047,16.576,2593.5705715231793,3145.082085055881,3676.177144083209
population_mad,minority 2026 canonical,3938.1069235499162,99.261,2593.5705715231793,3145.082085055881,3676.177144083209
reock_proxy_median,2019 enacted,,,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_median,majority 2026 canonical,0.5681238648363268,100.0,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_median,minority 2026 canonical,0.5784679859542419,100.0,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_pct_below_030,2019 enacted,,,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,majority 2026 canonical,0.02247191011235955,0.913,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,minority 2026 canonical,0.011235955056179775,0.05,0.0344827586206896,0.0689655172413793,0.1149425287356321
