efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step,population_mad,reock_proxy_median,reock_proxy_pct_below_030,burst,burst_seed
0.0017394488135663937,-0.012875101199648742,-0.03476890876806648,0.45977011494252873,54,87,0.5740427639062994,9,2605.1840241330137,0.4293842299733217,0.13793103448275862,0,191664963
0.00228295190718969,-0.012667660110458279,-0.03285588609363557,0.45977011494252873,54,87,0.5740427639062994,9,2944.155606509288,0.4275072080763801,0.14942528735632185,1,1662057957
-0.011247397446239949,-0.012360810522422327,-0.05588038044756702,0.45977011494252873,53,87,0.5740427639062995,9,3059.0225571373303,0.4140136012999256,0.11494252873563218,2,1405681631
-0.0009689467889990977,-0.013139333875628822,-0.03557281140080448,0.4482758620689655,54,87,0.5740427639062995,9,2960.4336028556645,0.4522280019080022,0.13793103448275862,3,942484272
0.003941772143672861,-0.012147891214962958,-0.03194352422524571,0.4482758620689655,54,87,0.5740427639062995,9,2968.761828308365,0.41563802937126976,0.13793103448275862,4,929893137
0.00180484828458271,-0.012736315585873181,-0.0340566243510189,0.47126436781609193,54,87,0.5740427639062995,9,3370.3402225452883,0.4408831328889541,0.11494252873563218,5,1843824992
0.0036348658193281883,-0.0107982441734088,-0.03377347511125669,0.47126436781609193,54,87,0.5740427639062995,9,2552.681824051353,0.44285501494434615,0.11494252873563218,6,184566854
0.0002123840681842426,-0.015860145677371706,-0.03543608122702383,0.47126436781609193,54,87,0.5740427639062996,9,2889.7693575216035,0.4407719880685562,0.12643678160919541,7,1497586438
0.015111552643700355,-0.012643045079112958,-0.008783640667084156,0.4482758620689655,55,87,0.5740427639062996,9,3420.0918341465367,0.4275072080763801,0.12643678160919541,8,432652533
0.006678105255439249,-0.013396715808723814,-0.03133034754702169,0.4482758620689655,54,87,0.5740427639062994,9,2990.4308957613466,0.4266955621542589,0.12643678160919541,9,202244314
0.003864118383899956,-0.011803293434353268,-0.03117872083008075,0.45977011494252873,54,87,0.5740427639062994,9,3023.1480772960495,0.4113579393535959,0.09195402298850575,10,1130604997
0.004368939075773709,-0.013173486022741154,-0.035737569785754375,0.45977011494252873,54,87,0.5740427639062994,9,3256.389137501101,0.4275072080763801,0.12643678160919541,11,2095133045
0.004973941977953702,-0.01269272407148414,-0.03372484627926414,0.45977011494252873,54,87,0.5740427639062995,9,3152.421236599039,0.4113579393535959,0.11494252873563218,12,1580016183
0.00587287114543201,-0.012042954492781144,-0.031385329127633255,0.45977011494252873,54,87,0.5740427639062994,9,2675.8482694670747,0.4113579393535959,0.11494252873563218,13,1634535062
0.0001638606574345639,-0.012907287583569182,-0.034573497341283586,0.47126436781609193,54,87,0.5740427639062995,9,3069.423366548108,0.4407719880685562,0.11494252873563218,14,1540770719
-0.00044560642203064847,-0.012789087351586681,-0.03576130474777591,0.4482758620689655,54,87,0.5740427639062996,9,2998.759121214047,0.4416414866742879,0.10344827586206896,15,1688060240
-0.001986131291379467,-0.012847578097342494,-0.0366302540644039,0.47126436781609193,54,87,0.5740427639062994,9,3292.4856650831352,0.43458405040925935,0.13793103448275862,16,1102145672
0.003024841949850176,-0.009540858929192986,-0.04004388026062605,0.4482758620689655,54,87,0.5740427639062996,9,3637.1444859427647,0.439476068093317,0.11494252873563218,17,275121930
0.021939364647869976,-0.012391028678033433,-0.005685340253129763,0.45977011494252873,55,87,0.5740427639062994,9,3281.5141267451763,0.4300299551535544,0.12643678160919541,18,1803345590
0.0050372432771969315,-0.012667215906252083,-0.03287147596209047,0.47126436781609193,54,87,0.5740427639062995,9,3033.396234388747,0.4522280019080022,0.12643678160919541,19,967196436
-0.006347423164716233,-0.011959908595057467,-0.053421770278924245,0.45977011494252873,53,87,0.5740427639062994,9,2960.4336028556645,0.41934421980899933,0.14942528735632185,20,1074497555
0.00436893907577371,-0.01219398755792589,-0.03172144870545137,0.4482758620689655,54,87,0.5740427639062994,9,2968.8571245928324,0.4353907102943355,0.11494252873563218,21,796282693
0.0014483607329542293,-0.012785002860604133,-0.030476342618626837,0.45977011494252873,54,87,0.5740427639062995,9,3069.423366548108,0.44285501494434615,0.13793103448275862,22,392022359
-0.013756816519534993,-0.021735531016452647,-0.05744770772725783,0.45977011494252873,53,87,0.5740427639062995,9,3033.396234388747,0.4353907102943355,0.12643678160919541,23,1990212658
0.01562589650071987,-0.009660012122380324,-0.010840846920348307,0.47126436781609193,55,87,0.5740427639062994,9,3407.3526157111774,0.4353907102943355,0.13793103448275862,24,1678403330
0.004203579080481243,-0.012263331501021768,-0.030925874442812085,0.45977011494252873,54,87,0.5740427639062995,9,3122.634009622656,0.44285501494434615,0.13793103448275862,25,1382689815
0.0031526258009399897,-0.01230395753342306,-0.031241061645729623,0.4482758620689655,54,87,0.5740427639062994,9,3216.563337515465,0.45146626054233024,0.10344827586206896,26,864178266
0.012461325846097356,-0.019899456706372387,-0.013227167035364832,0.45977011494252873,55,87,0.5740427639062994,9,3033.396234388747,0.41563802937126976,0.13793103448275862,27,1766867109
0.006901662420240686,-0.012416810554024216,-0.0317399529820424,0.45977011494252873,54,87,0.5740427639062996,9,3336.6883703771164,0.4407719880685562,0.12643678160919541,28,1171300112
0.004368939075773742,-0.030823746863630763,-0.03004841007735994,0.42528735632183906,54,87,0.5740427639062995,9,2942.542544368902,0.42596489887984795,0.13793103448275862,29,952224740
0.015069702143390281,-0.012176682388674198,-0.007409933661367494,0.4482758620689655,55,87,0.5740427639062994,9,3291.347751758527,0.4353907102943355,0.11494252873563218,30,967354524
0.004368939075773775,-0.012765345421887897,-0.03326404898251308,0.45977011494252873,54,87,0.5740427639062996,9,2675.8482694670747,0.4407719880685562,0.11494252873563218,31,487991438
0.004856367754268204,-0.012519543047614823,-0.03028021174817904,0.45977011494252873,54,87,0.5740427639062995,9,3492.4881086991227,0.434282822324414,0.11494252873563218,32,197860368
0.0017053773203093282,-0.012811720528256854,-0.03456249959409119,0.45977011494252873,54,87,0.5740427639062995,9,3103.7661186375844,0.41563802937126976,0.10344827586206896,33,1190961760
0.028049326588490537,-0.012418326644896616,0.01711323099034915,0.47126436781609193,56,87,0.5740427639062994,9,3278.316563882574,0.44285501494434615,0.11494252873563218,34,1906728918
0.007083505838056208,-0.0240598053456359,-0.035579606452854115,0.4482758620689655,54,87,0.5740427639062995,9,3122.634009622656,0.4353907102943355,0.10344827586206896,35,137046513
0.0023860729661471917,-0.013241328047388534,-0.03667887070537449,0.4367816091954023,54,87,0.5740427639062994,9,3292.4856650831352,0.41563802937126976,0.12643678160919541,36,1843166518
0.01630997332120069,-0.012185487654119198,-0.007258392977036966,0.4367816091954023,55,87,0.5740427639062996,9,3143.5692624514486,0.42457694154805525,0.11494252873563218,37,1777324407
0.0050489562657994,-0.012095853272680812,-0.029854877542728923,0.45977011494252873,54,87,0.5740427639062995,9,3014.819851843349,0.41563802937126976,0.12643678160919541,38,594336917
-0.004893224163190782,-0.012337739761571709,-0.05569481380915222,0.45977011494252873,53,87,0.5740427639062994,9,3171.0429940886315,0.43623558898000986,0.10344827586206896,39,1356488967
