ed_2026,ucp,ndp,other,n_va_intersections,total
Lac Ste. Anne-Parkland,10335.499999999976,3498.999999999995,615.9999999999989,74,14450.499999999969
Leduc,881.4999999999923,356.3999999999974,47.19999999999958,7,1285.0999999999892
Lesser Slave Lake,3467.5,1658.0,76.0,56,5201.5
Lethbridge-Cardston,4084.38484848484,844.1474747474743,351.6767676767668,35,5280.209090909081
Lethbridge-Fort MacLeod-Crowsnest Pass,17367.59999986791,11629.599999887057,1626.499999993329,169,30623.699999748296
Lethbridge-Little Bow,5421.616883609503,1556.900433132118,497.7792208393253,57,7476.296537580947
Lethbridge-Taber-Warner,10166.798268168135,3909.5132034484927,704.7995670535341,86,14781.111038670162
Lloydminster-Wainwright,8314.0,1687.0,892.0,57,10893.0
Medicine Hat-Brooks,7609.000000135143,3032.000000106458,704.0000000097923,74,11345.000000251393
Medicine Hat-Cypress,1972.7666664011674,1496.9499997895277,106.4666666494783,14,3576.183332840173
Olds-Three Hills-Didsbury,10312.999999998334,2304.9999999995503,886.9999999997938,46,13504.999999997679
Peace River,4072.0,1531.0,276.0,60,5879.0
Red Deer-Blackfalds,14474.99999997094,9194.999999981059,822.999999996399,107,24492.9999999484
Red Deer-Innisfail,7131.116666696489,2146.927777796934,386.8055555591881,59,9664.850000052611
Red Deer-Lacombe,7335.29999999991,2160.2999999999806,1052.799999999983,46,10548.399999999874
Red Deer-Sylvan Lake,2211.8833333326,513.6972222220102,257.0694444444146,15,2982.649999999025
Rocky Mountain House-Banff Park,6726.714285714285,1201.9464285714287,1722.982142857143,53,9651.642857142857
Sherwood Park,6366.0,6403.0,897.0,51,13666.0
Sherwood Park-Strathcona,2636.0,2444.0,142.0,20,5222.0
St. Albert,5530.0,7029.0,284.0,55,12843.0
St. Albert-Sturgeon,5416.366666666667,3316.8,351.96666666666664,40,9085.133333333335
Stony Plain-Drayton Valley,14583.07261904761,8887.45714285713,881.8416666666652,122,24352.371428571405
West Yellowhead,7805.0000000000255,2525.0000000000055,1.2788931257033505e-12,62,10330.000000000033
Wetaskawin-Ponoka-Maskwacis,7222.952380952388,2518.661904761907,888.9095238095242,51,10630.52380952382
