map,name,perimeter_km_total,perimeter_km_anchored,anchored_pct
majority_2026,Airdrie-East,143.82006441253492,87.98187981005195,61.174968992979906
majority_2026,Airdrie-West,50.97034390099598,36.94237027030829,72.47816562129655
majority_2026,Barrhead-Westlock-Athabasca,1113.4539125214644,301.9015527975467,27.113969370665515
majority_2026,Calgary-Acadia,78.26672308026615,58.922622837066996,75.28438718028238
majority_2026,Calgary-Beddington,50.2065460707579,39.54852999212461,78.77166044520854
majority_2026,Calgary-Bhullar-McCall,30.271150619683624,27.60749719747654,91.20068656896359
majority_2026,Calgary-Bow,48.029985524140585,36.36917949534205,75.72182064694223
majority_2026,Calgary-Buffalo,17.123566571727704,17.123566571727704,100.0
majority_2026,Calgary-Confluence,16.409811105792105,16.409811105792105,100.0
majority_2026,Calgary-Cross,23.946537810391053,21.90891959510519,91.49096946113985
majority_2026,Calgary-Currie,32.551535342311766,28.90829884468541,88.80778906643235
majority_2026,Calgary-East,26.456767337405967,19.359503001524565,73.17410609781143
majority_2026,Calgary-Edgemont,30.80895766365617,30.80895766365617,100.0
majority_2026,Calgary-Elbow,35.694786402677536,33.60438016139905,94.14366507843376
majority_2026,Calgary-Falconridge-Conrich,21.67500961954412,17.134861912998954,79.05353775505887
majority_2026,Calgary-Fish Creek,36.73546021406505,35.687443485331116,97.14712508669572
majority_2026,Calgary-Glenmore-Tsuut'ina,61.27292784889488,35.91073239322724,58.60782837370962
majority_2026,Calgary-Hays,44.17142891776278,34.93164548399502,79.08199109662004
majority_2026,Calgary-Klein,47.58800518734565,43.441915148830184,91.28753133863663
majority_2026,Calgary-Lougheed,57.3461669181357,31.107618656582844,54.24533203935043
majority_2026,Calgary-McKenzie,4.015995041754222,4.015995041754222,100.0
majority_2026,Calgary-Mountain View,25.23571429782871,22.73714514955314,90.0990749903578
majority_2026,Calgary-North,29.55073870286932,22.500163169942066,76.14078076416189
majority_2026,Calgary-North East,70.86303007715458,51.57781175739564,72.78521917738841
majority_2026,Calgary-North West,51.02595542516639,30.35705017455028,59.493349848336116
majority_2026,Calgary-Nose Creek,21.777720223685982,21.39404797020443,98.23823499640581
majority_2026,Calgary-Shaw,30.074654012153125,22.788336176118303,75.77256305894515
majority_2026,Calgary-South East,40.91309191001781,30.11259701933585,73.60137211229103
majority_2026,Calgary-Symons Valley,57.73004848733719,17.772050397629737,30.78474878039978
majority_2026,Calgary-Varsity,27.195335162906957,24.934405948613296,91.68633443658582
majority_2026,Calgary-West-Elbow Valley,117.4517329871688,66.42002943698837,56.55091478662519
majority_2026,Camrose,717.0742474488876,402.42881866993326,56.12094146479832
majority_2026,Canmore-Banff,1235.5714262850715,314.39461551085685,25.445280525475635
majority_2026,Central Peace-Notley,1502.8770668918119,502.0346841818983,33.404906844455724
majority_2026,Chestermere-Strathmore,210.50633488046054,149.66086126663265,71.09565674193131
majority_2026,Cochrane-Springbank,176.00823450709964,96.4641274936524,54.806599113839376
majority_2026,Cold Lake-Bonnyville-St. Paul,706.7139379583796,110.95643145853201,15.70033156259422
majority_2026,Drumheller-Stettler,1087.1188617524615,623.3382344902627,57.3385538988282
majority_2026,Edmonton-Beaumont,35.020054743107245,27.523281888079474,78.59291508816584
majority_2026,Edmonton-Beverly-Clareview,34.37172612755629,32.031999518431654,93.19287428149019
majority_2026,Edmonton-Castle Downs,21.28989617515067,20.591047629743805,96.71746381636866
majority_2026,Edmonton-City Centre,45.43212686694353,43.368853808626525,95.4585593926525
majority_2026,Edmonton-Decore,27.51092552765435,27.264262850664057,99.10340102246889
majority_2026,Edmonton-Ellerslie,44.77487908377376,24.11173670048703,53.85103699637913
majority_2026,Edmonton-Enoch,64.96328912002996,63.38917760935337,97.57692147057371
majority_2026,Edmonton-Glenora-Riverview,24.44697992298664,22.907048326687576,93.70093319849656
majority_2026,Edmonton-Gold Bar,40.75810042863913,38.595984750105366,94.69524915097728
majority_2026,Edmonton-Highlands-Norwood,19.93162449076226,19.93162449076226,100.0
majority_2026,Edmonton-Manning,50.352468959816804,42.75642041707061,84.91424810011176
majority_2026,Edmonton-McClung,23.158055583388006,22.664787979593413,97.86999559605327
majority_2026,Edmonton-Meadows,21.417288926478683,20.529457572685143,95.85460439534953
majority_2026,Edmonton-Mill Woods,21.88892598195911,21.88892598195911,100.0
majority_2026,Edmonton-North West,122.69848626755169,63.130619369751486,51.45183228429668
majority_2026,Edmonton-Rutherford,57.58930075184758,49.09858048258753,85.2564275682968
majority_2026,Edmonton-South,55.36881103310462,37.78826723085228,68.24829091644922
majority_2026,Edmonton-Strathcona,26.344668165324343,24.392549753041422,92.59008160576356
majority_2026,Edmonton-West Henday,62.222361228568595,47.484183307191195,76.31369554228593
majority_2026,Edmonton-Whitemud,30.861158354109637,28.809032064158313,93.35045604444056
majority_2026,Edmonton-Windermere,69.21926541342651,47.09603910505975,68.03891781250324
majority_2026,Fort McMurray-Lac La Biche,1044.8524611511277,500.08984398788556,47.86224491799828
majority_2026,Fort McMurray-Wood Buffalo,1517.7487607896483,311.70265235905225,20.53717060502694
majority_2026,Fort Saskatchewan-Vegreville,558.4528348921266,262.7208640636414,47.0444140756112
majority_2026,Grande Prairie,58.81752715674503,24.323400051911868,41.35399978154731
majority_2026,Grande Prairie-Wapiti,719.9754793305527,330.55248031172056,45.91163029872555
majority_2026,High River-Vulcan-Siksika,178.70204393682184,95.57921512750634,53.4852389048764
majority_2026,Lacombe-Clearwater,378.7456049317659,200.92804744496542,53.050925166818566
majority_2026,Leduc-Devon,51.88275169216938,32.73361708639628,63.09152082104531
majority_2026,Lesser Slave Lake,1195.0613855708798,290.80193765261566,24.333640193193908
majority_2026,Lethbridge-East,39.61299760431025,21.517439853949387,54.319140573214526
majority_2026,Lethbridge-West,84.5642268695179,69.77200014047594,82.50770180650233
majority_2026,Livingstone-Macleod,828.7945143722926,286.7956074905702,34.60394615519164
majority_2026,Lloydminster-Wainwright,527.6541119048392,113.84615832655201,21.575906594485865
majority_2026,Medicine Hat-Brooks,841.4880186715224,380.3062128006925,45.19448932868838
majority_2026,Medicine Hat-Cypress,410.6698557784991,74.56056073346137,18.15583970538045
majority_2026,Mountain View-Kneehill,887.9318002614962,368.7070004076477,41.52424772928094
majority_2026,Okotoks-Diamond Valley,196.6560873542306,107.11353035515552,54.46743693329725
majority_2026,Peace River,1693.3127813371796,125.34628840799768,7.402429709944899
majority_2026,Red Deer-North,46.04802052234458,29.413308869961472,63.875294825515475
majority_2026,Red Deer-South,28.062530473458555,20.184900106731625,71.92829643720987
majority_2026,Sherwood Park,43.809769187215565,37.0016262371406,84.45976074199062
majority_2026,Spruce Grove,88.98704293212396,31.990799931464846,35.94995279915779
majority_2026,St. Albert,57.91900843351263,30.7042807574528,53.01244200804884
majority_2026,St. Albert-Sturgeon,232.7857328595018,108.31610805537142,46.53038943788955
majority_2026,Stony Plain-Drayton Valley,760.3481684882929,271.29349569140925,35.68016692021352
majority_2026,Strathcona-Sherwood Park,123.70017490758009,46.588443373913606,37.66239086462178
majority_2026,Sylvan Lake-Innisfail,630.0967980017028,275.3061265476312,43.69267189116666
majority_2026,Taber-Cardston,814.4166754709225,339.45478613182706,41.68072638438341
majority_2026,West Yellowhead,1618.5438055688053,459.613468302308,28.396727151959038
majority_2026,Wetaskiwin-Ponoka-Maskwacis,449.5080952129031,197.84408200408333,44.01346363081121
