map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,polsby_popper_lo,polsby_popper_hi,reock,reock_lo,reock_hi,refined_note
2026_refined_majority,Calgary-Acadia,A,high,40.01907229345469,37.73056787500512,0.35325652898000537,0.32325652898000534,0.3832565289800054,0.30794026227424576,0.25794026227424577,0.35794026227424575,unrefined
2026_refined_majority,Calgary-Beddington,A,high,27.63926399550034,27.18773344822112,0.4698836474464151,0.43988364744641506,0.4998836474464151,0.47863325014952474,0.42863325014952475,0.5286332501495248,unrefined
2026_refined_majority,Calgary-Bow,A,high,34.85115034675992,32.662632909844184,0.4105108136088341,0.3805108136088341,0.44051081360883415,0.3130444273428234,0.2630444273428234,0.3630444273428234,unrefined
2026_refined_majority,Calgary-Buffalo,A,high,10.555415893432473,21.444322366873138,0.2884433687967345,0.25844336879673446,0.3184433687967345,0.26412066793420363,0.21412066793420365,0.3141206679342036,unrefined
2026_refined_majority,Calgary-Cross,A,high,15.797321777851666,19.62944099128248,0.5152019102930326,0.4852019102930326,0.5452019102930327,0.4105139868457583,0.3605139868457583,0.4605139868457583,unrefined
2026_refined_majority,Calgary-Currie,A,high,15.929957553319134,21.40937001266997,0.4367337015645022,0.40673370156450217,0.4667337015645022,0.5389264522774292,0.4889264522774292,0.5889264522774292,unrefined
2026_refined_majority,Calgary-Edgemont,A,high,19.16584124233419,19.26628830434078,0.6488460135361873,0.6188460135361873,0.6788460135361873,0.5399130317487393,0.4899130317487393,0.5899130317487393,unrefined
2026_refined_majority,Calgary-Elbow,A,high,19.042863596009674,28.29736535204806,0.2988478367093223,0.26884783670932233,0.32884783670932227,0.3383582718847652,0.2883582718847652,0.3883582718847652,unrefined
2026_refined_majority,Calgary-Fish Creek,A,high,28.177906637294715,23.03346526663239,0.6674212489556202,0.6374212489556201,0.6974212489556202,0.5550420698936781,0.5050420698936781,0.6050420698936781,unrefined
2026_refined_majority,Calgary-Hays,A,high,24.01215878914781,28.12134282609988,0.38156537755779635,0.3515653775577964,0.4115653775577963,0.2438773640016559,0.1938773640016559,0.2938773640016559,unrefined
2026_refined_majority,Calgary-Klein,A,high,37.41797659363021,34.309646166679386,0.3994456394604435,0.3694456394604435,0.42944563946044345,0.3498549612451474,0.29985496124514743,0.3998549612451474,unrefined
2026_refined_majority,Calgary-Lougheed,A,high,33.12296373358274,33.98793947761039,0.3603208394678235,0.33032083946782353,0.3903208394678235,0.3578670101382962,0.3078670101382962,0.4078670101382962,unrefined
2026_refined_majority,Calgary-Mountain View,A,high,17.842436590439924,25.561745139293755,0.3431492271846526,0.31314922718465266,0.3731492271846526,0.26387081861713463,0.21387081861713464,0.3138708186171346,unrefined
2026_refined_majority,Calgary-North,A,high,21.197383564875107,22.002539342481306,0.5502328435516436,0.5202328435516436,0.5802328435516436,0.41847330199844995,0.36847330199844996,0.46847330199844994,unrefined
2026_refined_majority,Calgary-North East,A,high,66.48363870424147,46.63401090033758,0.38416615859824477,0.35416615859824474,0.4141661585982448,0.3925609551807466,0.3425609551807466,0.44256095518074656,unrefined
2026_refined_majority,Calgary-North West,A,high,26.219787391216986,36.58373790044401,0.24618573012935763,0.21618573012935763,0.27618573012935765,0.37118436880942435,0.32118436880942436,0.42118436880942434,unrefined
2026_refined_majority,Calgary-Shaw,A,high,40.16037342857354,30.357271632969972,0.5476235712608624,0.5176235712608623,0.5776235712608624,0.3694473027893739,0.3194473027893739,0.41944730278937387,unrefined
2026_refined_majority,Calgary-South East,A,high,52.53276427680322,32.13641484819958,0.6392125128906907,0.6092125128906907,0.6692125128906907,0.44540689333430955,0.39540689333430956,0.49540689333430954,unrefined
2026_refined_majority,Calgary-Varsity,A,high,24.012559405338944,27.461569899354885,0.4001267571380707,0.37012675713807075,0.4301267571380707,0.321445451262268,0.271445451262268,0.37144545126226797,unrefined
2026_refined_majority,Edmonton-Beverly-Clareview,A,high,39.301302613584284,34.9937247179736,0.40330765652051376,0.3733076565205138,0.43330765652051373,0.3823651852842617,0.33236518528426173,0.4323651852842617,unrefined
2026_refined_majority,Edmonton-Castle Downs,A,high,20.85917712238856,21.364812015510672,0.5742604197772444,0.5442604197772444,0.6042604197772444,0.37214075354688003,0.32214075354688004,0.42214075354688,unrefined
2026_refined_majority,Edmonton-City Centre,A,high,12.339992257601248,18.80853917260365,0.4383435488186143,0.40834354881861434,0.4683435488186143,0.3167437305528032,0.2667437305528032,0.3667437305528032,unrefined
2026_refined_majority,Edmonton-Decore,A,high,17.184411816543438,17.584071881923137,0.6984022582395454,0.6684022582395454,0.7284022582395454,0.5034253756943076,0.4534253756943076,0.5534253756943076,unrefined
2026_refined_majority,Edmonton-Ellerslie,A,high,64.13648294910064,45.083508893758356,0.3965332270225734,0.3665332270225734,0.42653322702257335,0.4975650278929022,0.4475650278929022,0.5475650278929022,unrefined
2026_refined_majority,Edmonton-Gold Bar,A,high,53.610011697734,41.0737190221543,0.39932611254866496,0.369326112548665,0.42932611254866493,0.4433088993164567,0.3933088993164567,0.49330889931645666,unrefined
2026_refined_majority,Edmonton-Highlands-Norwood,A,high,16.579789821555288,20.054687961182307,0.5180325712053891,0.4880325712053891,0.5480325712053892,0.43387464512891244,0.38387464512891245,0.48387464512891243,unrefined
2026_refined_majority,Edmonton-Manning,A,high,115.33191511035204,50.47443290455879,0.5688745058044719,0.5388745058044718,0.5988745058044719,0.5236845940149157,0.47368459401491575,0.5736845940149158,unrefined
2026_refined_majority,Edmonton-McClung,A,high,17.94461065916604,23.38241595047069,0.41244414247820127,0.38244414247820124,0.4424441424782013,0.5034789800889647,0.45347898008896476,0.5534789800889648,unrefined
2026_refined_majority,Edmonton-Meadows,A,high,18.55169619388073,21.54691805209477,0.5021380916598082,0.47213809165980813,0.5321380916598082,0.4811469719093952,0.4311469719093952,0.5311469719093952,unrefined
2026_refined_majority,Edmonton-Mill Woods,A,high,26.55975579452195,21.97903598079886,0.6909023368797165,0.6609023368797164,0.7209023368797165,0.6217682100004803,0.5717682100004803,0.6717682100004804,unrefined
2026_refined_majority,Edmonton-North West,A,high,29.92862690131798,33.385232690286074,0.3374332238170371,0.3074332238170371,0.36743322381703714,0.2931448611920843,0.24314486119208434,0.3431448611920843,unrefined
2026_refined_majority,Edmonton-Rutherford,A,high,21.27286148426335,28.47155075502819,0.32977181262283484,0.2997718126228348,0.35977181262283486,0.43696065568457104,0.38696065568457105,0.48696065568457103,unrefined
2026_refined_majority,Edmonton-South,A,high,72.70419484010588,56.596308349638434,0.2852286360367699,0.25522863603676993,0.31522863603676987,0.3468636215025365,0.29686362150253653,0.3968636215025365,unrefined
2026_refined_majority,Edmonton-Strathcona,A,high,15.469617769271503,26.648154103326153,0.27375066620891153,0.24375066620891153,0.30375066620891156,0.3462460898451647,0.2962460898451647,0.3962460898451647,unrefined
2026_refined_majority,Edmonton-West Henday,A,high,76.50250538154614,44.35072457896071,0.4887469757713418,0.4587469757713418,0.5187469757713418,0.3389390338086094,0.2889390338086094,0.3889390338086094,unrefined
