map,ed_name,area_m2,bounding_circle_diameter_m,reock
minority,Airdrie East,708367770.9429709,52134.19466878474,0.3318360565527346
minority,Barrhead-Westlock-Athabasca,14515087799.754913,214452.74082581513,0.40185241581939435
minority,Calgary-Acadia,70108495.79981378,16896.226909220655,0.31268086257370487
minority,Calgary-Airdrie,753789800.1895674,39145.136217112566,0.6263322264369849
minority,Calgary-Beddington,27639264.02479376,8147.645219279453,0.5301177835186153
minority,Calgary-Bow-Springbank,54966982.57683211,16898.447840102017,0.24508593265477635
minority,Calgary-Buffalo,15630130.932167172,9361.651777262603,0.22707418764991927
minority,Calgary-Cross,15797321.813525368,6926.976521128789,0.41918540467933396
minority,Calgary-Currie,18301385.453976136,17871.310373334214,0.07295940641071857
minority,Calgary-De Winton,77943856.66752674,40937.42620819511,0.059217618876374827
minority,Calgary-East,25151641.01687085,10736.639793219307,0.27780475711725283
minority,Calgary-Edgemont,58239445.77326875,19143.836921299488,0.20233423885091306
minority,Calgary-Elbow,28286135.023216143,21338.242413484128,0.07909817066457217
minority,Calgary-Falconridge,20034647.693326034,21691.5392427485,0.05421395447176949
minority,Calgary-Fish Creek,107933.17265836908,555.3132151830941,0.44564500611862656
minority,Calgary-Foothills-Airdrie West,22009382.2870234,23508.096740833214,0.05070876505108697
minority,Calgary-Glenmore,29208237.376572434,9410.516918668916,0.41994122276520574
minority,Calgary-Hays,24012158.65570477,10993.923745749518,0.25295069798613967
minority,Calgary-Klein,142251700.5607887,24809.48642140813,0.2942605466197945
minority,Calgary-Lougheed,214560901.1931568,37554.40327854268,0.19370417080655908
minority,Calgary-McCall-Bhullar,3712893.372601096,3377.5076647069654,0.414409697233767
minority,Calgary-Mountain View,17842436.593280125,8368.41514207609,0.32439776056303576
minority,Calgary-Nolan Hill-Cochrane,430926789.832607,48890.034049042166,0.22954769349124282
minority,Calgary-North,21197383.517864257,7845.4891305144265,0.43848256137058067
minority,Calgary-North East,66483638.52701372,14431.997044192627,0.40641715904504444
minority,Calgary-North West-Bearspaw,5372779.963289456,8229.977526925504,0.10099779094266073
