ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Calgary-North East,61496,73488,19.500455314166775,25.544802029684988,29.915180155301872,fail,fail,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.5% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-North West,47449,56692,19.479862589306414,-3.1323124836327096,0.22250426415705754,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 15.4% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-Peigan,46125,55119,19.49918699186992,-5.835273942708144,-2.558311357227248,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 22.6% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-Shaw,55884,66778,19.493951757211367,14.087838503754972,18.05295967247372,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 50.4% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-South East,56983,68095,19.500552796448066,16.331459835721667,20.381207716569797,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 45.7% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-Varsity,46175,55179,19.499729290741744,-5.733198358906201,-2.4522408313003194,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 19.5% of Plan A from split DAs (APPROXIMATE if >5%)
Calgary-West,45570,54456,19.499670836076366,-6.968312922909704,-3.7303906687198065,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 26.2% of Plan A from split DAs (APPROXIMATE if >5%)
Camrose,43381,46369,6.887808026555405,-11.437181981758743,-18.02692972157097,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 20.2% of Plan A from split DAs (APPROXIMATE if >5%)
Cardston-Siksika,44656,47501,6.3709243998566825,-8.834254594809211,-16.025732465749588,s15(2),s15(2),False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 26.3% of Plan A from split DAs (APPROXIMATE if >5%)
Central Peace-Notley,27060,28873,6.699926090169993,-44.75669404638878,-48.95709508186329,s15(2),s15(2),False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 29.1% of Plan A from split DAs (APPROXIMATE if >5%)
Chestermere-Strathmore,51077,62992,23.327525109148933,4.274291877036231,11.359909486484538,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.0% of Plan A from split DAs (APPROXIMATE if >5%)
Cypress-Medicine Hat,49804,53698,7.818649104489599,1.675447513438777,-5.070414979596668,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 9.3% of Plan A from split DAs (APPROXIMATE if >5%)
Drayton Valley-Devon,46902,50908,8.541213594303015,-4.249019370425959,-10.002694435198837,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 33.3% of Plan A from split DAs (APPROXIMATE if >5%)
Drumheller-Stettler,40045,42417,5.923336246722437,-18.24766493302434,-25.013441695957983,pass,fail,True,DA-level area-weighted overlay; per-CSD Plan B growth factors; 19.3% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Beverly-Clareview,46427,55943,20.496693734249465,-5.218737416544412,-1.101609467830765,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.1% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Castle Downs,50715,61111,20.498866213151928,3.5352646503101672,8.034598498675333,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 19.4% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-City Centre,48918,58947,20.501655832209003,-0.13333183153164213,4.2089881969107825,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 9.4% of Plan A from split DAs (APPROXIMATE if >5%)
Edmonton-Decore,48799,58802,20.498370868255495,-0.37627172098026507,3.952651092587372,pass,pass,False,DA-level area-weighted overlay; per-CSD Plan B growth factors; 11.3% of Plan A from split DAs (APPROXIMATE if >5%)
