va_row_idx,pop_2021
0,348.7140655011324
1,209.00028272987555
2,812.3590394270009
3,449.68590528743135
4,237.26769645352726
5,566.4564895315527
6,839.8745422972453
7,719.555031341805
8,401.2712685333769
9,897.9399436086377
10,1191.0639280600433
11,900.8474736019679
12,1078.0064013810354
13,1281.152007996682
14,625.8024091170342
15,777.6503368781517
16,689.6379684646993
17,586.6298174227163
18,850.009394805252
19,975.3782892835355
20,660.3952647645692
21,1111.9169629619191
22,813.1922575664566
23,425.38897806396466
24,781.0775498316389
25,722.578802489236
26,265.02202983861173
27,1161.6743798614814
28,987.425623771954
29,1133.4670733497755
30,837.1832471405635
31,1748.8981510850308
32,1730.5636430574032
33,368.66427177023434
34,106.55396707148577
35,1425.5538518299766
36,423.6359777664387
37,1075.9518914183222
38,0.0
39,484.34393520401767
40,323.8011730238101
41,614.341451277526
42,655.4024609887002
43,1123.6781011498886
44,662.2581782033975
45,511.6115030126517
46,724.8460337501256
47,790.3204956739395
48,1333.3626288495789
49,565.7201251719506
50,1249.1022245370027
51,335.4794047060056
52,463.1906341766173
53,692.4045600492941
54,692.5888028913319
55,46.78187976730334
56,526.7282141297245
57,404.7093759972213
58,1561.2470787611069
59,1302.481511066454
60,1019.6713597533957
61,269.6837449281441
62,578.4527061148276
63,761.7072812094204
64,1420.8801527039047
65,210.1309661670249
66,198.93225786794858
67,807.9918732244898
68,1090.520220079812
69,602.7032073835192
70,973.2844062309
71,243.6867371655103
72,470.70851639194075
73,963.3264968785534
74,1598.27746608413
75,829.5550303235104
76,921.2721574119064
77,265.56810816090535
78,965.1678351718141
79,633.3064761883646
80,1013.677747685494
81,618.6018279645832
82,875.5110498601928
83,703.3082420279541
84,606.8838050544796
85,638.5310193598928
86,750.767621499582
87,731.2365084651065
88,911.0002164657329
89,1143.0800853827604
90,843.338428241943
91,959.7847058147706
92,1530.1965343270426
93,672.4125022728216
94,1277.3390243498366
95,537.4444095961294
96,936.0237632617584
97,288.15754268082225
98,1076.9978458811106
99,1115.4683466747254
100,1019.831743827923
101,1056.4963409185773
102,1348.9392904700348
103,627.7559871519503
104,800.2737359538464
105,919.9032615117999
106,697.9905448702021
107,984.233096011066
108,863.7844808467876
109,813.179691072058
110,885.0865704195899
111,741.6629048715047
112,831.3208791739396
113,1082.2885790402338
114,75.19030753177145
115,1234.650114296499
116,969.2555051347684
117,998.7959713442272
118,1051.9555117762782
119,930.8367094429013
120,764.9988306051456
121,1226.2192198109976
122,1100.3895509352483
123,1419.7588228493582
124,845.8699258370901
125,1479.356521776389
126,944.9858254369083
127,6866.105183717942
128,817.1984931127029
129,1426.4579790301477
130,1170.5375773715612
131,474.2253974096062
132,822.6725172585411
133,643.6140502298313
134,59.86900257405722
135,737.9683698593795
136,1174.1527181259796
137,1235.4887392311844
138,353.407452067141
139,782.9320911434152
140,2192.2519586013136
141,775.6104145817743
142,143.65758210185996
143,1107.2226218225221
144,1582.2807607807738
145,1056.856631326009
146,1221.2791467261686
147,1151.651117732801
148,576.896876671676
149,519.2673423872939
150,640.1189857338939
151,272.32057737029163
152,997.7326015602446
153,896.3974545906866
154,1140.1615926439245
155,953.298930859872
156,961.1146704301759
157,1379.1441838025396
158,873.4027587418908
159,1350.9839865504657
160,655.7779118581332
161,1733.5607860066052
162,970.0280805489681
163,1091.4229833435456
164,976.6679140293061
165,1004.1504133088303
166,1286.6665209612004
167,1121.4281827348077
168,619.6904713668215
169,561.9075841576944
170,724.1198978525889
171,1030.9834297007642
172,287.88076173626484
173,674.6550187292055
174,1099.7015907638058
175,1292.6565856012949
176,800.5501042056106
177,71.19544735416854
178,1899.7439748330473
179,228.6463453964421
180,1308.0110100084369
181,233.17580313138313
182,1004.4487471980273
183,741.2318305588152
184,1420.422156618567
185,951.4272063414843
186,6.898434699213481
187,486.13098501478146
188,437.4384410619008
189,564.2394141965536
190,1212.9666526221542
191,751.7457533241472
192,1097.7585583352645
193,871.0812767075751
194,1772.4695507694398
195,976.774060432925
196,467.5996494952863
197,932.9179062557376
198,2997.5284365470065
199,370.5703960128202
200,847.3583683237239
201,838.7505686179918
202,1387.961852865614
203,790.3358317656637
204,366.28958270472504
205,792.0817446570597
206,997.6497070960153
207,985.4961961274674
208,1103.977681371427
209,789.5461215201765
210,800.0274567561564
211,715.6043721858157
212,1154.119362632281
213,643.7016510360517
214,851.7608671285454
215,710.9496373122903
216,679.8138824669907
217,788.1600870845944
218,420.4983140899896
219,885.2618262903843
220,1004.1359261675029
221,1100.3598756395984
222,1171.1903431240758
223,693.9738338783559
224,1001.912950259118
225,869.3156364795592
226,1142.4729238537639
227,737.823106910211
228,864.5577782838416
229,423.88336862457953
230,575.1719205650419
231,625.5992767757775
232,600.861328881376
233,568.1660297316104
234,973.6999943273206
235,781.4264896445163
236,1092.6301514068714
237,697.4182154725759
238,1245.4975504548756
239,756.4150505710135
240,460.3774405705982
241,912.6757107504277
242,1445.8527046829608
243,762.1999557242659
244,1786.079966993826
245,203.37412767446892
246,906.1595085254525
247,721.242330889303
248,825.701649434927
249,598.5464263895111
250,659.748514362138
251,726.2468101561864
252,576.3279049648344
253,1027.0483854524323
254,572.6564851404926
255,895.996790071943
256,1046.99980214767
257,1455.1309251541713
258,1019.5086460307357
259,999.2220665612499
260,812.6550214936353
261,865.8512819649917
262,626.159661996877
263,1140.3099856194472
264,992.1587403655701
265,958.8804836625413
266,1461.1703887216997
267,587.031922246907
268,2551.53727688876
269,816.6934631855166
270,693.4768512037014
271,2972.7606821957925
272,1729.0184184779932
273,1019.8576341437681
274,929.8710957949272
275,898.3896148985806
276,748.1664520678759
277,661.1863127289625
278,663.8077239859201
279,554.1172232527709
280,789.3754731582468
281,814.6075510770042
282,1752.6229217035198
283,1271.7843294502147
284,943.8348701980755
285,727.3374770374011
286,633.2111751949463
287,938.003839014778
288,548.1223487949838
289,744.5521373375028
290,593.8639320332557
291,645.2491536206436
292,676.799126070104
293,934.4842260721507
294,996.2485564691607
295,655.1212556927645
296,378.16525082585326
297,919.2119230226438
298,828.2947389972348
299,428.49219685190235
300,713.9436935555256
301,1288.5584738435005
302,546.2316553960197
303,3725.0275573627096
304,205.12869501882176
305,859.1549516056696
306,651.5684802550608
307,913.2726177211466
308,883.3040746630727
309,473.75508059650497
310,593.7702460261378
311,28.347373261313802
312,518.0758746621781
313,1120.458357678312
314,1205.6144179961368
315,745.0091551703395
316,694.130960480353
317,774.7523456077134
318,470.6712917939572
319,553.5669623724226
320,368.15034967193355
321,872.1381654743263
322,1083.1841785676438
323,1054.9684503007115
324,1359.2717616412551
325,1517.7562152224386
326,882.3457012082815
327,905.1058416562948
328,399.75674193569415
329,514.247717877997
330,766.3925393331308
331,1007.7015803695765
332,931.326712861662
333,793.5188309066873
334,984.410396047904
335,443.5868296170286
336,626.7794774731615
337,614.7463376606133
338,923.565414329701
339,193.87031750265697
340,754.7163530325488
341,692.4610316327679
342,1080.8616624388087
343,610.5274751936404
344,754.9959043215927
345,733.526131701991
346,733.7202098280504
347,1005.7203252722953
348,788.6187141319772
349,1085.457568699448
350,347.6883696854762
351,828.5268941539838
352,655.5999424453605
353,561.9371873608501
354,984.1807755007993
355,986.0004922108759
356,6.208870879489982
357,1283.7737296511837
358,598.8651880162852
359,584.1426550682571
360,1072.7237979364381
361,838.9417702597682
362,816.1085298726101
363,1033.3376255066196
364,1040.5491301953948
365,1083.665556687894
366,1000.1841263452701
367,1001.5542119325586
368,1017.906499629143
369,766.0694265628441
370,915.8063945507694
371,1058.2778507125838
372,938.1041635101282
373,762.36763080317
374,526.2752570520615
375,303.69936711560587
376,1682.3749602053542
377,1066.4163988306686
378,1188.143675880158
379,1390.820229601922
380,810.59425003917
381,409.4693822763612
382,784.4359123063903
383,626.436560964154
384,991.4378947603946
385,1682.531594683818
386,916.1917511887978
387,1234.8324874234945
388,728.7403082741669
389,1187.473100885753
390,1156.4939229899737
391,596.2557289485737
392,1490.355174197672
393,1073.8468547567643
394,366.481019884601
395,852.8959013648085
396,518.7722053109576
397,1128.747027260763
398,860.7647494136688
399,437.7006176433687
400,1063.6450318581617
401,3524.072622542634
402,355.05906547014297
403,705.9308463198146
404,790.3291222918451
405,1775.5351773189007
406,818.8864295695132
407,900.8526225280503
408,826.0630637705463
409,440.21385201370936
410,899.5475199791582
411,903.2213617056955
412,729.7178080361913
413,1104.2404419631055
414,158.6787117494681
415,636.9416097702972
416,137.71159064525727
417,1371.4662603465301
418,991.5290921517025
419,606.2033881101212
420,990.4120728076914
421,141.61789212468682
422,884.3857902244204
423,183.9008528469182
424,977.7231183608685
425,1546.4357892586931
426,924.4801799379555
427,1007.0479962469249
428,747.8364250650907
429,421.18910522649736
430,954.146656867916
431,1049.3268525867175
432,867.0083830395884
433,1200.5249646460252
434,299.62629153177966
435,778.8373189987364
436,1029.21031196694
437,1267.53754154644
438,93.7020425347161
439,422.9208962884312
440,1047.703565262794
441,1120.5606234621027
442,1368.8328051534681
443,839.0694505404346
444,758.4091644895174
445,358.98443084036273
446,611.273086842265
447,273.90381803445314
448,864.3376111186894
449,649.1612988716779
450,650.5223937188064
451,1479.1691108066884
452,857.2368136445581
453,2497.334246618352
454,1050.2584832718376
455,630.5466311858024
456,885.5413681053491
457,1196.7719164231526
458,939.0764505679075
459,1046.0654094970303
460,1688.0226350019025
461,839.769165692343
462,955.4820817320594
463,756.8082491625196
464,660.1785919651111
465,897.1256608398544
466,1117.1831118639234
467,912.5945000569518
468,936.6623471432761
469,952.6084412531995
470,675.1856823840019
471,786.5752424449876
472,1234.6044495563258
473,809.0129827307132
474,617.7270611946242
475,690.283996481045
476,357.37374212536884
477,1316.396268314711
478,511.7934710314525
479,1596.011239290291
480,1418.2444013062125
481,887.3165558955995
482,542.7742893648419
483,1053.5841451583747
484,987.5332129030006
485,618.8910466489367
486,428.84335077010604
487,1091.3977687056288
488,1717.222966975661
489,716.3251292487016
490,794.5027311615163
491,710.8060547821771
492,1021.6071284891581
493,934.774882775776
494,682.3573955789273
495,861.8381597678771
496,1379.3289486468454
497,263.59550642340173
498,1065.5665086395557
499,904.7707813776447
500,1140.0323892700183
501,619.5262466057435
502,575.3397546771594
503,201.85819067077574
504,1200.9628154223935
505,1088.2937457831827
506,1434.4638031740124
507,1236.2782467459228
508,746.2487324952534
509,852.6621823337387
510,713.6909167675531
511,724.5826256459063
512,871.6169881812788
513,109.71493906748327
514,393.3577784015991
515,1093.493196410102
516,555.3725295253838
517,760.8252758051858
518,811.9878680917316
519,980.6470708072293
520,494.4553036394057
521,838.9634958121111
522,859.8165690060379
523,751.0240221618449
524,756.3172747680875
525,1020.3794022902289
526,484.4709088765404
527,516.667369769984
528,1150.9425614617933
529,1569.2690214271433
530,1406.4819363994302
531,497.760445395804
532,1217.8599666638813
533,1416.6616049449067
534,455.1672959903037
535,918.7973147330015
536,858.5682263260028
537,751.4121690879539
538,1505.2993500527386
539,1806.9471886575432
540,263.521365119042
541,1087.438701195814
542,665.2487505246745
543,648.6995182180838
544,886.8564708382156
545,872.8367011617988
546,399.6198918463392
547,854.3088734116818
548,964.5804683897359
549,652.7381048709951
550,1042.4961352868927
551,682.5966722911754
552,1016.2107418876504
553,1094.8756031808973
554,470.45768693598814
555,944.4142774913902
556,801.5337113051164
557,867.624326845723
558,643.4059477438485
559,1031.8888728862876
560,622.356775175924
561,1142.7933455645527
562,917.4539758445935
563,780.1489392360244
564,1204.4102526212473
565,569.9782342768906
566,972.2702945354257
567,1374.5922208547354
568,284.5926019409802
569,969.2573621564535
570,2419.2735900627426
571,989.5538194758242
572,498.5731935695458
573,985.8418011479135
574,898.0021147203985
575,1007.7196332605068
576,823.4037800154763
577,1013.2348105317908
578,279.4581214430694
579,566.0223361192322
580,263.17657426756966
581,987.359613082742
582,613.876531923751
583,1020.8087908431703
584,834.6014814547606
585,1191.0146362195628
586,848.3963975651991
587,35.3130912108503
588,54.130988240653004
589,1265.45659898147
590,778.9232645901429
591,570.9026148100018
592,311.90715882895176
593,871.9337044584433
594,1307.0828233472926
595,1274.419346085633
596,1368.619008063045
597,1381.5700095921543
598,754.4724383023017
599,605.4616652096354
600,838.046629455303
601,425.7792291757321
602,1270.6935138245562
603,1005.7714318930882
604,793.9937054001564
605,458.77160633809046
606,351.2350359408977
607,1706.054618416359
608,1110.3330702526882
609,990.4364376308685
610,872.8708896760603
611,235.59885302206948
612,2474.319590621561
613,1148.7051534781208
614,805.7107164660222
615,538.7959201072779
616,549.3466174912328
617,934.5522433711832
618,737.4350383994363
619,830.1509114570704
620,1353.9338462032972
621,1851.539910563773
622,1255.9925821645147
623,1063.4807530913338
624,929.6395605806097
625,1358.717149717067
626,521.798404982411
627,845.9426691408373
628,817.2327136540573
629,684.9108579609394
630,978.9091799946899
631,784.3251432005666
632,491.59899575106164
633,455.13889841395917
634,828.7235394456898
635,650.4106570261915
636,797.4892736105454
637,1918.450442089789
638,1106.2048098777852
639,1049.7336103526554
640,628.8269244360788
641,1061.367114068944
642,835.003139078357
643,927.6438912699402
644,1015.2260048365408
645,116.28685223212894
646,531.0886990786494
647,267.8668915274148
648,988.0791833076331
649,1809.020632280153
650,769.536562931947
651,1344.942011425255
652,960.6614639994837
653,723.1368415274724
654,1122.5070976317456
655,837.9726442312793
656,1019.0641394805043
657,450.6209461557032
658,900.7666147397182
