step,efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share
0,0.004368939075773742,-0.012377014456037894,0.032318845033793946,0.45977011494252873,54,87,0.5740427639062995
1,0.015625896500719837,-0.00878088250292941,0.008914662319386799,0.45977011494252873,55,87,0.5740427639062995
2,0.015625896500719837,-0.008756197316404757,0.008724129860159722,0.45977011494252873,55,87,0.5740427639062995
3,0.015625896500719837,-0.008799040466465957,0.008834592319334979,0.45977011494252873,55,87,0.5740427639062995
4,0.015625896500719837,-0.008760127219230696,0.008734263100576853,0.45977011494252873,55,87,0.5740427639062995
5,0.015625896500719837,-0.008799505835596855,0.009038232062279996,0.45977011494252873,55,87,0.5740427639062995
6,0.015625896500719837,-0.008859179623954327,0.009192081474114249,0.45977011494252873,55,87,0.5740427639062995
7,0.015625896500719837,-0.008904833413577395,0.009309760513101813,0.45977011494252873,55,87,0.5740427639062995
8,0.015573791713932115,-0.008867212167344762,0.008010975002036081,0.45977011494252873,55,87,0.5740427639062995
9,0.015573791713932115,-0.0088002462984611,0.007838487284343087,0.45977011494252873,55,87,0.5740427639062995
10,0.015227909364489823,-0.008849932967741503,0.008402509644748618,0.45977011494252873,55,87,0.5740427639062994
11,0.015227909364489823,-0.008765608533488511,0.00818521558040229,0.45977011494252873,55,87,0.5740427639062994
12,0.015227909364489823,-0.008785740888763272,0.008340409384294757,0.45977011494252873,55,87,0.5740427639062994
13,0.015227909364489823,-0.008847672557759423,0.008500006980880484,0.45977011494252873,55,87,0.5740427639062994
14,0.015227909364489792,-0.008780608237002219,0.007983167956191093,0.45977011494252873,55,87,0.5740427639062994
15,0.015227909364489856,-0.008831933498990807,0.00811540341990063,0.45977011494252873,55,87,0.5740427639062994
16,0.015227909364489823,-0.008843670446161633,0.008145638979178013,0.45977011494252873,55,87,0.5740427639062994
17,0.015227909364489792,-0.008892886464793692,0.00852488943728998,0.45977011494252873,55,87,0.5740427639062994
18,0.015227909364489823,-0.008877336962123006,0.008405044584034778,0.45977011494252873,55,87,0.5740427639062994
19,0.015227909364489792,-0.008826702016693666,0.008274593870984578,0.45977011494252873,55,87,0.5740427639062994
20,0.015227909364489794,-0.008683686804141444,0.007906003624026757,0.45977011494252873,55,87,0.5740427639062995
21,0.015227909364489792,-0.008612303039457259,0.0077219500889161505,0.45977011494252873,55,87,0.5740427639062994
22,0.015227909364489792,-0.008612391884178727,0.007722634782550756,0.45977011494252873,55,87,0.5740427639062994
23,0.015227909364489794,-0.008617310796698252,0.007735319200810097,0.45977011494252873,55,87,0.5740427639062995
24,0.015227909364489792,-0.0085852173940284,0.007652555402268817,0.45977011494252873,55,87,0.5740427639062994
25,0.015227909364489792,-0.008552448711878546,0.007568039393356116,0.45977011494252873,55,87,0.5740427639062994
26,0.015227909364489856,-0.008557518158268884,0.007607108901950488,0.45977011494252873,55,87,0.5740427639062994
27,0.015227909364489827,-0.004723994120188091,0.007210169065100563,0.47126436781609193,55,87,0.5740427639062995
28,0.015227909364489792,-0.004785997776926121,0.007688204941054595,0.47126436781609193,55,87,0.5740427639062994
29,0.015227909364489792,-0.004909464329093005,0.007611837551424052,0.45977011494252873,55,87,0.5740427639062994
30,0.015227909364489792,-0.004827116318570912,0.00697702424462848,0.45977011494252873,55,87,0.5740427639062994
31,0.015227909364489759,-0.004849007607231726,0.0070335275012193945,0.45977011494252873,55,87,0.5740427639062994
32,0.015227909364489823,-0.0047477337207803005,0.006253632429019951,0.45977011494252873,55,87,0.5740427639062994
33,0.015227909364489856,-0.00458813706566874,0.0062367466474044335,0.45977011494252873,55,87,0.5740427639062994
34,0.015227909364489856,-0.004582119259820994,0.006190432773558017,0.45977011494252873,55,87,0.5740427639062994
35,0.014622875482592406,-0.004710924739330102,0.008062835620154309,0.45977011494252873,55,87,0.5740427639062994
36,0.01462287548259247,-0.0047296414681806676,0.00820738573600199,0.45977011494252873,55,87,0.5740427639062994
37,0.014622875482592439,-0.004767663982216397,0.00830558208258411,0.45977011494252873,55,87,0.5740427639062994
38,0.014622875482592472,-0.004703921916146769,0.007813425057047763,0.45977011494252873,55,87,0.5740427639062994
39,0.014622875482592373,-0.004688708675441355,0.007774137337989259,0.45977011494252873,55,87,0.5740427639062994
40,0.014622875482592439,-0.004737452092742345,0.007900007414886227,0.45977011494252873,55,87,0.5740427639062994
41,0.014622875482592404,-0.004760108468477853,0.007958504758976104,0.45977011494252873,55,87,0.5740427639062993
42,0.014622875482592406,-0.004730840598085595,0.007732644740457874,0.45977011494252873,55,87,0.5740427639062994
43,0.014622875482592406,-0.004760819358539337,0.00781004003215485,0.45977011494252873,55,87,0.5740427639062994
44,0.014622875482592406,-0.00481221887916472,0.008206739746979153,0.45977011494252873,55,87,0.5740427639062994
45,0.014622875482592406,-0.004957049829341531,0.008580517345004758,0.45977011494252873,55,87,0.5740427639062994
46,0.014622875482592406,-0.005210188915240943,0.01053761186814457,0.45977011494252873,55,87,0.5740427639062993
47,0.02873066705501876,-0.005282999228931717,-0.013926867444604146,0.45977011494252873,56,87,0.5740427639062993
48,0.02873066705501876,-0.005284267725333414,-0.013916647559746125,0.45977011494252873,56,87,0.5740427639062993
49,0.02873066705501876,-0.005255587338201861,-0.013988966450058272,0.45977011494252873,56,87,0.5740427639062994
50,0.016171363909596687,-0.005242910281750279,0.010509672353761048,0.45977011494252873,55,87,0.5740427639062993
51,0.0182329401873613,-0.005210866396484604,0.01033659272312407,0.45977011494252873,55,87,0.5740427639062994
52,0.0182329401873613,-0.0052228325920889995,0.01036746055376913,0.45977011494252873,55,87,0.5740427639062994
53,0.0182329401873613,-0.005213904086812882,0.010344428843997708,0.45977011494252873,55,87,0.5740427639062994
54,0.01823294018736133,-0.005342616859178917,0.010676374394728657,0.45977011494252873,55,87,0.5740427639062993
55,0.01823294018736133,-0.00534320774652941,0.010677897884443597,0.45977011494252873,55,87,0.5740427639062994
56,0.0182329401873613,-0.005356558510700271,0.010781226446203258,0.45977011494252873,55,87,0.5740427639062994
57,0.0182329401873613,-0.005332824372144107,0.010720029737418963,0.45977011494252873,55,87,0.5740427639062994
58,0.0182329401873613,-0.005332824372144107,0.010720029737418963,0.45977011494252873,55,87,0.5740427639062994
59,0.018587727435302372,-0.005302037964273865,0.01019849000706574,0.45977011494252873,55,87,0.5740427639062994
60,0.018587727435302372,-0.005305244906847695,0.010223288487656239,0.45977011494252873,55,87,0.5740427639062994
61,0.019582771176185055,-0.005162893517177913,0.007642800991232029,0.45977011494252873,55,87,0.5740427639062993
62,0.01958277117618502,-0.005150317958398376,0.007610417338950543,0.45977011494252873,55,87,0.5740427639062994
63,0.01958277117618499,-0.0051670277754987115,0.007653446878172909,0.45977011494252873,55,87,0.5740427639062994
64,0.020221932314830944,-0.0050052232080674,0.00533124123554819,0.45977011494252873,55,87,0.5740427639062994
65,0.020221932314830913,-0.004806459753727843,0.005370890262128414,0.45977011494252873,55,87,0.5740427639062994
66,0.020221932314830913,-0.004772640822813479,0.0052838778983237055,0.45977011494252873,55,87,0.5740427639062994
67,0.020221932314830913,-0.004770099655965865,0.005277339288522249,0.45977011494252873,55,87,0.5740427639062994
68,0.020007800507781545,-0.004824346543611746,0.005146383036509816,0.45977011494252873,55,87,0.5740427639062994
69,0.020007800507781545,-0.0049632378360612295,0.0055035129781789505,0.45977011494252873,55,87,0.5740427639062994
70,0.020007800507781517,-0.004966621568219587,0.0055294246475101,0.45977011494252873,55,87,0.5740427639062994
71,0.020007800507781552,-0.004942865919990269,0.005468355848283516,0.45977011494252873,55,87,0.5740427639062996
72,0.020007800507781552,-0.004936482136805753,0.0054519440383936505,0.45977011494252873,55,87,0.5740427639062996
73,0.020007800507781552,-0.004873652929475725,0.004970980293467083,0.45977011494252873,55,87,0.5740427639062995
74,0.020007800507781552,-0.005090500865042036,0.0055282340993385555,0.45977011494252873,55,87,0.5740427639062996
75,0.020007800507781552,-0.005151784809277804,0.005997364528808345,0.45977011494252873,55,87,0.5740427639062996
76,0.019925321234564423,-0.005171050114296527,0.005963679760780557,0.45977011494252873,55,87,0.5740427639062996
77,0.01992532123456442,-0.005172962591155406,0.005978322400912923,0.45977011494252873,55,87,0.5740427639062995
78,0.01992532123456442,-0.005104935952297884,0.00580358420912575,0.45977011494252873,55,87,0.5740427639062995
79,0.01992532123456442,-0.005137015288922631,0.005885991393899381,0.45977011494252873,55,87,0.5740427639062994
80,0.01992532123456442,-0.004893101751177631,0.0052591502929039075,0.45977011494252873,55,87,0.5740427639062994
81,0.019925321234564353,-0.004856225874847131,0.005164329233252228,0.45977011494252873,55,87,0.5740427639062995
82,0.019925321234564385,-0.004831041674413616,0.005099563716710976,0.45977011494252873,55,87,0.5740427639062995
83,0.019925321234564385,-0.004839098621119864,0.005161254263444844,0.45977011494252873,55,87,0.5740427639062995
84,0.01992532123456442,-0.004818367318905503,0.005002530110494366,0.45977011494252873,55,87,0.5740427639062995
85,0.01992532123456442,-0.005003648091430057,0.006422430523582662,0.45977011494252873,55,87,0.5740427639062994
86,0.018747150187861352,-0.005294657948940018,0.00695749899268545,0.45977011494252873,55,87,0.5740427639062995
87,0.018747150187861352,-0.005298547642040297,0.0069674892837594225,0.45977011494252873,55,87,0.5740427639062994
88,0.018747150187861387,-0.005213360907341924,0.006748660419120031,0.45977011494252873,55,87,0.5740427639062995
89,0.018747150187861324,-0.005483415463151231,0.007442126641632675,0.45977011494252873,55,87,0.5740427639062996
90,0.01874715018786132,-0.005452026798860032,0.007201482019035263,0.45977011494252873,55,87,0.5740427639062994
91,0.01874715018786132,-0.005371336630313306,0.006994357430492263,0.45977011494252873,55,87,0.5740427639062994
92,0.01874715018786132,-0.0053854872949425925,0.007030685731229831,0.45977011494252873,55,87,0.5740427639062994
93,0.01874715018786132,-0.005340153537522596,0.006914295436441901,0.45977011494252873,55,87,0.5740427639062995
94,0.01874715018786132,-0.0053735400587331394,0.007000014316966891,0.45977011494252873,55,87,0.5740427639062994
95,0.01874715018786132,-0.005366852522816101,0.006982845178675429,0.45977011494252873,55,87,0.5740427639062994
96,0.01874715018786132,-0.00537055368180217,0.0070112160046912715,0.45977011494252873,55,87,0.5740427639062995
97,0.018747150187861324,-0.005367805349935195,0.007004159987080019,0.45977011494252873,55,87,0.5740427639062996
98,0.01874715018786132,-0.00536382069069008,0.006973616070855258,0.45977011494252873,55,87,0.5740427639062994
99,0.01874715018786132,-0.005438314749164785,0.0075448724508406124,0.45977011494252873,55,87,0.5740427639062995
100,0.01874715018786132,-0.0054839166648802395,0.007661940054838907,0.45977011494252873,55,87,0.5740427639062995
101,0.018747150187861387,-0.0054576741808897156,0.007460644268449104,0.45977011494252873,55,87,0.5740427639062995
102,0.018747150187861387,-0.005473702873363906,0.00750178753303281,0.45977011494252873,55,87,0.5740427639062995
103,0.018747150187861387,-0.0055051701761044125,0.007582551813033638,0.47126436781609193,55,87,0.5740427639062996
104,0.018747150187861387,-0.0055165757579148655,0.007611823002950407,0.47126436781609193,55,87,0.5740427639062996
105,0.018747150187861387,-0.005473446844184049,0.007281129793205199,0.47126436781609193,55,87,0.5740427639062996
106,0.018747150187861387,-0.007156058129663134,0.007031650761589645,0.47126436781609193,55,87,0.5740427639062996
107,0.018747150187861387,-0.007159845604911896,0.007041374355765927,0.47126436781609193,55,87,0.5740427639062995
108,0.018747150187861387,-0.00715895853371562,0.00703457441045504,0.47126436781609193,55,87,0.5740427639062995
109,0.018747150187861387,-0.007102916048845276,0.006890681524902725,0.47126436781609193,55,87,0.5740427639062995
110,0.01955644662396174,-0.008328132665477939,0.007540969947451242,0.45977011494252873,55,87,0.5740427639062994
111,0.01955644662396174,-0.0083389165246055,0.007568693374512202,0.45977011494252873,55,87,0.5740427639062994
112,0.019556446623961807,-0.008348552880367732,0.007642722216270396,0.45977011494252873,55,87,0.5740427639062994
113,0.018494709747341877,-0.008456926927400965,0.006859656147274751,0.45977011494252873,55,87,0.5740427639062994
114,0.018494709747341877,-0.008430159820889571,0.006790926416967469,0.45977011494252873,55,87,0.5740427639062994
115,0.018494709747341846,-0.008494368368245131,0.006955782082092253,0.45977011494252873,55,87,0.5740427639062996
116,0.018494709747341846,-0.008504323443539685,0.006981338020130229,0.45977011494252873,55,87,0.5740427639062995
117,0.018494709747341846,-0.008514888676072974,0.007008459207213811,0.45977011494252873,55,87,0.5740427639062995
118,0.018494709747341846,-0.008503377762548725,0.006978910380654855,0.45977011494252873,55,87,0.5740427639062996
119,0.01933187465213001,-0.01057402989456735,0.0066373054958724885,0.45977011494252873,55,87,0.5740427639062996
120,0.019860884307392582,-0.008943296189757532,0.00625324558575504,0.45977011494252873,55,87,0.5740427639062996
121,0.019860884307392582,-0.008943240437582323,0.006253102433665303,0.45977011494252873,55,87,0.5740427639062995
122,0.01986088430739258,-0.00884392482737184,0.005998044531437515,0.45977011494252873,55,87,0.5740427639062994
123,0.019860884307392652,-0.008831248610445597,0.005965482826292928,0.45977011494252873,55,87,0.5740427639062996
124,0.019860884307392652,-0.008837442999788725,0.006012919007016715,0.45977011494252873,55,87,0.5740427639062996
