election,maj_eg_pct,min_eg_pct,asymmetry_pp,maj_mm_pp,min_mm_pp,maj_ndp50,min_ndp50,maj_declination,min_declination
2015,7.245179289345553,7.279817136718685,0.03463784737313125,3.6125533455435233,4.2394694837444185,33,33,0.16135609252356203,0.16591720368078366
2019,0.15587451333530689,0.9008917246300658,0.7450172112947591,2.028882258230297,1.9943633070078348,43,42,0.06219706250165179,0.07965614099375919
2023,-0.8530679774826084,-1.3609754538666914,-0.5079074763840831,-0.17799266194480357,-0.3328370269203462,44,42,-0.020955308109393063,-0.014961614569745714
