efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step,burst,burst_seed
0.006006434001296119,-0.012027618396010298,0.031252085093327976,0.45977011494252873,54,87,0.5740427639062994,9,0,191664963
0.003989298128220665,-0.011337056768438547,0.03347644343542317,0.45977011494252873,54,87,0.5740427639062994,9,1,1662057957
0.004368939075773742,-0.012280115134086556,0.03203795205224742,0.4482758620689655,54,87,0.5740427639062994,9,2,1405681631
0.004676753548407284,-0.012480296241675903,0.03326318883980092,0.45977011494252873,54,87,0.5740427639062996,9,3,942484272
0.004368939075773774,-0.012221091647824478,0.03087393478720454,0.45977011494252873,54,87,0.5740427639062995,9,4,929893137
0.004368939075773774,-0.031972981049798954,0.03261745237790198,0.4482758620689655,54,87,0.5740427639062994,9,5,1843824992
0.015327958804578361,-0.008777239697771666,0.007213577156466143,0.45977011494252873,55,87,0.5740427639062995,9,6,184566854
0.015873765220077798,-0.009571765960285084,0.009819010333872752,0.45977011494252873,55,87,0.5740427639062995,9,7,1497586438
0.009609673109875008,-0.009265238582616298,0.011863005034459346,0.4482758620689655,55,87,0.5740427639062994,9,8,432652533
0.004623703880237185,-0.016213378751960716,0.0356478541656641,0.45977011494252873,54,87,0.5740427639062994,9,9,202244314
0.003950073822816078,-0.012262173764595152,0.030694680754480713,0.45977011494252873,54,87,0.5740427639062994,9,10,1130604997
0.004937559397774388,-0.012447193326049932,0.03266268809790284,0.45977011494252873,54,87,0.5740427639062994,9,11,2095133045
0.015084937525867318,-0.008626467062531451,0.008731766567833069,0.45977011494252873,55,87,0.5740427639062995,9,12,1580016183
0.01440774303066923,-0.009129254386286756,0.009614547392055238,0.47126436781609193,55,87,0.5740427639062995,9,13,1634535062
0.0027352766229344874,-0.012569223561589182,0.034213217531021814,0.45977011494252873,54,87,0.5740427639062995,9,14,1540770719
0.01311359985424058,-0.012619763554374108,0.009872645527419606,0.45977011494252873,55,87,0.5740427639062994,9,15,1688060240
0.019470250186983954,-0.012633033080915679,0.010273002139230101,0.45977011494252873,55,87,0.5740427639062995,9,16,1102145672
0.026599872794544333,-0.008764906883512946,-0.016445159047553,0.47126436781609193,56,87,0.5740427639062994,9,17,275121930
0.020691036933018193,-0.012193872340389489,0.007436449149935746,0.4482758620689655,55,87,0.5740427639062995,9,18,1803345590
0.005366182819163096,-0.01228897429870901,0.031344892960113835,0.47126436781609193,54,87,0.5740427639062994,9,19,967196436
0.025762843315378203,-0.012475093487546829,-0.015009483250446829,0.45977011494252873,56,87,0.5740427639062996,9,20,1074497555
0.0016422902236838545,-0.013011693555338266,0.036251539153866356,0.45977011494252873,54,87,0.5740427639062994,9,21,796282693
0.011182989889449862,-0.032625610536946015,0.0128040689614087,0.4482758620689655,55,87,0.5740427639062994,9,22,392022359
0.00436893907577371,-0.008884116750133453,0.033514386394609096,0.47126436781609193,54,87,0.5740427639062994,9,23,1990212658
0.0024559698472366807,-0.016847379678779473,0.03592092225186266,0.47126436781609193,54,87,0.5740427639062995,9,24,1678403330
0.0020397909783497286,-0.012644855516008136,0.03477675345086086,0.45977011494252873,54,87,0.5740427639062994,9,25,1382689815
0.018919489672096203,-0.017242012202103862,0.010626562575842345,0.45977011494252873,55,87,0.5740427639062994,9,26,864178266
0.004027768741356311,-0.01236474822570699,0.032832434978294606,0.45977011494252873,54,87,0.5740427639062996,9,27,1766867109
0.014576130186924451,-0.012517953184535524,0.010412009418480863,0.45977011494252873,55,87,0.5740427639062996,9,28,1171300112
0.004904356463141331,-0.011857281979099521,0.026664324708777568,0.4482758620689655,54,87,0.5740427639062994,9,29,952224740
0.006309081057058029,-0.011693034117444823,0.028456889192550273,0.45977011494252873,54,87,0.5740427639062994,9,30,967354524
0.0022320077332713887,-0.017699093516182263,0.032273281076894055,0.45977011494252873,54,87,0.5740427639062995,9,31,487991438
0.005276991770042606,-0.018201098338522126,0.030206413520550975,0.4367816091954023,54,87,0.5740427639062994,9,32,197860368
0.0026107161913290792,-0.012369680258513482,0.03256838707427376,0.45977011494252873,54,87,0.5740427639062994,9,33,1190961760
0.004348864218862894,-0.012760821733992844,0.03351417866806208,0.45977011494252873,54,87,0.5740427639062995,9,34,1906728918
0.005307903332119245,-0.012336816737251288,0.032354183317422854,0.45977011494252873,54,87,0.5740427639062995,9,35,137046513
0.004090316790898158,-0.012511941259651715,0.03376969277018075,0.45977011494252873,54,87,0.5740427639062993,9,36,1843166518
0.00436893907577371,-0.012445280650652202,0.03246023583347709,0.45977011494252873,54,87,0.5740427639062995,9,37,1777324407
0.0020591037342112626,-0.013103676345934567,0.036799503043517576,0.45977011494252873,54,87,0.5740427639062995,9,38,594336917
0.0016717730575181856,-0.012978364229900063,0.03583152508403872,0.45977011494252873,54,87,0.5740427639062995,9,39,1356488967
0.00459719763398267,-0.011892265554971693,0.03159079621470758,0.45977011494252873,54,87,0.5740427639062995,9,40,354826746
0.004086125235126523,-0.012330584604951289,0.03233039801494821,0.45977011494252873,54,87,0.5740427639062994,9,41,1627981024
0.0031202035551867163,-0.01523128535110363,0.0332426448927276,0.45977011494252873,54,87,0.5740427639062994,9,42,1504361614
0.005563605494319422,-0.012078063728035437,0.030391402058774688,0.45977011494252873,54,87,0.5740427639062995,9,43,761338718
0.00436893907577371,-0.003558110582650098,0.03236859876785333,0.4482758620689655,54,87,0.5740427639062995,9,44,145857092
0.004503249427963216,-0.012342984769251109,0.03209970728015696,0.45977011494252873,54,87,0.5740427639062994,9,45,2084558133
0.016594963748516392,-0.009371517951191732,0.008870369654474786,0.4367816091954023,55,87,0.5740427639062994,9,46,957106589
0.004205688356672498,-0.012456442746528351,0.03277310590994814,0.4482758620689655,54,87,0.5740427639062994,9,47,1917963002
0.0037432381817947033,-0.012375263636749678,0.03224419755085855,0.45977011494252873,54,87,0.5740427639062994,9,48,1455819991
0.016599675763541346,-0.012145516664880507,0.007904433568665412,0.4367816091954023,55,87,0.5740427639062994,9,49,1671565830
-0.001503774435199774,-0.013761611245866279,0.03941921712040205,0.4482758620689655,54,87,0.5740427639062996,9,50,1631871623
0.002661275090215721,-0.0124252576030901,0.032783885094733296,0.45977011494252873,54,87,0.5740427639062994,9,51,417983441
0.004368939075773774,-0.0128415924434796,0.034878032543376174,0.4482758620689655,54,87,0.5740427639062995,9,52,781482251
0.00473300032341868,-0.012317680187901692,0.029599778010008022,0.45977011494252873,54,87,0.5740427639062994,9,53,1002275723
0.01780515233320918,-0.012710622232656621,0.009343571301319726,0.45977011494252873,55,87,0.5740427639062994,9,54,1068999196
0.004317766778481406,-0.012325511708217607,0.032509637349807954,0.4367816091954023,54,87,0.5740427639062994,9,55,94067870
0.0026622363465916388,-0.015035647824087617,0.0341086603753113,0.45977011494252873,54,87,0.5740427639062994,9,56,1173749071
0.0035553497359688373,-0.012329038905004475,0.03206215654581013,0.4482758620689655,54,87,0.5740427639062994,9,57,331334160
0.004736427122736611,-0.012329525987922474,0.031894910707717855,0.45977011494252873,54,87,0.5740427639062995,9,58,1596387604
0.003223817191651736,-0.012664703143626888,0.03321889109642812,0.4482758620689655,54,87,0.5740427639062995,9,59,1466836456
0.005235057624495426,-0.01249783846671293,0.03354132205713007,0.45977011494252873,54,87,0.5740427639062995,9,60,1981113449
0.004350648650588279,-0.012817150564220503,0.0335289401001872,0.45977011494252873,54,87,0.5740427639062995,9,61,1599364550
0.003040727061492355,-0.012572936454625427,0.03302948633566279,0.45977011494252873,54,87,0.5740427639062995,9,62,787359109
0.004522880832347142,-0.0084097340147824,0.02812941803167478,0.45977011494252873,54,87,0.5740427639062996,9,63,2077711328
0.014775949364509726,-0.012682308326560365,0.009989117460823878,0.4482758620689655,55,87,0.5740427639062994,9,64,882294416
0.01552483446643783,-0.012128218871621077,0.007455930570884629,0.4482758620689655,55,87,0.5740427639062995,9,65,699704628
0.003323057618547355,-0.01239252650279754,0.03297776722908296,0.45977011494252873,54,87,0.5740427639062995,9,66,1944623248
0.004760305846383546,-0.012497179876594933,0.032874944868720474,0.45977011494252873,54,87,0.5740427639062995,9,67,795556160
