map,n,ndp_seats,ucp_seats,eg_pct,mm_gap_pp,ndp_at_50,ucp_at_50,declination,prov_ndp_pct
2019,87,26,61,6.586844386469777,4.140859109008027,32,55,0.16546704302113194,43.97503206472744
Majority 2026,89,26,63,7.245179289345553,3.6125533455435233,33,56,0.16135609252356203,43.6575130897666
Minority 2026,89,26,63,7.279817136718685,4.2394694837444185,33,56,0.16591720368078366,44.23341313765253
