metric,map,value,percentile,ensemble_p5,ensemble_p50,ensemble_p95
efficiency_gap,2019 enacted,0.06584810921664158,8.462,0.0631039512965512,0.0810359265231353,0.0971429645603524
efficiency_gap,majority 2026 canonical,0.07583733046713308,30.9,0.0631039512965512,0.0810359265231353,0.0971429645603524
efficiency_gap,minority 2026 canonical,0.10541790898877988,99.452,0.0631039512965512,0.0810359265231353,0.0971429645603524
mean_median,2019 enacted,0.04140679092037958,1.212,0.04319700681455735,0.0495180952768872,0.05644740620167159
mean_median,majority 2026 canonical,0.04290855504945812,4.117,0.04319700681455735,0.0495180952768872,0.05644740620167159
mean_median,minority 2026 canonical,0.04343422784329942,5.656,0.04319700681455735,0.0495180952768872,0.05644740620167159
declination,2019 enacted,-0.24424635942204212,72.61,-0.30884436423528194,-0.25922168996805184,-0.2134948264038452
declination,majority 2026 canonical,-0.25223167043633643,62.643,-0.30884436423528194,-0.25922168996805184,-0.2134948264038452
declination,minority 2026 canonical,-0.3144339983146511,3.17,-0.30884436423528194,-0.25922168996805184,-0.2134948264038452
seats_at_50_50,2019 enacted,0.632183908045977,51.358,0.6091954022988506,0.632183908045977,0.6551724137931034
seats_at_50_50,majority 2026 canonical,0.6292134831460674,33.964,0.6091954022988506,0.632183908045977,0.6551724137931034
seats_at_50_50,minority 2026 canonical,0.6404494382022472,68.752,0.6091954022988506,0.632183908045977,0.6551724137931034
population_mad,2019 enacted,,,2593.5705715231793,3145.082085055881,3676.177144083209
population_mad,majority 2026 canonical,2826.8945263667047,16.576,2593.5705715231793,3145.082085055881,3676.177144083209
population_mad,minority 2026 canonical,3938.1069235499162,99.261,2593.5705715231793,3145.082085055881,3676.177144083209
reock_proxy_median,2019 enacted,,,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_median,majority 2026 canonical,0.5681238648363268,100.0,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_median,minority 2026 canonical,0.5784679859542419,100.0,0.4296592306869905,0.4543829553769434,0.4811171936411293
reock_proxy_pct_below_030,2019 enacted,,,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,majority 2026 canonical,0.02247191011235955,0.913,0.0344827586206896,0.0689655172413793,0.1149425287356321
reock_proxy_pct_below_030,minority 2026 canonical,0.011235955056179775,0.05,0.0344827586206896,0.0689655172413793,0.1149425287356321
