map,name,tier,confidence,area_km2,perimeter_km,polsby_popper,reock
2019,Lethbridge-West,A,high,74.25645073065272,49.97808520865671,0.3735810384094509,0.37617652092614734
2019,Lethbridge-East,A,high,49.62789468200185,40.03147045644647,0.3891639740804433,0.3168247345562404
2019,Cardston-Siksika,A,high,15772.933951129646,1053.1063712093069,0.17872193930043342,0.3583741876384087
2019,Livingstone-Macleod,A,high,14146.132273385081,776.5583112802045,0.29478096366967105,0.48513522481163174
2019,Taber-Warner,A,high,14980.311833853864,653.8334547684351,0.44034841862447116,0.5897199004905302
2019,Highwood,A,high,1343.298863964299,208.9669576981703,0.3865692204751971,0.30869371642762
2019,Brooks-Medicine Hat,A,high,13741.637276091753,753.6070934004484,0.3040593686976302,0.40080277637018824
2019,Chestermere-Strathmore,A,high,1581.5462445557323,191.14062705421895,0.5439835243884031,0.6814330679211213
2019,Airdrie-East,A,high,714.2497346856494,144.00105764508152,0.43284119562997914,0.33459145290931014
2019,Airdrie-Cochrane,A,high,753.8114984857327,149.5393629690613,0.4236054796048144,0.6263501385631504
2019,Olds-Didsbury-Three Hills,A,high,10479.3491817548,586.3088791892509,0.3830815475169216,0.42627925758135693
2019,Red Deer-South,A,high,35.04143599512207,28.27045946873485,0.5509675551709581,0.4789844388625729
2019,Banff-Kananaskis,A,high,15938.767885274916,1080.1949563815535,0.1716565263221608,0.22408886429996488
2019,Drumheller-Stettler,A,high,36548.494011877985,1093.1824633027632,0.3843209313121662,0.5858785760171471
2019,Red Deer-North,A,high,71.8067619399649,46.435051945439604,0.41848831450645185,0.4795347762180014
2019,Innisfail-Sylvan Lake,A,high,3605.1871555615617,416.12939209289436,0.2616259962543567,0.39408839812666274
2019,Lacombe-Ponoka,A,high,3666.0907729195146,319.6835038579059,0.4507882887280693,0.5998964092408314
2019,Maskwacis-Wetaskiwin,A,high,4219.521190295812,359.4883311680612,0.41030181714838615,0.5058703241892352
2019,Rimbey-Rocky Mountain House-Sundre,A,high,24468.498237775802,855.2638628140892,0.4203556939938865,0.5832381657055363
2019,Leduc-Beaumont,A,high,190.00237212019618,66.13290039540502,0.5459259606995226,0.5437316102143981
2019,Camrose,A,high,10636.570655675137,722.3722540262208,0.2561470627647195,0.5092324023404214
2019,Sherwood Park,A,high,62.74204777367642,45.14083089716479,0.38692737369840513,0.47093868962766716
2019,Strathcona-Sherwood Park,A,high,642.6042363172512,124.55081992236148,0.5205473819657017,0.5835103184155356
2019,Drayton Valley-Devon,A,high,6153.8268778442725,531.9610349395041,0.2732722255847502,0.3586007488128376
2019,St. Albert,A,high,38.86205754699153,35.858886956330586,0.379788704758234,0.5140984187733536
2019,Vermilion-Lloydminster-Wainwright,A,high,10090.974332164466,528.3279568368033,0.45429272376058033,0.500154989349523
2019,Spruce Grove-Stony Plain,A,high,68.47327197135337,45.36557048938801,0.41809809779487644,0.39274801920802926
2019,Fort Saskatchewan-Vegreville,A,high,9118.35047191751,560.4086984209488,0.3648517297003723,0.3962084380894053
2019,Lac Ste. Anne-Parkland,A,high,5485.652083605853,452.52652854761595,0.33662784424339615,0.4705507934137151
2019,West Yellowhead,A,high,48312.78558996547,1570.3429383423907,0.24619709872483342,0.5179007071093541
2019,Morinville-St. Albert,A,high,1376.4748429651681,186.5877404792522,0.4968347126715756,0.4347862592391618
2019,Athabasca-Barrhead-Westlock,A,high,23699.127074750373,1063.0888193639016,0.2635136474591367,0.2920176668348186
2019,Grande Prairie,A,high,111.13441968098037,59.3009980498282,0.39713159922888885,0.5082942827202849
2019,Bonnyville-Cold Lake-St. Paul,A,high,15870.826159890721,707.7327179779188,0.3981721244189589,0.4202703636455486
2019,Lesser Slave Lake,A,high,69566.09043849385,1195.9141164241958,0.6112339613607735,0.6545216594053063
2019,Central Peace-Notley,A,high,47311.93162058979,1506.0844200736044,0.2621089868285002,0.333185358203389
2019,Fort McMurray-Wood Buffalo,A,high,86353.31538184448,1519.0501324294498,0.4702671757487431,0.4575018908461105
2019,Fort McMurray-Lac La Biche,A,high,32317.74815650458,1046.9476515180065,0.3705109283945945,0.45556924733498333
