map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,1786,Edmonton-City Centre,066,Edmonton-City Centre,0.32343927060031397,159.12402519957007,37.7298478808075,4.419584616737979,True
majority,1787,Calgary-Bow,034,Calgary-Bow,0.003792819918180257,1.0173558582809934,1.1797942600958173,0.055671991938883544,True
majority,1794,Calgary-East,035,Calgary-East,1.0,104.24937440419447,104.20933627264061,7.427281935176358,True
majority,1795,Lac Ste. Anne-Parkland,058,Edmonton-Enoch,1.0,86.53829490948476,206.2020733405539,11.590437877146837,True
majority,1796,Calgary-Edgemont,046,Calgary-Edgemont,0.15746645207599208,25.799513448687957,27.463321790225816,1.3616381166819682,True
majority,1797,Edmonton-Rutherford,044,Edmonton-Rutherford,0.27044339626677827,71.29976043263338,37.201353177268246,2.813605703192923,True
majority,1804,Calgary-Currie,029,Calgary-Currie,0.10543835297394966,21.134785020167925,13.358854414321486,1.5958152249378192,True
majority,1805,Calgary-Fish Creek,043,Calgary-Fish Creek,0.03268970862257348,5.959817956820248,7.664142623813964,0.3427350097740504,True
majority,1814,Lac Ste. Anne-Parkland,018,Edmonton-Enoch,1.0,107.5678477487235,243.07720872659758,22.300634380318737,True
majority,1818,Rimbey-Rocky Mountain House-Sundre,046,Lacombe-Clearwater,1.0,43.0310442144873,241.34767168391346,76.88993414863594,True
majority,1833,Calgary-South East,030,Calgary-South East,0.21103312703603083,31.031155205874413,46.437590818621764,1.4575787472173503,True
majority,1838,Calgary-North,001,Calgary-North,0.3602466654722768,63.92980320313765,65.68942649097625,0.0,True
majority,1839,Calgary-Falconridge,032,Calgary-Falconridge-Conrich,0.684125301152327,95.3841406504026,67.74777657917545,7.251374639087455,True
majority,1855,Calgary-South East,012,Calgary-South East,0.4270599329058381,61.719583772165855,103.6382075366132,3.4130170174763665,True
majority,1870,Rimbey-Rocky Mountain House-Sundre,028,Lacombe-Clearwater,1.0,43.64816556914393,222.00638758231418,45.84741298212606,True
majority,1871,Cardston-Siksika,032,High River-Vulcan-Siksika,1.0,56.181422351233664,297.1326336943173,18.8348777492464,True
majority,1888,Rimbey-Rocky Mountain House-Sundre,052,Lacombe-Clearwater,1.0,37.16462841015993,232.05015286923805,56.17768109125118,True
majority,1893,Calgary-Fish Creek,025,Calgary-Fish Creek,8.351009833651446e-06,0.001920961143486582,0.002114826019084755,8.643813185968803e-05,True
majority,1899,Calgary-East,058,Calgary-East,1.0,94.53918698079804,96.19001089472967,8.021006400653684,True
majority,1904,Grande Prairie-Wapiti,045,Grande Prairie-Wapiti,1.0,66.8638135455579,241.15047912944615,8.231931135293163,True
majority,1906,Cardston-Siksika,057,High River-Vulcan-Siksika,1.0,15.324383164005805,149.65284135313163,44.625376800267944,True
majority,1910,Rimbey-Rocky Mountain House-Sundre,022,Lacombe-Clearwater,0.9999999968044844,57.53541172314644,284.0455574850171,88.34847438506448,True
majority,1917,Rimbey-Rocky Mountain House-Sundre,060,Lacombe-Clearwater,1.0,44.8936970837253,201.7729727187206,48.18598306679209,True
majority,1920,Calgary-Falconridge,033,Calgary-Falconridge-Conrich,0.9824761909162101,136.9817006068565,97.29296280145964,10.413739884078279,True
majority,1925,Grande Prairie-Wapiti,032,Grande Prairie-Wapiti,1.0,73.6989876021872,241.57490119647014,5.308104596394347,True
majority,1946,Calgary-North,033,Calgary-North,0.3607635256352578,93.33293728347229,92.9189804538101,0.0,True
majority,1947,Calgary-Edgemont,013,Calgary-Edgemont,0.641171441612927,152.23070573010222,147.54993181135652,9.360166292972487,True
majority,1960,Rimbey-Rocky Mountain House-Sundre,014,Lacombe-Clearwater,1.0,43.96111633740984,203.9362496080276,38.10755722797116,True
majority,1962,Grande Prairie-Wapiti,058,Grande Prairie-Wapiti,0.9999999975610235,76.79246367497556,231.53295379618666,8.035195692599846,True
