map,X,Y,s_X,m_Y,losing_party_X,losing_party_Y,winner_X,winner_Y,chain_signal,coupled
majority,Calgary-East,Calgary-Hays,0.046606894419539344,0.1356160430893527,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Hays,Calgary-East,0.0677599307492546,0.09336837223682176,NDP,NDP,UCP,UCP,False,False
majority,Calgary-East,Calgary-Klein,0.046606894419539344,0.04279157001135186,NDP,UCP,UCP,NDP,False,True
majority,Calgary-Klein,Calgary-East,0.021371107052958888,0.09336837223682176,UCP,NDP,NDP,UCP,False,True
majority,Calgary-East,Chestermere-Strathmore,0.046606894419539344,0.4302872305758577,NDP,NDP,UCP,UCP,False,False
majority,Chestermere-Strathmore,Calgary-East,0.21512033890414786,0.09336837223682176,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Edgemont,Calgary-North West,0.006109714879972268,0.006034009873834339,UCP,NDP,NDP,UCP,False,True
majority,Calgary-North West,Calgary-Edgemont,0.0029959070002953713,0.01230609238235549,NDP,UCP,UCP,NDP,False,True
majority,Calgary-Edgemont,Calgary-Symons Valley,0.006109714879972268,0.006034009873834339,UCP,NDP,NDP,UCP,False,True
majority,Calgary-Symons Valley,Calgary-Edgemont,0.0029959070002953713,0.01230609238235549,NDP,UCP,UCP,NDP,False,True
majority,Calgary-Edgemont,Calgary-Varsity,0.006109714879972268,0.17839306054499254,UCP,UCP,NDP,NDP,False,False
majority,Calgary-Varsity,Calgary-Edgemont,0.08915272058179269,0.01230609238235549,UCP,UCP,NDP,NDP,False,False
majority,Calgary-Elbow,Calgary-Glenmore-Tsuut'ina,0.015697059445737255,0.047961630695443645,UCP,NDP,NDP,UCP,False,True
majority,Calgary-Glenmore-Tsuut'ina,Calgary-Elbow,0.023939469114363683,0.031436429024751425,NDP,UCP,UCP,NDP,False,True
majority,Calgary-Falconridge-Conrich,Calgary-Klein,0.04919068298460324,0.04279157001135186,UCP,UCP,NDP,NDP,False,False
majority,Calgary-Klein,Calgary-Falconridge-Conrich,0.021371107052958888,0.09846032372680616,UCP,UCP,NDP,NDP,False,False
majority,Calgary-Falconridge-Conrich,Chestermere-Strathmore,0.04919068298460324,0.4302872305758577,UCP,NDP,NDP,UCP,False,True
majority,Chestermere-Strathmore,Calgary-Falconridge-Conrich,0.21512033890414786,0.09846032372680616,NDP,UCP,UCP,NDP,False,True
majority,Calgary-Fish Creek,Calgary-Glenmore-Tsuut'ina,0.04976597191662999,0.047961630695443645,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Glenmore-Tsuut'ina,Calgary-Fish Creek,0.023939469114363683,0.09957194863383606,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Fish Creek,Calgary-Lougheed,0.04976597191662999,0.16648609606356085,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Lougheed,Calgary-Fish Creek,0.08318285783074515,0.09957194863383606,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Fish Creek,Calgary-McKenzie,0.04976597191662999,0.1356160430893527,NDP,NDP,UCP,UCP,False,False
majority,Calgary-McKenzie,Calgary-Fish Creek,0.0677599307492546,0.09957194863383606,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Fish Creek,Calgary-Shaw,0.04976597191662999,0.13757583160294776,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Shaw,Calgary-Fish Creek,0.06876755832417247,0.09957194863383606,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Glenmore-Tsuut'ina,Calgary-Lougheed,0.023939469114363683,0.16648609606356085,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Lougheed,Calgary-Glenmore-Tsuut'ina,0.08318285783074515,0.047961630695443645,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Glenmore-Tsuut'ina,Calgary-West-Elbow Valley,0.023939469114363683,0.1765369960957712,NDP,NDP,UCP,UCP,False,False
majority,Calgary-West-Elbow Valley,Calgary-Glenmore-Tsuut'ina,0.08824497859729996,0.047961630695443645,NDP,NDP,UCP,UCP,False,False
majority,Calgary-Glenmore-Tsuut'ina,Canmore-Banff,0.023939469114363683,0.01327724464309189,NDP,UCP,UCP,NDP,False,True
majority,Canmore-Banff,Calgary-Glenmore-Tsuut'ina,0.00661671267692038,0.047961630695443645,UCP,NDP,NDP,UCP,False,True
