OBJECTID,VA_NUMBER,parent_ed_2019,va_ndp,va_ucp,va_other,ed_2026_maj,ed_2026_min
32,044,Banff-Kananaskis,95.33333333333333,42.666666666666664,5.0,Canmore-Banff,Canmore-Kananaskis
33,034,Edmonton-Meadows,78.8,56.4,3.2,Edmonton-Meadows,Edmonton-Meadows
34,039,Calgary-Lougheed,53.166666666666664,88.5,5.5,Calgary-Fish Creek,Calgary-Lougheed
35,073,Edmonton-South West,70.42857142857143,50.0,1.7142857142857142,Edmonton-Windermere,Edmonton-Windermere
36,011,Calgary-Elbow,77.75,80.75,10.75,Calgary-Elbow,Calgary-Currie
37,021,Leduc-Beaumont,88.2,115.8,5.6,Edmonton-Beaumont,Edmonton-Beaumont
38,048,Central Peace-Notley,12.0,128.0,5.0,Central Peace-Notley,Central Peace-Notley
39,009,Banff-Kananaskis,83.0,84.5,5.0,Calgary-Glenmore-Tsuut'ina,Calgary-West-Tsuut'ina
40,032,Highwood,45.875,159.875,4.75,Okotoks-Diamond Valley,Highwood
41,002,Highwood,27.571428571428573,78.28571428571429,3.857142857142857,Okotoks-Diamond Valley,Canmore-Kananaskis
42,009,Edmonton-Whitemud,96.66666666666667,94.0,3.6666666666666665,Edmonton-Whitemud,Edmonton-Whitemud
43,029,Bonnyville-Cold Lake-St. Paul,49.54545454545455,111.9090909090909,0.0,Cold Lake-Bonnyville-St. Paul,Cold Lake-Bonnyville-St. Paul
44,031,Cypress-Medicine Hat,121.33333333333333,197.66666666666666,9.333333333333334,Medicine Hat-Cypress,Medicine Hat-Cypress
45,030,Cypress-Medicine Hat,121.33333333333333,197.66666666666666,9.333333333333334,Medicine Hat-Cypress,Medicine Hat-Cypress
46,047,Edmonton-West Henday,104.88888888888889,75.22222222222223,6.888888888888889,Edmonton-West Henday,Edmonton-West Henday
47,026,Drayton Valley-Devon,36.0,132.0,8.0,Stony Plain-Drayton Valley,Lac Ste Anne-Parkland
48,035,Camrose,34.333333333333336,169.0,24.666666666666668,Camrose,Camrose
