ucp,ndp,other,ed_2026,total
6122.511524353606,5971.142568220446,450.3895325592649,Calgary-Acadia,12544.043625133318
5370.660225281595,5138.526830848315,405.4360729018463,Calgary-Beddington,10914.623129031756
2104.7092584551174,3004.586239482141,0.03865005539944811,Calgary-Bhullar-McCall,5109.3341479926585
5895.374649183228,5245.692756217282,379.53336367026316,Calgary-Bow,11520.600769070774
2475.500118486693,3778.2184973408644,154.18965923123375,Calgary-Buffalo,6407.908275058791
5140.667064923509,4877.248522153043,407.15524327180725,Calgary-Confluence,10425.07083034836
3940.4611829949813,4241.030034475843,333.79855394699996,Calgary-Cross,8515.289771417823
4639.091422133157,5625.081363982114,541.0087826269339,Calgary-Currie,10805.181568742206
4740.346519321712,3978.3119250896766,445.9455345914723,Calgary-East,9164.60397900286
5162.657877921996,5060.462539359884,362.5980690147808,Calgary-Edgemont,10585.71848629666
5033.119704001562,5156.190644695714,561.6034043676543,Calgary-Elbow,10750.91375306493
2479.3555546443617,3511.675170999766,149.175725388393,Calgary-Falconridge-Conrich,6140.206451032522
8727.33014758556,6460.416898922688,414.44520923108183,Calgary-Fish Creek,15602.19225573933
6592.62281813532,6188.483081841729,355.0557323606611,Calgary-Glenmore-Tsuut'ina,13136.16163233771
4978.516623286566,3607.3433377709775,234.13841763109005,Calgary-Hays,8819.998378688633
5388.183349525309,5799.85432445213,320.04980661896866,Calgary-Klein,11508.087480596407
6361.660755910953,4724.286185708029,319.48844863636066,Calgary-Lougheed,11405.435390255343
8432.36827158469,5403.4987165106595,459.55760268502127,Calgary-McKenzie,14295.42459078037
4100.333460500499,7014.961190420916,276.0333360849333,Calgary-Mountain View,11391.327987006349
4034.1224909536477,3674.9242634611587,8.45175610346942,Calgary-North,7717.498510518276
1295.7339420692517,1866.0160810800776,2.275448282863699e-09,Calgary-North East,3161.750023151605
4754.074337644853,4243.092423117561,465.00223964334066,Calgary-North West,9462.169000405756
3750.1309915517136,3505.5345998355383,29.549797880237474,Calgary-Nose Creek,7285.21538926749
5914.259660022871,4088.128777388464,107.8473151453674,Calgary-Shaw,10110.235752556702
4425.4945237010925,2861.748355046051,128.55456459793632,Calgary-South East,7415.79744334508
3620.40604154396,3561.529458802208,97.96372689287419,Calgary-Symons Valley,7279.899227239042
5058.494633843454,6821.158302992031,159.45837573859188,Calgary-Varsity,12039.111312574078
6356.245791304721,4098.287068570674,166.4776227904422,Calgary-West-Elbow Valley,10621.010482665837
3727.031939379055,3518.026454955884,145.10047512586056,Edmonton-Beaumont,7390.1588694608
4097.363320178566,5624.933394041055,385.4084725426257,Edmonton-Beverly-Clareview,10107.705186762247
3865.0000020378307,4638.000001260814,361.000000121976,Edmonton-Castle Downs,8864.00000342062
1898.3392640016186,5927.230354424294,236.02981294539052,Edmonton-City Centre,8061.599431371303
3704.520836829095,4411.443757909436,555.2927940823081,Edmonton-Decore,8671.257388820839
4202.6458030191525,5898.10911269744,115.9021226235875,Edmonton-Ellerslie,10216.65703834018
4009.270502018875,4547.648172032348,214.4722722085618,Edmonton-Enoch,8771.390946259786
4404.832487982762,8586.038340233574,442.9818857569684,Edmonton-Glenora-Riverview,13433.852713973303
4112.23540417986,8974.209205364272,440.54308540320187,Edmonton-Gold Bar,13526.987694947333
2236.3017848224945,5145.596937373379,280.7925793120474,Edmonton-Highlands-Norwood,7662.691301507921
3070.197872626476,3883.6764491871786,147.30613676533702,Edmonton-Manning,7101.180458578992
4893.807415509734,7281.463823077495,383.05910820673574,Edmonton-McClung,12558.330346793964
1981.090975866395,3378.441289584347,86.74738127613298,Edmonton-Meadows,5446.2796467268745
4648.180231232288,7109.201097228398,71.20703688237414,Edmonton-Mill Woods,11828.58836534306
3828.710605548644,5401.629224053921,231.9622333988333,Edmonton-North West,9462.302063001398
4136.699628061529,7103.478786581558,399.48150457983047,Edmonton-Rutherford,11639.659919222919
3094.318176611203,4240.900060374712,137.23423059016858,Edmonton-South,7472.452467576083
2134.8040186979283,7942.058261944702,354.75819619535235,Edmonton-Strathcona,10431.620476837983
4871.2733026681035,6578.479910098547,546.0815517272137,Edmonton-West Henday,11995.834764493864
4656.078821076114,6310.610212488878,334.08801640084823,Edmonton-Whitemud,11300.77704996584
2763.3811126553815,3302.385706997898,86.59955627025337,Edmonton-Windermere,6152.366375923533
7813.501237083487,3625.8921372886,403.3261989931308,Airdrie-East,11842.719573365217
4910.840910963853,2961.322793769097,238.38456808209733,Airdrie-West,8110.548272815048
10386.152319402483,3033.8857743418384,186.84695961488777,Barrhead-Westlock-Athabasca,13606.88505335921
9171.666969770107,3418.01907548612,1342.834166532749,Camrose,13932.520211788975
2386.426885189505,3007.5630085725206,182.22301392352477,Canmore-Banff,5576.21290768555
5988.946832510215,1286.9775906874556,276.99748928842035,Central Peace-Notley,7552.921912486091
6346.421987940556,2625.6810199026354,281.06731369197996,Chestermere-Strathmore,9253.170321535172
7666.783864751078,4124.806215115557,351.85084151285713,Cochrane-Springbank,12143.440921379492
8256.139341118738,2431.7186754326603,0.00015593215687509314,Cold Lake-Bonnyville-St. Paul,10687.858172483557
11948.065545780464,1943.9073173037373,763.9870662119204,Drumheller-Stettler,14655.959929296123
5666.026843850598,1648.7820356039263,121.8876439922583,Fort McMurray-Lac La Biche,7436.696523446783
3920.1801996656714,1102.4502303965749,665.1124245109843,Fort McMurray-Wood Buffalo,5687.74285457323
7813.407087158446,4434.95358526388,680.6430902045523,Fort Saskatchewan-Vegreville,12929.003762626879
6518.404475752773,2625.829002506649,463.7959034459552,Grande Prairie,9608.029381705377
9981.595524388724,2287.1709975223685,442.20409655707016,Grande Prairie-Wapiti,12710.970618468164
8165.981784756518,2424.565556220796,829.199047406407,High River-Vulcan-Siksika,11419.746388383723
8727.247297161666,2041.8210850898085,1737.2333798215914,Lacombe-Clearwater,12506.301762073066
8319.03553201575,4026.5200243677314,538.6568453312757,Leduc-Devon,12884.212401714758
3354.280635613025,1631.4931387872086,76.00020213722149,Lesser Slave Lake,5061.7739765374545
6176.511165520439,5051.5441553041865,312.4916765898167,Lethbridge-East,11540.546997414442
4863.32590780616,4979.898537818802,407.2962040933025,Lethbridge-West,10250.520649718263
8116.960817791726,2552.064110058469,695.7513833717201,Livingstone-Macleod,11364.776311221915
8865.462805379471,1774.8181088674344,942.9361974174004,Lloydminster-Wainwright,11583.217111664306
7608.115667135072,3031.4606764391233,703.9343802461873,Medicine Hat-Brooks,11343.510723820384
8688.937986719797,4677.560135382009,439.5903728894056,Medicine Hat-Cypress,13806.088494991212
10634.349511445529,2352.7271133030385,1147.8457368917977,Mountain View-Kneehill,14134.922361640365
9317.9281819963,3512.810429103957,350.3458781315684,Okotoks-Diamond Valley,13181.084489231824
