ed_2026,ndp,ucp,other,n_vas,map
Calgary-Bow-Springbank,5001.85,7048.933333333333,304.1166666666667,55,minority
Calgary-Buffalo,4075.111111111111,2697.777777777778,165.88888888888889,52,minority
Calgary-Cross,4347.309523809524,5024.714285714285,399.45238095238096,57,minority
Calgary-Currie,5687.0,4755.0,563.6666666666666,51,minority
Calgary-De Winton,3217.314393939394,5584.756818181818,155.2409090909091,44,minority
Calgary-East,3896.732142857143,4836.785714285714,397.9642857142857,61,minority
Calgary-Edgemont,5102.0,5561.0,303.0,59,minority
Calgary-Elbow,6061.438888888889,5139.622222222222,552.7944444444445,58,minority
Calgary-Falconridge,4520.566666666667,3618.5,347.71666666666664,52,minority
Calgary-Fish Creek,6809.0,8977.0,397.0,63,minority
Calgary-Foothills-Airdrie West,3604.9690476190476,4510.371428571429,152.78333333333333,44,minority
Calgary-Glenmore,6126.25,6693.0,284.25,52,minority
Calgary-Hays,3596.0,4965.0,233.0,40,minority
Calgary-Klein,7026.0,5926.0,308.0,55,minority
Calgary-Lougheed,4257.833333333333,5942.3,326.1,50,minority
Calgary-McCall-Bhullar,3832.0545454545454,2723.056818181818,18.2,38,minority
Calgary-Mountainview,7999.0,4764.0,293.0,73,minority
Calgary-Nolan Hill-Cochrane,3796.154761904762,6221.785714285715,326.82142857142856,55,minority
Calgary-North,3239.5714285714284,3566.1428571428573,0.0,35,minority
Calgary-North East,2576.5454545454545,1824.4431818181818,0.0,27,minority
Calgary-North West-Bearspaw,4568.238095238095,5457.0,489.42857142857144,60,minority
Calgary-Peigan-Chestermere,4841.008333333333,6813.9,480.98333333333335,56,minority
Calgary-South,4027.4545454545455,6750.272727272727,196.27272727272728,48,minority
Calgary-South East,2899.75,4555.25,137.0,37,minority
Calgary-Varsity,7070.5,5584.166666666667,370.8333333333333,61,minority
Calgary-West-Tsuut'ina,4275.4,6171.4,248.8,53,minority
Camrose,2909.3333333333335,8011.5,1288.0,60,minority
Canmore-Kananaskis,3659.2134502923977,5132.175438596491,383.64619883040933,62,minority
Central Peace-Notley,1333.0,6320.0,294.0,51,minority
Chestermere-Strathmore,2376.0333333333333,5841.35,269.68333333333334,45,minority
Cold Lake-Bonnyville-St. Paul,2437.4545454545455,8280.09090909091,0.0,62,minority
Drumheller-Stettler,1860.0,11060.0,550.0,63,minority
Edmonton-Beaumont,3615.0142857142855,3724.342857142857,142.18571428571428,34,minority
Edmonton-Beverly-Clareview,5463.0,3937.5,374.75,51,minority
Edmonton-Castledowns,4638.0,3865.0,361.0,50,minority
Edmonton-City Centre,6022.883333333333,1930.6666666666667,237.95,68,minority
Edmonton-Decore,4473.0,3754.0,562.0,54,minority
Edmonton-Ellerslie,5961.966666666667,4261.933333333333,118.03333333333333,50,minority
