map,election,n_districts,ucp_seats,ucp_vote_share,efficiency_gap,mean_median,declination,seats_at_50_50,s50_pct_in_2023_ensemble,ensemble_n,attribution
majority,2015,89,63,0.5597693126898782,0.07186050999847518,0.03764672212659259,-0.24535580342110141,0.651685393258427,100.0,250000,2015->2019 crosswalk -> area-overlap to v0_9
majority,2019,89,65,0.6280597617404237,-0.00945015403277238,0.017949935728165056,-0.060405931206254086,0.5168539325842697,99.9996,250000,area-overlap from 2019 enacted polygons to v0_9
majority,2023,89,58,0.5740427639062995,0.014524790961258482,-0.007799762003405708,-0.028320339812273505,0.4606741573033708,78.6084,250000,VA-centroid in v0_9 polygon
minority,2015,89,65,0.5597691620615961,0.10184667795309384,0.03879864922040199,-0.2935296508402759,0.651685393258427,100.0,250000,2015->2019 crosswalk -> area-overlap to v0_9
minority,2019,89,68,0.6280596302503912,0.012465845148941362,0.013101870864699716,-0.12217787312111214,0.5617977528089888,100.0,250000,area-overlap from 2019 enacted polygons to v0_9
minority,2023,89,58,0.5740427639062996,0.017845070061250672,-0.01780477473369846,0.010134921900955749,0.47191011235955055,93.2544,250000,VA-centroid in v0_9 polygon
