election,maj_eg_pct,min_eg_pct,asymmetry_pp,maj_mm_pp,min_mm_pp,maj_ndp50,min_ndp50,maj_declination,min_declination
2015,7.245476517714719,7.280027893002564,0.03455137528784458,3.6075957415007522,4.239694392737792,33,33,0.16136641619217723,0.16592876212762958
2019,0.15640492034398448,0.9015394533604467,0.7451345330164623,2.0290522603368775,1.996413615646031,43,42,0.06220001893736661,0.07965711115800919
2023,-0.8530041572692921,-1.3603801836423188,-0.5073760263730267,-0.17800014922798035,-0.3354231716725331,44,42,-0.020956667491738707,-0.01495890304158109
