efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step,municipal_splits
0.00098236684050006812,-0.036190901059016234,-0.026675251362353578,0.4606741573033708,55,89,0.57404276390629949,0,25
-0.0011284671880181466,-0.036490106585699289,-0.028801533581109012,0.4606741573033708,55,89,0.57404276390629949,1,25
-0.0011284671880181466,-0.036447065568401937,-0.028688548914115129,0.4606741573033708,55,89,0.57404276390629949,2,26
-0.0011284671880181141,-0.03645372131332969,-0.028736344760766388,0.4606741573033708,55,89,0.57404276390629949,3,26
-0.0011284671880181141,-0.036637116214197629,-0.029217620079355237,0.4606741573033708,55,89,0.57404276390629949,4,25
-0.0011284671880181141,-0.036347591330022522,-0.028457659582872528,0.4606741573033708,55,89,0.5740427639062996,5,27
-0.0011284671880180818,-0.036288390369828782,-0.028302149595486496,0.4606741573033708,55,89,0.57404276390629949,6,27
-0.0011284671880180492,-0.036391413943009265,-0.028572748101693805,0.4606741573033708,55,89,0.57404276390629949,7,27
-0.0011284671880180818,-0.036405779807839544,-0.028610471549903822,0.4606741573033708,55,89,0.57404276390629949,8,27
-0.0011284671880180818,-0.036447390676769387,-0.028719724787998717,0.4606741573033708,55,89,0.57404276390629949,9,27
-0.00024060087764294301,-0.036365773177170602,-0.028766984193004386,0.4606741573033708,55,89,0.57404276390629938,10,27
-0.00090084061604531695,-0.036580649872262394,-0.030216659016557061,0.4606741573033708,55,89,0.57404276390629949,11,27
-0.00090084061604531695,-0.026757515242521235,-0.030437316696466023,0.4606741573033708,55,89,0.57404276390629949,12,27
-0.00090084061604525211,-0.026781347755220231,-0.030499891532979693,0.4606741573033708,55,89,0.57404276390629938,13,27
-0.00090084061604525211,-0.026773773263003564,-0.030445355513371766,0.4606741573033708,55,89,0.57404276390629949,14,27
-0.00090084061604525211,-0.026765634281238904,-0.030423986456005071,0.4606741573033708,55,89,0.57404276390629938,15,28
-0.00090084061604525211,-0.026742653369813185,-0.030363645596612358,0.4606741573033708,55,89,0.57404276390629938,16,28
-0.00090084061604525211,-0.026612089512994652,-0.030020712006834982,0.4606741573033708,55,89,0.57404276390629938,17,30
-0.00090084061604525211,-0.026584713995430942,-0.029823645304444042,0.4606741573033708,55,89,0.57404276390629938,18,30
0.010121371097856777,-0.026602978930304388,-0.0062419843544782635,0.4606741573033708,56,89,0.57404276390629938,19,30
0.01053792437875759,-0.026536258924429457,-0.0076662610686728683,0.4606741573033708,56,89,0.57404276390629938,20,31
