ucp_seats,n_districts,ucp_vote_share,efficiency_gap,mean_median,declination,seats_at_50_50,map,election,attribution
65,89,0.6280597080072013,0.018669065516026134,-0.005396475974597359,-0.046891218818765595,0.4943820224719101,majority,2019,area-proportional from 2019 enacted polygons
55,87,0.5740427639062995,0.06456966198402041,0.017907710110963038,-0.007738759514438978,0.4367816091954023,majority,2023,VA-centroid in v0_8 polygon
67,89,0.6280568532063073,0.016782162036754648,-0.005841583785529458,-0.041846098039326526,0.5617977528089888,minority,2019,area-proportional from 2019 enacted polygons
59,83,0.5740427639062994,0.09334585409594003,0.010735175235186079,-0.06107752136648714,0.5421686746987951,minority,2023,VA-centroid in v0_8 polygon
