efficiency_gap,mean_median,declination,seats_at_50_50,ucp_seats,n_districts,ucp_vote_share,step,municipal_splits
0.040193859919135516,0.010401768621624674,0.077002564934695886,0.5168539325842697,60,89,0.57404276390629949,0,41
0.040193859919135516,0.010406342901536414,0.077013125466423749,0.5168539325842697,60,89,0.57404276390629938,1,41
0.040193859919135516,0.010497644438114406,0.077804603550032908,0.5168539325842697,60,89,0.57404276390629938,2,41
0.040193859919135481,0.010543643958102145,0.077910810551014259,0.5168539325842697,60,89,0.5740427639062996,3,41
0.040193859919135481,0.010562742930083857,0.077954912440291346,0.5168539325842697,60,89,0.5740427639062996,4,41
0.040193859919135516,0.010552055324285936,0.077862326301437065,0.5168539325842697,60,89,0.57404276390629949,5,41
0.039666337290310695,0.010526819668791321,0.07750439896039471,0.5168539325842697,60,89,0.57404276390629949,6,41
0.03966633729031073,0.010563760659141663,0.077589714539133728,0.5168539325842697,60,89,0.57404276390629938,7,39
0.039666337290310695,0.010585032169542874,0.077774118541957066,0.5168539325842697,60,89,0.57404276390629938,8,39
0.03966633729031066,0.010586482600595137,0.077777468541991121,0.5168539325842697,60,89,0.57404276390629938,9,39
0.039666337290310695,0.008025542402602448,0.077857925128322999,0.5168539325842697,60,89,0.57404276390629938,10,39
0.03966633729031073,0.0080216576387597271,0.077824252813509479,0.5168539325842697,60,89,0.57404276390629938,11,39
0.041048435425133464,0.0081146373609379818,0.078174293233602185,0.5168539325842697,60,89,0.57404276390629949,12,39
0.041048435425133464,0.0079798920078613111,0.077005402601086334,0.5168539325842697,60,89,0.57404276390629949,13,39
0.041048435425133464,0.0081746141408631789,0.077455452221293561,0.5168539325842697,60,89,0.57404276390629949,14,39
0.041048435425133464,0.0080721537451358127,0.077218605104663496,0.5168539325842697,60,89,0.57404276390629949,15,39
0.041048435425133464,0.0082285600348440679,0.077580185972830257,0.5168539325842697,60,89,0.57404276390629949,16,39
0.041048435425133464,0.0082497674434608426,0.077764332274738612,0.5168539325842697,60,89,0.57404276390629949,17,39
0.041048435425133464,0.0081334249370149658,0.077495353057864161,0.5280898876404494,60,89,0.57404276390629949,18,39
0.042052735905591707,0.0082747486563398143,0.078001332630940876,0.5168539325842697,60,89,0.57404276390629949,19,39
0.042052735905591679,0.0081605593496012485,0.078207650003802809,0.5056179775280899,60,89,0.57404276390629949,20,39
0.042052735905591707,0.0081698599609831835,0.078288358828588811,0.5056179775280899,60,89,0.57404276390629949,21,39
0.042052735905591679,0.0081632854563540302,0.078273150334750644,0.5056179775280899,60,89,0.57404276390629949,22,39
0.042052735905591707,0.0082329733457541243,0.078877485386811566,0.5056179775280899,60,89,0.57404276390629938,23,39
0.042052735905591707,0.0081362540381908488,0.07865378772251265,0.5056179775280899,60,89,0.57404276390629938,24,39
0.042052735905591679,0.0081362540381908488,0.07865378772251265,0.5056179775280899,60,89,0.57404276390629949,25,39
0.042052735905591679,0.0011734495200521611,0.079310224520809464,0.4943820224719101,60,89,0.57404276390629949,26,38
0.042052735905591679,0.0011558615306469511,0.079269515292282516,0.4943820224719101,60,89,0.57404276390629949,27,38
0.042052735905591679,0.0011278401680199224,0.07902659870065995,0.4943820224719101,60,89,0.57404276390629949,28,38
0.042052735905591679,0.0011386767012426802,0.079120553985435035,0.4943820224719101,60,89,0.57404276390629949,29,38
0.042052735905591679,0.0010771986643101084,0.078978275444800794,0.4943820224719101,60,89,0.57404276390629949,30,38
0.041442125674552376,0.00097781903092153399,0.078091101294082088,0.4943820224719101,60,89,0.57404276390629949,31,38
0.041442125674552376,0.00099148508100777022,0.078122726505943277,0.4943820224719101,60,89,0.57404276390629949,32,38
0.04144212567455241,0.00098655208624975899,0.078111310677958651,0.4943820224719101,60,89,0.57404276390629949,33,38
0.04144212567455241,0.00094578883976703665,0.077757179015792197,0.4943820224719101,60,89,0.57404276390629938,34,38
0.041442125674552376,0.00084637168406453966,0.076892471026560355,0.4943820224719101,60,89,0.57404276390629938,35,38
0.041442125674552376,0.00094308150321187334,0.077116309022504118,0.4943820224719101,60,89,0.57404276390629938,36,38
0.04144212567455241,0.0005930736994746999,0.076306546959668098,0.4943820224719101,60,89,0.5740427639062996,37,37
