snapshot_date,ucp_share,ndp_share,map,ndp_seats,ucp_seats
2025-09-28,52.345,39.187,minority,30,59
2025-11-02,52.098,39.626,majority,38,51
2025-11-02,52.098,39.626,minority,32,57
2025-12-20,48.9,42.435,majority,45,44
2025-12-20,48.9,42.435,minority,38,51
2026-02-08,49.78,41.581,majority,45,44
2026-02-08,49.78,41.581,minority,36,53
2026-03-14,50.327,39.763,majority,42,47
2026-03-14,50.327,39.763,minority,33,56
2026-04-12,52.46,37.587,majority,33,56
2026-04-12,52.46,37.587,minority,29,60
