csd_anchoring,chain
0.1705340699815838,0
0.17065978621452266,0
0.1714913887871015,0
0.1714913887871015,0
0.17142857142857143,0
0.1711777615215801,0
0.16958424507658643,0
0.16958424507658643,0
0.16970802919708028,0
0.17026730135481508,0
0.16923076923076924,0
0.16910688140556368,0
0.168983174835406,0
0.1693548387096774,0
0.16807030391797875,0
0.16970802919708028,0
0.16964611455673112,0
0.16891645384896023,0
0.16891645384896023,0
0.16897810218978102,0
0.1688548504741065,0
0.16867030965391622,0
0.16794171220400728,0
0.16776075857038658,0
0.16751638747268754,0
0.16831320892791804,0
0.1686746987951807,0
0.1686746987951807,0
0.16830960204454182,0
0.1678219627873039,0
0.16739766081871346,0
0.1668488160291439,0
0.16666666666666666,0
0.1668488160291439,0
0.16696980720261914,0
0.16660563896008787,0
0.16630116959064328,0
0.16465422612513722,0
0.16587330648114243,0
0.16599486991572004,0
0.16514431859700401,0
0.1652046783625731,0
0.1648431801604668,0
0.16351056081573198,0
0.16362973760932945,0
0.1642282370153621,0
0.16316758747697974,0
0.16445427728613568,0
0.16445427728613568,0
0.1647580347247876,0
0.16444444444444445,0
0.1646273637374861,0
0.1638857990359659,0
0.16357566765578635,0
0.1640625,0
0.16387959866220736,0
0.1642512077294686,0
0.16412922391385074,0
0.16431226765799256,0
0.1644345238095238,0
0.1640014875418371,0
0.1623931623931624,0
0.15953453453453453,0
0.15941485371342837,0
0.15941485371342837,0
0.15935508061492312,0
0.1600598354525056,0
0.1600598354525056,0
0.16023961063272182,0
0.1593878312803285,0
0.16449086161879894,0
0.1619402985074627,0
0.16212177810982442,0
0.16454272863568217,0
0.16529235382308846,0
0.16368381804623416,0
0.16411214953271028,0
0.16386711459499814,0
0.16386711459499814,0
0.16386711459499814,0
0.1624251497005988,0
0.16248596031448895,0
0.16279069767441862,0
0.16260771824653428,0
0.163280662151994,0
0.16212177810982442,0
0.16098839385997754,0
0.1627472937663307,0
0.1626865671641791,0
0.16267763649962602,0
0.1627384960718294,0
0.16095380029806258,0
0.16083395383469842,0
0.1604158930560713,0
0.16080029640607632,0
0.1605623381428043,0
0.15992578849721706,0
0.16185185185185186,0
0.16123054114158636,0
0.16123054114158636,0
0.16152989231340512,0
0.16177017478616587,0
0.16201117318435754,0
0.16251394570472294,0
0.16283382789317508,0
0.16383763837638377,0
0.16341553183658447,0
0.16162361623616237,0
0.16156399852452968,0
0.16224188790560473,0
0.16212232866617537,0
0.16040831206707984,0
0.15893313847278043,0
0.1581259150805271,0
0.1581259150805271,0
0.15777940102264426,0
0.1576067128785115,0
0.15714805383775918,0
0.15485278080697928,0
0.1542649727767695,0
0.15359595229490422,0
0.15471423370950127,0
0.15460167333575844,0
0.15309090909090908,0
0.1532023289665211,0
0.15362213323625773,0
0.15395840933965707,0
0.1539022611232677,0
0.15367807720320467,0
0.1540983606557377,0
0.15540044085231447,0
0.15679824561403508,0
0.15691294806144843,0
0.15775988286969253,0
0.15667030170846966,0
0.1565784704603117,0
0.1563517915309446,0
0.1555956678700361,0
0.1562726613488035,0
0.155877034358047,0
0.15621602029720913,0
0.1596820809248555,0
0.16004335260115607,0
0.16004335260115607,0
0.1595821325648415,0
0.15946724262059037,0
0.15940985966174884,0
0.159164566078502,0
0.159164566078502,0
0.15959741193386054,0
0.15859826589595374,0
0.158540989526905,0
0.16102305475504322,0
0.16125541125541126,0
0.16397560100466452,0
0.16432937792161093,0
0.1644476430370637,0
0.162981455064194,0
0.1638700464119957,0
0.16380543633762518,0
0.16380543633762518,0
0.16486681065514758,0
0.1645021645021645,0
0.1645615301335258,0
0.16207396664249457,0
0.16227106227106228,0
0.1623900293255132,0
0.16215226939970717,0
0.16144314868804666,0
0.16161984677125138,0
0.16120815138282388,0
0.1610909090909091,0
0.1610909090909091,0
0.16077287641268684,0
0.15820241139934235,0
0.15820241139934235,0
0.1597069597069597,0
0.15964848041010618,0
0.15900802334062727,0
0.1583180987202925,0
0.1586080586080586,0
0.15849194729136165,0
0.15866617808721142,0
0.15733626051957555,0
0.15762463343108504,0
0.15908250092489826,0
0.1587887740029542,0
0.15873015873015872,0
0.16044362292051756,0
0.16044362292051756,0
0.16136195410806808,0
0.16100443131462333,0
0.16050295857988164,0
0.15976331360946747,0
0.1598224195338513,0
0.16059479553903347,0
0.1603563474387528,0
0.15871254162042175,0
0.15871254162042175,0
0.15924276169265034,0
0.1595388620304946,0
0.15959821428571427,0
0.15942028985507245,0
0.15962962962962962,0
0.16034226190476192,0
0.16068759342301944,0
0.16022304832713755,0
0.1591078066914498,0
0.16007462686567164,0
0.15985130111524162,0
0.1598360655737705,0
0.15942028985507245,0
0.1613382899628253,0
0.1612184249628529,0
0.16103896103896104,0
0.16145833333333334,0
0.16212177810982442,0
0.1649793775778028,0
0.16485575121768453,0
0.16286888307807246,0
0.1630516080777861,0
0.1636091351553725,0
0.16354790419161677,0
0.1637317347321094,0
0.16397748592870545,0
0.16465712132629992,0
0.16484345529988684,0
0.16484345529988684,0
0.16471918582736525,0
0.16447120812946933,0
0.16465712132629992,0
0.16447120812946933,0
0.16484345529988684,0
0.16559788758958882,0
0.16584998115341124,0
0.16294896030245748,0
0.16515151515151516,0
0.16597037599696163,0
0.16660355925785686,0
0.1662259161314696,0
0.16440422322775264,0
0.16439909297052155,0
0.1639591990933132,0
0.16414523449319213,0
0.16793025018953753,0
0.16894457099468488,0
0.16920152091254753,0
0.1693947468595356,0
0.1696394686907021,0
0.16880664652567975,0
0.16887041934265207,0
0.16983282674772038,0
0.16704805491990846,0
0.16692073170731708,0
0.16730328495034377,0
