ed_2019,sheet_num,poll_letter,poll_name,ballot_type,ndp_votes,ucp_votes,other_votes,valid_votes,voting_areas,lat,lon,ed_2026_majority,ed_2026_minority
Edmonton-City Centre,29,G,Spruce Avenue School,Election Day,374,210,16,600,"001,002,003,004,005",,,,
Edmonton-City Centre,29,H,City Centre Mall,Election Day,338,130,7,475,"023,024,025,026,027",,,,
Edmonton-City Centre,29,I,Norquest College Main Campus,Election Day,450,116,10,576,"028,029,030,031,058",,,,
Edmonton-City Centre,29,J,All Saints' Anglican Cathedral,Election Day,631,177,23,831,"059,060,061,062,063,064,065",,,,
Edmonton-City Centre,29,K,Rossdale Community League,Election Day,231,45,4,280,066,,,,
Edmonton-City Centre,29,,City Centre Mall,Advance,590,127,16,733,,,,,
Edmonton-City Centre,29,,Hellenic-Canadian Community Centre,Advance,983,216,19,1218,,,,,
Edmonton-City Centre,29,,Kingsway Mall,Advance,679,225,21,925,,,,,
Edmonton-City Centre,29,,MacEwan University - Students' Association Bldg,Advance,240,31,11,282,,,,,
Edmonton-City Centre,29,,NAIT - North Lobby,Advance,59,13,0,72,,,,,
Edmonton-City Centre,29,,Returning Office,Advance,2270,564,67,2901,,,,,
Edmonton-City Centre,29,,Vote Anywhere (Out of ED),Advance,960,317,29,1306,,,,,
Edmonton-City Centre,29,,Boyle Street,Mobile,17,18,13,48,,,,,
Edmonton-City Centre,29,,Capital Care Norwood,Mobile,25,25,4,54,,,,,
Edmonton-City Centre,29,,Cathedral Close Apartments,Mobile,30,16,5,51,,,,,
Edmonton-City Centre,29,,Edmonton General Hospital CC,Mobile,53,26,12,91,,,,,
Edmonton-City Centre,29,,Glenrose Hospital,Mobile,41,26,1,68,,,,,
Edmonton-City Centre,29,,Grand Manor,Mobile,19,8,12,39,,,,,
Edmonton-City Centre,29,,Kiwanis Place,Mobile,58,20,7,85,,,,,
Edmonton-City Centre,29,,Revera - Our Parents Home,Mobile,19,7,0,26,,,,,
Edmonton-City Centre,29,,Revera - The Churchill,Mobile,40,13,3,56,,,,,
Edmonton-City Centre,29,,Rosedale,Mobile,125,37,7,169,,,,,
Edmonton-City Centre,29,,Royal Alexandra Hospital,Mobile,43,32,8,83,,,,,
Edmonton-City Centre,29,,Shepherd's Care Vanguard,Mobile,8,4,2,14,,,,,
Edmonton-City Centre,29,,Societe Des Manoirs St. Joachim,Mobile,46,15,1,62,,,,,
Edmonton-City Centre,29,,Sprucewood Place Housing,Mobile,14,5,0,19,,,,,
Edmonton-City Centre,29,,Tegler Manor,Mobile,43,13,2,58,,,,,
Edmonton-City Centre,29,,Ukranian Dnipro Senior Citizens Home,Mobile,10,13,3,26,,,,,
Edmonton-City Centre,29,,Returning Office,Special Ballot,338,78,6,422,,,,,
Edmonton-City Centre,29,,Centralized,Special Ballot,203,49,7,259,,,,,
Edmonton-Decore,30,A,Killarney Community League,Election Day,264,240,38,542,"001,002,003,004",,,,
Edmonton-Decore,30,B,Glengarry Community League,Election Day,294,234,34,562,"013,014,015",,,,
Edmonton-Decore,30,C,Northmount Community League,Election Day,316,228,54,598,"016,017,021",,,,
Edmonton-Decore,30,D,Florence Hallock School,Election Day,359,312,37,708,"040,041,048,049",,,,
Edmonton-Decore,30,E,Holy Cross Parish Hall,Election Day,328,290,24,642,"036,037,038,039",,,,
Edmonton-Decore,30,F,Evansdale Community League,Election Day,431,385,64,880,"022,023,024,025,026",,,,
Edmonton-Decore,30,G,St. John Bosco School,Election Day,384,329,40,753,"043,044,045,046,047",,,,
Edmonton-Decore,30,H,J.A. Fife School,Election Day,326,263,37,626,"032,033,034,035,042",,,,
Edmonton-Decore,30,I,John Barnett School,Election Day,514,425,72,1011,"027,028,029,030,031",,,,
Edmonton-Decore,30,J,Londonderry Community League,Election Day,131,96,22,249,"018,019,020",,,,
Edmonton-Decore,30,K,Delwood Community Hall,Election Day,364,330,56,750,"009,010,011,012",,,,
Edmonton-Decore,30,L,Balwin Community League,Election Day,330,295,39,664,"005,006,007,008",,,,
Edmonton-Decore,30,,Killarney Community League,Advance,501,450,51,1002,,,,,
Edmonton-Decore,30,,Londonderry Mall,Advance,1703,1199,165,3067,,,,,
Edmonton-Decore,30,,Vote Anywhere (Out of ED),Advance,1598,1047,151,2796,,,,,
Edmonton-Decore,30,,"Capital Care Dickinsfield, Casa Roma Romanian Seniors, Polish Veterans Seniors",Mobile,25,49,21,95,,,,,
Edmonton-Decore,30,,"Extendicare Eaux Claire, Millennium Pavilion Seniors Lodge, St. Michael's Extended Care",Mobile,52,25,8,85,,,,,
Edmonton-Decore,30,,Returning Office,Special Ballot,110,97,9,216,,,,,
Edmonton-Decore,30,,Centralized,Special Ballot,79,32,4,115,,,,,
Edmonton-Ellerslie,31,A,Jan Reimer School,Election Day,453,340,11,804,"003,005",,,,
Edmonton-Ellerslie,31,B,Michael Strembitsky School,Election Day,626,454,18,1098,"006,007,008,009,010",,,,
Edmonton-Ellerslie,31,C,Grace Point Church of God,Election Day,612,344,11,967,"024,025,026,027,028",,,,
Edmonton-Ellerslie,31,D,Ellerslie Campus School,Election Day,328,198,4,530,"022,023,029,030",,,,
Edmonton-Ellerslie,31,E,Father Michael Mireau School,Election Day,576,383,12,971,"014,015,016,017,018",,,,
Edmonton-Ellerslie,31,F,T. D. Baker School,Election Day,476,288,21,785,"035,036,037,038",,,,
Edmonton-Ellerslie,31,G,Svend Hansen School,Election Day,964,584,26,1574,"039,040,041,042,043,044",,,,
Edmonton-Ellerslie,31,H,Crawford Plains School,Election Day,565,443,25,1033,"031,032,033,034",,,,
Edmonton-Ellerslie,31,I,Shauna May Seneca School,Election Day,525,346,11,882,"002,004,011",,,,
Edmonton-Ellerslie,31,J,Corpus Christi School,Election Day,656,576,20,1252,"001,012,013,019,020,021",,,,
