ucp,ndp,other,ed_2026,total
5763.917241007924,5616.184385150424,458.204807665194,Calgary-Acadia,11838.30643382354
4616.475147900705,3595.2822964945112,105.06417629876074,Calgary-Airdrie,8316.821620693978
6091.35724856999,5768.37538223538,391.07701600510103,Calgary-Beddington,12250.809646810472
6937.307741445985,4918.27803552769,296.9446298965093,Calgary-Bow-Springbank,12152.530406870184
2742.4966160856106,4161.2227408175995,169.13572936151564,Calgary-Buffalo,7072.855086264725
4972.574581335879,4304.565223058735,400.1428349292065,Calgary-Cross,9677.282639323821
4766.806809043738,5707.114591976888,564.1872974447739,Calgary-Currie,11038.108698465401
5553.395706520756,3232.1318833651194,151.99779466548858,Calgary-De Winton,8937.525384551363
4832.655507704695,3887.997062846946,398.87293155461856,Calgary-East,9119.52550210626
5579.3313829822055,5119.013080052562,304.8036366073979,Calgary-Edgemont,11003.148099642165
5081.432010446634,5950.318877055143,547.7612249224763,Calgary-Elbow,11579.512112424254
3658.5110173706853,4576.741927909752,349.43999342895677,Calgary-Falconridge,8584.692938709395
8991.70843437565,6811.429342231395,396.7164730061292,Calgary-Fish Creek,16199.854249613174
4310.735286484425,3423.211920084996,151.07369817367675,Calgary-Foothills-Airdrie West,7885.020904743097
6678.604540575761,6111.112229791994,284.10413797609016,Calgary-Glenmore,13073.820908343845
4967.784301636962,3590.5276374757627,232.82607624585987,Calgary-Hays,8791.138015358583
5894.675779365001,6988.226431617518,307.29811421872876,Calgary-Klein,13190.20032520125
5948.397479314614,4267.574297614529,328.0595344108177,Calgary-Lougheed,10544.03131133996
2552.7023632558385,3655.8080122427277,10.956687499228483,Calgary-McCall-Bhullar,6219.467062997795
4815.532100887034,8057.016370930419,295.7510218469342,Calgary-Mountainview,13168.299493664386
6102.460443712382,3786.776188081171,322.57737313882166,Calgary-Nolan Hill-Cochrane,10211.814004932374
3741.842176090941,3407.902782928908,0.273728202165739,Calgary-North,7150.018687222014
1886.2727956344067,2666.2463642864454,0.004077195552947829,Calgary-North East,4552.523237116405
5395.770130551262,4525.007035557455,486.54298612917944,Calgary-North West-Bearspaw,10407.320152237897
6888.470759777394,4914.655139219363,483.43204771766165,Calgary-Peigan-Chestermere,12286.55794671442
6601.835383871439,3932.6423476855025,192.49747811847212,Calgary-South,10726.975209675413
4486.968420281994,2869.4015539692673,132.0063016471983,Calgary-South East,7488.37627589846
5653.401313565241,7143.422627737139,377.36012730297574,Calgary-Varsity,13174.184068605357
6177.965494339424,4227.270003111719,246.52079824639344,Calgary-West-Tsuut'ina,10651.756295697536
3727.0319393790533,3518.026454955883,145.10047512586044,Edmonton-Beaumont,7390.158869460796
