OBJECTID,va_pop_total_est,va_visible_min_est,va_indigenous_est,VA_NUMBER,va_ndp,va_ucp,va_other,pct_visible_min,pct_indigenous
67,0.0,0.0,0.0,020,31.5,87.0,6.5,0.0,0.0
68,0.0,0.0,0.0,028,66.125,59.25,0.0,0.0,0.0
69,0.0,0.0,0.0,006,131.0,85.0,8.75,0.0,0.0
70,0.0,0.0,0.0,035,56.42857142857143,107.14285714285714,6.142857142857143,0.0,0.0
71,0.0,0.0,0.0,009,176.5,88.25,12.0,0.0,0.0
72,0.0,0.0,0.0,022,26.0,74.0,3.0,0.0,0.0
73,0.0,0.0,0.0,002,79.0,166.0,18.0,0.0,0.0
74,0.0,0.0,0.0,029,101.8,88.0,7.8,0.0,0.0
75,0.0,0.0,0.0,027,29.923076923076923,133.07692307692307,0.0,0.0,0.0
76,0.0,0.0,0.0,044,54.77777777777778,42.111111111111114,1.1111111111111112,0.0,0.0
77,0.0,0.0,0.0,019,105.6,200.0,11.4,0.0,0.0
78,0.0,0.0,0.0,065,55.166666666666664,75.83333333333333,5.333333333333333,0.0,0.0
79,0.0,0.0,0.0,016,97.5,121.75,8.25,0.0,0.0
80,0.0,0.0,0.0,057,38.25,159.25,6.0,0.0,0.0
81,0.0,0.0,0.0,038,73.5,106.25,10.25,0.0,0.0
82,0.0,0.0,0.0,009,60.0,203.0,19.5,0.0,0.0
83,0.0,0.0,0.0,043,78.0,93.25,4.25,0.0,0.0
84,0.0,0.0,0.0,001,100.33333333333333,96.0,7.0,0.0,0.0
85,0.0,0.0,0.0,015,124.5,89.83333333333333,7.5,0.0,0.0
86,0.0,0.0,0.0,041,71.2,131.0,3.2,0.0,0.0
87,0.0,0.0,0.0,040,71.2,131.0,3.2,0.0,0.0
88,0.0,0.0,0.0,042,75.85714285714286,111.85714285714286,5.285714285714286,0.0,0.0
89,0.0,0.0,0.0,010,74.625,115.5,3.375,0.0,0.0
90,0.0,0.0,0.0,028,76.25,32.25,3.25,0.0,0.0
91,0.0,0.0,0.0,014,74.33333333333333,144.0,8.0,0.0,0.0
92,0.0,0.0,0.0,003,113.16666666666667,131.0,5.0,0.0,0.0
93,0.0,0.0,0.0,002,84.28571428571429,115.85714285714286,5.714285714285714,0.0,0.0
94,0.0,0.0,0.0,005,39.61538461538461,141.30769230769232,18.46153846153846,0.0,0.0
95,0.0,0.0,0.0,046,82.9090909090909,104.54545454545455,1.5454545454545454,0.0,0.0
96,0.0,0.0,0.0,045,87.28571428571429,153.28571428571428,2.857142857142857,0.0,0.0
97,0.0,0.0,0.0,049,22.5,131.5,10.166666666666666,0.0,0.0
98,0.0,0.0,0.0,047,90.2,21.0,4.6,0.0,0.0
99,0.0,0.0,0.0,029,56.0,72.25,6.5,0.0,0.0
100,0.0,0.0,0.0,048,97.0,316.0,0.0,0.0,0.0
101,0.0,0.0,0.0,039,122.5,108.16666666666667,2.8333333333333335,0.0,0.0
102,0.0,0.0,0.0,005,194.0,79.66666666666667,5.0,0.0,0.0
