parent_ed_2019,VA_NUMBER,election_day_ndp,election_day_ucp,apportioned_advance_ndp,apportioned_advance_ucp,full_ndp,full_ucp,pct_advance_ndp
Central Peace-Notley,22,26.0,74.0,11.517317207256736,40.4480483782298,37.51731720725674,114.4480483782298,30.7
Calgary-Fish Creek,2,79.0,166.0,49.26353531731803,56.83578343492292,128.26353531731803,222.83578343492292,38.41
Edmonton-Beverly-Clareview,29,101.8,88.0,69.55948443579767,39.76476167315175,171.35948443579767,127.76476167315175,40.59
West Yellowhead,27,29.923076923076923,133.07692307692307,48.09525653436594,100.0406582768635,78.01833345744286,233.11758135378656,61.65
Edmonton-Manning,44,54.77777777777778,42.111111111111114,34.038876678876676,18.472771672771678,88.81665445665445,60.58388278388279,38.32
Strathcona-Sherwood Park,19,105.6,200.0,76.27258356899426,90.4102675658038,181.87258356899426,290.4102675658038,41.94
Brooks-Medicine Hat,65,55.166666666666664,75.83333333333333,26.850014096419507,64.5828399586505,82.01668076308617,140.41617329198382,32.74
Calgary-Beddington,16,97.5,121.75,86.3460657370518,76.86852589641433,183.8460657370518,198.61852589641433,46.97
Innisfail-Sylvan Lake,57,38.25,159.25,45.14726294786155,105.98898238917324,83.39726294786155,265.23898238917326,54.14
Red Deer-North,38,73.5,106.25,56.419245949314494,73.55785209804736,129.9192459493145,179.80785209804736,43.43
Lac Ste. Anne-Parkland,9,60.0,203.0,36.33900665325701,76.48282531332198,96.339006653257,279.482825313322,37.72
Lethbridge-East,43,78.0,93.25,73.87861010830326,68.6236462093863,151.87861010830326,161.8736462093863,48.64
Calgary-Acadia,1,100.33333333333333,96.0,80.3801888473187,82.54884494328641,180.71352218065203,178.5488449432864,44.48
Edmonton-McClung,15,124.5,89.83333333333333,110.23076923076924,58.871794871794876,234.73076923076923,148.7051282051282,46.96
Calgary-West,41,71.2,131.0,104.12807544823298,134.30405223339207,175.328075448233,265.3040522333921,59.39
Calgary-West,40,71.2,131.0,104.12807544823298,134.30405223339207,175.328075448233,265.3040522333921,59.39
Airdrie-Cochrane,42,75.85714285714286,111.85714285714286,67.45468907798299,101.16889479946803,143.31183193512584,213.0260376566109,47.07
Calgary-West,10,74.625,115.5,97.90974453311225,126.28366929215463,172.53474453311225,241.78366929215463,56.75
Edmonton-Highlands-Norwood,28,76.25,32.25,51.53671125327131,14.087016574585636,127.7867112532713,46.33701657458563,40.33
Grande Prairie,14,74.33333333333333,144.0,44.12737663479503,64.47540022713117,118.46070996812836,208.47540022713116,37.25
Leduc-Beaumont,3,113.16666666666667,131.0,99.6155363312386,128.45003944612208,212.78220299790527,259.4500394461221,46.82
Leduc-Beaumont,2,84.28571428571429,115.85714285714286,81.65462685523079,105.29020298236001,165.94034114094507,221.14734583950286,49.21
Olds-Didsbury-Three Hills,5,39.61538461538461,141.30769230769232,24.06378932618632,79.27972331268559,63.67917394157094,220.5874156203779,37.79
Calgary-Shaw,46,82.9090909090909,104.54545454545455,41.93792727535413,55.19502472532884,124.84701818444503,159.7404792707834,33.59
Calgary-Shaw,45,87.28571428571429,153.28571428571428,53.82140535185394,70.83501718248522,141.10711963756825,224.1207314681995,38.14
Taber-Warner,49,22.5,131.5,22.965394220478053,91.3487929599239,45.46539422047805,222.8487929599239,50.51
Edmonton-City Centre,47,90.2,21.0,90.54487758172615,24.046942962659006,180.74487758172614,45.046942962659,50.1
Calgary-Cross,29,56.0,72.25,46.01758506856272,50.153631284916194,102.01758506856271,122.4036312849162,45.11
Athabasca-Barrhead-Westlock,48,97.0,316.0,80.29165657055165,174.5934900250384,177.29165657055165,490.59349002503836,45.29
St. Albert,39,122.5,108.16666666666667,116.75674814873797,68.98511027948085,239.25674814873798,177.15177694614752,48.8
Edmonton-Glenora,5,194.0,79.66666666666667,109.14643263448727,31.863286201852755,303.14643263448727,111.52995286851943,36.0
Edmonton-Ellerslie,15,115.2,76.6,60.177570093457945,30.078936017253774,175.37757009345796,106.67893601725376,34.31
Spruce Grove-Stony Plain,7,100.8,138.2,111.01516479663395,151.67952314165495,211.81516479663395,289.87952314165494,52.41
Calgary-North West,19,92.33333333333333,97.66666666666667,111.41936200955874,109.62431921751694,203.75269534289208,207.2909858841836,54.68
Edmonton-Strathcona,32,195.75,69.5,111.23188363720823,22.979502961328535,306.9818836372082,92.47950296132854,36.23
Highwood,54,56.40909090909091,125.81818181818181,53.98344903581267,116.4192984389348,110.39253994490358,242.2374802571166,48.9
Grande Prairie,22,71.66666666666667,147.33333333333334,44.262116716122655,64.67227167820639,115.92878338278933,212.00560501153973,38.18
Taber-Warner,8,25.142857142857142,120.57142857142857,21.72977931807757,86.43392283777587,46.872636460934714,207.00535140920442,46.36
Calgary-Buffalo,33,134.75,70.25,126.21338912133889,63.03347280334728,260.9633891213389,133.28347280334728,48.36
Edmonton-Meadows,27,120.16666666666667,65.5,77.91538723984989,40.230945069942,198.08205390651656,105.73094506994201,39.33
Camrose,47,41.666666666666664,188.66666666666666,55.66352734350474,109.61332956614555,97.3301940101714,298.2799962328122,57.19
Grande Prairie-Wapiti,68,42.5,243.0,26.477261653402632,84.27744843267823,68.97726165340264,327.2774484326782,38.39
Calgary-Hays,34,93.5,127.66666666666667,81.30179036152134,98.29860784498166,174.80179036152134,225.96527451164832,46.51
Lac Ste. Anne-Parkland,53,34.0,79.2,15.640971684976018,32.919603899118066,49.640971684976016,112.11960389911806,31.51
Lacombe-Ponoka,44,38.5,167.33333333333334,52.23263113613566,117.4934472381322,90.73263113613567,284.8267805714655,57.57
Calgary-Acadia,11,100.25,119.25,89.86477819347942,92.2893283449136,190.11477819347942,211.5393283449136,47.27
Lethbridge-West,13,120.2,112.0,134.96308042920896,86.01388282214413,255.16308042920895,198.01388282214413,52.89
Calgary-Beddington,38,117.5,98.83333333333333,85.19741035856573,75.84594953519256,202.69741035856572,174.6792828685259,42.03
Edmonton-West Henday,19,181.5,120.5,64.70896075043198,41.126470830247676,246.20896075043197,161.62647083024768,26.28
Spruce Grove-Stony Plain,50,59.25,116.75,81.75175315568022,111.69705469845724,141.0017531556802,228.44705469845724,57.98
Calgary-Acadia,10,100.25,119.25,89.86477819347942,92.2893283449136,190.11477819347942,211.5393283449136,47.27
Drayton Valley-Devon,16,23.0,158.33333333333334,22.45486084732457,70.67081972194788,45.45486084732457,229.00415305528122,49.4
Calgary-South East,33,77.8,145.6,86.46983960031554,122.06815671838021,164.26983960031555,267.6681567183802,52.64
Olds-Didsbury-Three Hills,49,23.0,224.0,32.85239265577562,108.2343501517999,55.85239265577562,332.2343501517999,58.82
Livingstone-Macleod,45,76.0,318.0,129.64988097418055,287.3292437282548,205.64988097418055,605.3292437282548,63.04
Sherwood Park,26,124.66666666666667,107.66666666666667,99.50904534419297,70.56062860573786,224.17571201085963,178.22729527240455,44.39
Calgary-North East,37,88.0,63.5,82.07816377171214,61.38632133995037,170.07816377171213,124.88632133995037,48.26
