ed_a,ed_b,overlap_km2,ed_a_km2,ed_b_km2,frac_of_smaller
Barrhead-Westlock-Athabasca,Cold Lake-Bonnyville-St. Paul,5.580678213890403e-06,23708.906247485815,15906.640602123418,3.5083952378640047e-10
Central Peace-Notley,Peace River,5.293548512271698e-06,47329.61962050198,109243.95311089353,1.1184430711077736e-10
Edmonton-Beverly-Clareview,West Yellowhead,4.455066749836538e-06,0.00038536650480279516,93599.17713910298,0.011560596715888277
Calgary-Acadia,Calgary-Lougheed,4.270762322593318e-06,74.95562019228245,922.6323876595407,5.697721280455821e-08
Edmonton-Ellerslie,Edmonton-Meadows,4.1306238659580234e-06,52.410508198003534,19.841978112905156,2.0817601160800997e-07
Barrhead-Westlock-Athabasca,Lesser Slave Lake,3.706269677856542e-06,23708.906247485815,69545.90682565824,1.5632394169383372e-10
Grande Prairie-Wapiti,West Yellowhead,3.1910452106041703e-06,17220.402810567164,93599.17713910298,1.8530607243670342e-10
Spruce Grove,West Yellowhead,2.9413251348394766e-06,68.42690394197747,93599.17713910298,4.2984922090491924e-08
Central Peace-Notley,Grande Prairie-Wapiti,2.755886969655834e-06,47329.61962050198,17220.402810567164,1.6003615013957198e-10
Drumheller-Stettler,Sylvan Lake-Innisfail,2.3273536511454792e-06,36538.95916071262,3639.9132233177033,6.393981142836548e-10
Edmonton-Manning,West Yellowhead,1.879602525982229e-06,1.0999772491420983e-05,93599.17713910298,0.17087649107726377
Drumheller-Stettler,Mountain View-Kneehill,1.5983203861065214e-06,36538.95916071262,10488.888775197833,1.5238224185253364e-10
Central Peace-Notley,West Yellowhead,1.5286128570531458e-06,47329.61962050198,93599.17713910298,3.229717181988485e-11
Edmonton-Beverly-Clareview,Edmonton-Manning,1.475740453682346e-06,0.00038536650480279516,1.0999772491420983e-05,0.13416099786002986
Red Deer-North,Sylvan Lake-Innisfail,1.3792701244273043e-06,72.42251623134479,3639.9132233177033,1.904476944741047e-08
