map,n,ndp_seats,ucp_seats,eg_pct,mm_gap_pp,ndp_at_50,ucp_at_50,declination,prov_ndp_pct
2019,87,26,61,6.586844386469777,4.140859109008027,32,55,0.16546704302113194,43.97503206472744
Majority 2026,89,26,63,7.245476517714719,3.6075957415007522,33,56,0.16136641619217723,43.65757930775788
Minority 2026,89,26,63,7.280027893002564,4.239694392737792,33,56,0.16592876212762958,44.233602370600046
