row_key,timestamp
stermere merging with Calgary|full_corpus,2026-05-10T09:00:29.266851
EBC-2025-1-0178|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:20:08.535207
EBC-2025-1-0082|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:20:18.832542
EBC-2025-1-0154|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:20:25.101616
EBC-2025-1-0181|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:20:33.155865
EBC-2025-1-0102|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:20:45.986074
EBC-2025-1-0157|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:20:50.282973
EBC-2025-2-0013|Airdrie 4-way split|full_corpus,2026-05-10T09:21:09.187777
EBC-2025-1-0106|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:21:15.767566
EBC-2025-1-0162|Airdrie 4-way split|full_corpus,2026-05-10T09:21:22.128004
EBC-2025-2-0046|Airdrie 4-way split|full_corpus,2026-05-10T09:21:34.426214
EBC-2025-1-0110|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:21:40.551010
EBC-2025-1-0167|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:21:50.160278
EBC-2025-2-0047|Airdrie 4-way split|full_corpus,2026-05-10T09:21:53.378234
EBC-2025-1-0178|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:22:06.961892
EBC-2025-1-0110|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:22:07.718884
EBC-2025-2-0048|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:22:20.462962
EBC-2025-1-0125|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:22:27.803485
EBC-2025-1-0181|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:22:28.073333
EBC-2025-2-0065|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:22:45.276993
EBC-2025-1-0133|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:22:49.626922
EBC-2025-2-0013|Airdrie 4-way split|full_corpus,2026-05-10T09:23:00.229424
EBC-2025-2-0069|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:23:03.078575
EBC-2025-1-0134|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:23:21.557519
EBC-2025-2-0046|Airdrie 4-way split|full_corpus,2026-05-10T09:23:21.591108
EBC-2025-2-0075|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:23:30.777126
EBC-2025-2-0047|Airdrie 4-way split|full_corpus,2026-05-10T09:23:46.158560
EBC-2025-1-0137|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:23:47.224654
EBC-2025-2-0083|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:23:50.454074
EBC-2025-2-0084|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:24:13.096793
EBC-2025-1-0138|Airdrie 4-way split|full_corpus,2026-05-10T09:24:16.268523
EBC-2025-2-0048|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:24:27.461467
"EBC-2025-1-0138|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:24:40.487677
EBC-2025-2-0087|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:24:40.629357
EBC-2025-2-0065|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:24:59.115678
EBC-2025-1-0138|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:25:20.018646
EBC-2025-2-0089|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:25:24.092159
EBC-2025-2-0069|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:25:31.424111
EBC-2025-1-0139|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:25:45.320367
EBC-2025-2-0091|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:25:53.435086
EBC-2025-2-0075|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:25:59.810051
EBC-2025-1-0152|Airdrie 4-way split|full_corpus,2026-05-10T09:26:08.851995
EBC-2025-2-0095|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:26:14.533177
EBC-2025-2-0083|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:26:21.076702
"EBC-2025-1-0152|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:26:37.029694
EBC-2025-2-0084|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:26:38.535166
EBC-2025-1-0152|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:26:56.037956
EBC-2025-2-0087|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:26:57.922873
EBC-2025-2-0089|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:27:16.773984
EBC-2025-1-0154|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:27:19.080523
EBC-2025-2-0091|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:27:41.645023
EBC-2025-1-0157|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:27:47.435747
EBC-2025-2-0095|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:28:07.488224
EBC-2025-1-0162|Airdrie 4-way split|full_corpus,2026-05-10T09:28:19.398739
EBC-2025-2-0096|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:28:34.579957
EBC-2025-1-0167|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:28:41.669570
EBC-2025-2-0112|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:28:52.504864
EBC-2025-1-0178|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:29:03.616538
"EBC-2025-2-0112|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:29:15.880904
EBC-2025-1-0181|Calgary-Nolan Hill-Cochrane hybrid|full_corpus,2026-05-10T09:29:23.675092
EBC-2025-2-0113|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:29:35.086899
EBC-2025-2-0013|Airdrie 4-way split|full_corpus,2026-05-10T09:29:50.802319
EBC-2025-2-0113|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:29:55.283451
EBC-2025-2-0046|Airdrie 4-way split|full_corpus,2026-05-10T09:30:13.550749
EBC-2025-2-0116|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:30:14.040915
EBC-2025-2-0047|Airdrie 4-way split|full_corpus,2026-05-10T09:30:37.058049
EBC-2025-2-0116|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:30:42.720451
EBC-2025-2-0117|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:31:15.174133
EBC-2025-2-0048|St. Albert merging with Sturgeon County|full_corpus,2026-05-10T09:31:19.288457
EBC-2025-2-0120|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:31:44.909933
EBC-2025-2-0065|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:31:45.433844
EBC-2025-2-0069|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:32:18.180753
EBC-2025-2-0126|Airdrie 4-way split|full_corpus,2026-05-10T09:32:20.113510
EBC-2025-2-0075|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:32:54.739245
EBC-2025-2-0136|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:33:00.133744
EBC-2025-2-0083|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:33:28.254651
EBC-2025-2-0137|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:33:34.201776
EBC-2025-2-0084|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:33:50.622565
EBC-2025-2-0142|Olds-Three Hills-Didsbury extending to Airdrie|full_corpus,2026-05-10T09:34:04.852148
EBC-2025-2-0087|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:34:29.662407
"EBC-2025-2-0154|Red Deer hybrid ridings (Blackfalds, Sylvan Lake, Innisfail)|full_corpus",2026-05-10T09:34:36.599207
EBC-2025-2-0156|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:35:05.449141
EBC-2025-2-0089|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:35:05.948451
EBC-2025-2-0091|Rocky Mountain House-Banff Park hybrid|full_corpus,2026-05-10T09:35:41.697063
