step,seats_at_50_50,polsby_popper_mean,polsby_popper_min
0,0.4597701149425287,0.2339487077277557,0.1201319258970056
1,0.4597701149425287,0.2362280014940726,0.1201319258970056
2,0.4597701149425287,0.23597282544311216,0.1201319258970056
3,0.4597701149425287,0.23586616232677984,0.1201319258970056
4,0.4597701149425287,0.23551112482717734,0.1201319258970056
5,0.4597701149425287,0.23498167320692204,0.1201319258970056
6,0.4597701149425287,0.23390020432409878,0.1201319258970056
7,0.4597701149425287,0.23334071883682464,0.1201319258970056
8,0.4597701149425287,0.23115746639104204,0.1201319258970056
9,0.4597701149425287,0.23129478823909377,0.1201319258970056
10,0.4597701149425287,0.23071297796094714,0.1201319258970056
11,0.4597701149425287,0.2318180254332733,0.1201319258970056
12,0.4597701149425287,0.23030610763339598,0.1201319258970056
13,0.4597701149425287,0.22968085645525035,0.1201319258970056
14,0.4597701149425287,0.23077216300604705,0.1201319258970056
15,0.4597701149425287,0.2317561953690735,0.1201319258970056
16,0.4597701149425287,0.23115776942858463,0.1201319258970056
17,0.4597701149425287,0.23092507350126407,0.1201319258970056
18,0.4597701149425287,0.2306893414206883,0.1201319258970056
19,0.4597701149425287,0.22755282838619825,0.0990244058923603
20,0.4597701149425287,0.22803636270848798,0.0990244058923603
21,0.4597701149425287,0.2293388098252029,0.0990244058923603
22,0.4597701149425287,0.23019898920466356,0.0990244058923603
23,0.4597701149425287,0.23000380760905942,0.0990244058923603
24,0.4597701149425287,0.2275998736811165,0.0990244058923603
25,0.4597701149425287,0.22865608796178813,0.0990244058923603
26,0.4597701149425287,0.22910553958891341,0.0990244058923603
27,0.4712643678160919,0.22943374345900586,0.0990244058923603
28,0.4712643678160919,0.22964213087343044,0.0990244058923603
29,0.4597701149425287,0.22957231405009973,0.0990244058923603
30,0.4597701149425287,0.22958159752502735,0.0990244058923603
31,0.4597701149425287,0.22827115899969816,0.0990244058923603
32,0.4597701149425287,0.2284654585856671,0.0990244058923603
33,0.4597701149425287,0.22912912044941053,0.0990244058923603
34,0.4597701149425287,0.2289946816974688,0.0990244058923603
35,0.4597701149425287,0.22971792761536386,0.0990244058923603
36,0.4597701149425287,0.2299086020182259,0.0990244058923603
37,0.4597701149425287,0.2334352886296004,0.0990244058923603
38,0.4597701149425287,0.23273144317518632,0.0990244058923603
39,0.4597701149425287,0.23291489517005617,0.0990244058923603
40,0.4597701149425287,0.23580159125540695,0.0990244058923603
41,0.4597701149425287,0.23573925248399508,0.0990244058923603
42,0.4597701149425287,0.2352938005458702,0.0990244058923603
43,0.4597701149425287,0.23416117733745445,0.0990244058923603
44,0.4597701149425287,0.2354052084450648,0.0990244058923603
45,0.4597701149425287,0.23596195340656864,0.0990244058923603
46,0.4597701149425287,0.235447382231007,0.0990244058923603
47,0.4597701149425287,0.2359394209548917,0.0990244058923603
48,0.4597701149425287,0.23609169814694586,0.0990244058923603
49,0.4597701149425287,0.23624317348496124,0.0990244058923603
50,0.4597701149425287,0.23757444050087562,0.0990244058923603
51,0.4597701149425287,0.2371508656196289,0.0990244058923603
52,0.4597701149425287,0.2375034575252853,0.0990244058923603
53,0.4597701149425287,0.23761448540247954,0.0990244058923603
54,0.4597701149425287,0.2371208530409864,0.0990244058923603
