turn_id,timestamp,rows_emitted
hansard_r1-02002,2026-05-10T05:05:24.901130,1
hansard_r1-02005,2026-05-10T05:06:00.894830,2
hansard_r1-02006,2026-05-10T05:06:30.963261,3
hansard_r1-02007,2026-05-10T05:07:03.890592,1
hansard_r1-02034,2026-05-10T05:07:57.575800,2
hansard_r1-02035,2026-05-10T05:08:31.799901,1
hansard_r1-02047,2026-05-10T05:09:04.657988,2
hansard_r1-02188,2026-05-10T05:09:20.639749,0
hansard_r1-02248,2026-05-10T05:09:38.408196,1
hansard_r1-02251,2026-05-10T05:10:50.050227,2
hansard_r1-02272,2026-05-10T05:11:12.847221,1
hansard_r1-02273,2026-05-10T05:11:39.016995,1
hansard_r1-02282,2026-05-10T05:11:55.664904,1
hansard_r1-02283,2026-05-10T05:12:19.191442,1
hansard_r1-02286,2026-05-10T05:12:37.212003,1
hansard_r1-02291,2026-05-10T05:12:57.488770,1
hansard_r1-02295,2026-05-10T05:13:41.397197,1
hansard_r1-02296,2026-05-10T05:14:04.257289,1
hansard_r1-02297,2026-05-10T05:14:30.698157,1
hansard_r1-02307,2026-05-10T05:15:05.064715,2
hansard_r1-02308,2026-05-10T05:15:27.083695,1
hansard_r1-02311,2026-05-10T05:15:46.887099,0
hansard_r1-02312,2026-05-10T05:16:07.453229,0
hansard_r1-02386,2026-05-10T05:16:28.756100,0
hansard_r1-02396,2026-05-10T05:16:46.940997,0
hansard_r1-02407,2026-05-10T05:17:16.539774,0
hansard_r1-02410,2026-05-10T05:17:35.266105,0
hansard_r1-02416,2026-05-10T05:17:57.876749,0
hansard_r1-02417,2026-05-10T05:18:18.822779,0
hansard_r1-02446,2026-05-10T05:18:44.973049,1
hansard_r1-02455,2026-05-10T05:19:16.003500,1
hansard_r1-02472,2026-05-10T05:19:32.221100,0
hansard_r1-02478,2026-05-10T05:19:57.218794,0
hansard_r1-02508,2026-05-10T05:20:17.781564,0
hansard_r1-02848,2026-05-10T05:20:56.011372,1
hansard_r1-02852,2026-05-10T05:21:27.185067,1
hansard_r1-02858,2026-05-10T05:21:58.278421,1
hansard_r1-02865,2026-05-10T05:22:22.864372,2
hansard_r1-02873,2026-05-10T05:22:41.047179,1
hansard_r1-02885,2026-05-10T05:23:01.014001,0
hansard_r1-02902,2026-05-10T05:23:16.405201,0
hansard_r1-02905,2026-05-10T05:23:35.438322,1
hansard_r1-02906,2026-05-10T05:23:59.398458,0
hansard_r1-02910,2026-05-10T05:24:23.117224,1
hansard_r1-02912,2026-05-10T05:24:46.532535,1
hansard_r1-02917,2026-05-10T05:25:10.905640,0
hansard_r1-02919,2026-05-10T05:25:33.811197,0
hansard_r1-02923,2026-05-10T05:25:54.203032,1
hansard_r1-02927,2026-05-10T05:26:17.781925,2
hansard_r1-02939,2026-05-10T05:27:09.356807,2
hansard_r1-02944,2026-05-10T05:27:31.002072,1
